name,nomenclature,source_db_name,normalized_gene_id,aliases
PPM1N,Gene Symbol,HGNC,hgnc:26845,"ccds:CCDS46115|ena.embl:AK097444|ensembl:ENSG00000213889|FLJ40125|hgnc:26845|ncbigene:147699|protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)|refseq:NM_001080401|ucsc:uc002pce.4|uniprot:Q8N819|vega:OTTHUMG00000140397"
IUPHAR.RECEPTOR:2158,GuideToPharmacology ID,GuideToPharmacology,hgnc:8986,"HGNC:8986|PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE|PIM1|REFSEQ:NM_001243186|REFSEQ:NP_002639|UNIPROT:P11309"
POLR3B,Gene Symbol,Ensembl,hgnc:30348,ensembl:ENSG00000013503|hgnc:30348|RNA polymerase III subunit B
WRN,Gene Symbol,Pharos,hgnc:12791,UNIPROT:Q14191|WERNER SYNDROME ATP-DEPENDENT HELICASE
ERAP1,Gene Symbol,HGNC,hgnc:18173,A-LAP|ARTS-1|ccds:CCDS4085|ccds:CCDS47250|ena.embl:AB011097|endoplasmic reticulum aminopeptidase 1|ensembl:ENSG00000164307|ERAAP1|hgnc:18173|KIAA0525|merops:M01.018|ncbigene:51752|omim:606832|orphanet:449094|PILS-AP|pubmed:10220586|pubmed:12189246|pubmed:16286653|refseq:NM_016442|ucsc:uc003kml.4|uniprot:Q9NZ08|vega:OTTHUMG00000128721
DEPTOR,Gene Symbol,Pharos,hgnc:22953,DEP DOMAIN-CONTAINING MTOR-INTERACTING PROTEIN|UNIPROT:Q8TB45
STRA6,Gene Symbol,NCBI,hgnc:30650,ensembl:ENSG00000137868|hgnc:30650|MCOPCB8|MCOPS9|ncbigene:64220|omim:610745|PP14296|signaling receptor and transporter of retinol STRA6|SLC69A1
ENSEMBL:ENSG00000130957,Ensembl Gene ID,RussLampel,hgnc:3607,"FBP2|FRUCTOSE-1,6-BISPHOSPHATASE ISOZYME 2 (EC 3.1.3.11) (D-FRUCTOSE-1,6- BISPHOSPHATE 1-PHOSPHOHYDROLASE) (FBPASE)"
CD79A,Gene Symbol,Pharos,hgnc:1698,B-CELL ANTIGEN RECEPTOR COMPLEX-ASSOCIATED PROTEIN ALPHA CHAIN|UNIPROT:P11912
CTRC,Gene Symbol,HGNC,hgnc:2523,3.4.21.2|ccds:CCDS156|chymotrypsin C|CLCR|ELA4|ena.embl:BC015118|ensembl:ENSG00000162438|hgnc:2523|merops:S01.157|ncbigene:11330|omim:601405|orphanet:139109|pubmed:1805926|pubmed:8635596|refseq:NM_007272|ucsc:uc001awi.2|uniprot:Q99895|vega:OTTHUMG00000002255
ENPP3,Gene Name,HingoraniCasas,hgnc:3358,ENPP3|ENSEMBL:ENSG00000154269
KCNS3,Gene Symbol,HGNC,hgnc:6302,ccds:CCDS1692|ena.embl:AF043472|ensembl:ENSG00000170745|hgnc:6302|Kv9.3|ncbigene:3790|omim:603888|potassium voltage-gated channel modifier subfamily S member 3|pubmed:10484328|pubmed:16382104|refseq:NM_002252|ucsc:uc002rcv.4|uniprot:Q9BQ31|vega:OTTHUMG00000044150
GSR,Gene Symbol,GO,hgnc:4623,"GLUR|GLUTATHIONE REDUCTASE, MITOCHONDRIAL|GRD1"
RASGRF2,Gene Symbol,NCBI,hgnc:9876,ensembl:ENSG00000113319|GRF2|hgnc:9876|LOC89993|ncbigene:5924|omim:606614|Ras protein specific guanine nucleotide releasing factor 2|RAS-GRF2
CCL4,Gene Name,HingoraniCasas,hgnc:10630,CCL4|ENSEMBL:ENSG00000129277
UNIPROT:P30531,UniProtKB ID,TdgClinicalTrial,hgnc:11042,SLC6A1
IUPHAR.RECEPTOR:1868,GuideToPharmacology ID,GuideToPharmacology,hgnc:9683,HGNC:9683|PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE U|PTPRU|RTP TYPE U|UNIPROT:Q92729
UNIPROT:Q8NGQ5,UniProtKB ID,HopkinsGroom,hgnc:14724,ENSEMBL:ENSG00000186509|NCBIGENE:219956|OLFACTORY RECEPTOR 9Q1|OR9Q1|OR9Q1_HUMAN
UNIPROT:Q8TCG2,UniProtKB ID,HopkinsGroom,hgnc:18215,ENSEMBL:ENSG00000038210|NCBIGENE:55300|P4K2B_HUMAN|PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2-BETA|PI4K2B
DCAF7,Gene Symbol,HGNC,hgnc:30915,ccds:CCDS74127|DDB1 and CUL4 associated factor 7|ena.embl:U94747|ensembl:ENSG00000136485|HAN11|hgnc:30915|ncbigene:10238|omim:605973|pubmed:16949367|pubmed:20940704|pubmed:9192870|refseq:NM_005828|SWAN-1|ucsc:uc021ubm.4|uniprot:P61962|vega:OTTHUMG00000178902|WDR68
NAPSB,Gene Symbol,Ensembl,hgnc:13396,ensembl:ENSG00000131401|ensembl:ENSG00000291230|hgnc:13396|napsin B aspartic peptidase (pseudogene)|ncbigene:256236
RGS21,Gene Symbol,Ensembl,hgnc:26839,ensembl:ENSG00000253148|hgnc:26839|regulator of G protein signaling 21
SP140,Gene Symbol,HGNC,hgnc:17133,ccds:CCDS33392|ccds:CCDS42831|ccds:CCDS63149|ccds:CCDS63150|ccds:CCDS63151|ena.embl:U63420|ensembl:ENSG00000079263|hgnc:17133|LYSP100-A|LYSP100-B|ncbigene:11262|omim:608602|pubmed:12368356|pubmed:8695863|pubmed:8910577|refseq:NM_007237|SP140 nuclear body protein|ucsc:uc002vql.4|uniprot:Q13342|vega:OTTHUMG00000153670
DEFA1,Gene Name,HingoraniCasas,hgnc:2761,DEFA1|ENSEMBL:ENSG00000206047
IUPHAR.RECEPTOR:682,GuideToPharmacology ID,GuideToPharmacology,hgnc:9584,<I>TAS2R38</I>|HGNC:9584|REFSEQ:NM_176817|TAS2R38|TASTE 2 RECEPTOR MEMBER 38|UNIPROT:P59533
ACSS1,Gene Symbol,NCBI,hgnc:16091,ACAS2L|ACECS1|AceCS2L|acyl-CoA synthetase short chain family member 1|ensembl:ENSG00000154930|hgnc:16091|LOC57032|LOC89850|ncbigene:84532|omim:614355
CRHR2,Gene Name,HingoraniCasas,hgnc:2358,CRHR2|ENSEMBL:ENSG00000106113
OR13C5,Gene Symbol,GO,hgnc:15100,OLFACTORY RECEPTOR 13C5
HTT,Gene Symbol,GO,hgnc:4851,HD|HUNTINGTIN|IT15
PCAH,Gene Name,DrugBank,,GENBANK:294344|L14836|PCXB_PSEPU|UNIPROT:P00437
CALGRANULIN D,Gene Name,TTD,hgnc:10489,S100A12|TTD.TARGET:T07247
ERBB2,Gene Symbol,Ensembl,hgnc:3430,ensembl:ENSG00000141736|erb-b2 receptor tyrosine kinase 2|hgnc:3430
IGLC1,Gene Symbol,HGNC,hgnc:5855,ena.embl:J00252|ensembl:ENSG00000211675|hgnc:5855|IGLC|imgt:IGLC1|immunoglobulin lambda constant 1|ncbigene:3537|omim:147220|refseq:NG_000002|ucsc:uc062cdy.1|uniprot:P0CG04|vega:OTTHUMG00000151218
MGAM2,Gene Symbol,NCBI,hgnc:28101,ensembl:ENSG00000257743|hgnc:28101|LOC100124692|LOC100421263|LOC641864|LOC642112|LOC642684|maltase-glucoamylase 2 (putative)|ncbigene:93432
BSG,Gene Symbol,NCBI,hgnc:1116,5F7|basigin (Ok blood group)|CD147|EMMPRIN|EMPRIN|ensembl:ENSG00000172270|HAb18G|hgnc:1116|ncbigene:682|OK|omim:109480|TCSF
CCL11,Gene Symbol,ChEMBL,hgnc:10610,CHEMBL:CHEMBL3286077|EOTAXIN|UNIPROT:P51671
MCCC1,Gene Symbol,NCBI,hgnc:6936,ensembl:ENSG00000078070|hgnc:6936|LOC107986159|MCC-B|MCCA|MCCC1|MCCCalpha|methylcrotonyl-CoA carboxylase subunit 1|ncbigene:56922|omim:609010
IL12A,Gene Name,FDA,hgnc:5969,
SALL2,Gene Symbol,HGNC,hgnc:10526,ccds:CCDS32045|ccds:CCDS76656|ccds:CCDS91849|ena.embl:AB002358|ensembl:ENSG00000165821|hgnc:10526|Hsal2|KIAA0360|ncbigene:6297|omim:602219|orphanet:402736|pubmed:8975705|refseq:NM_005407|spalt like transcription factor 2|ucsc:uc032atc.2|uniprot:Q9Y467|vega:OTTHUMG00000168826|ZNF795
CDC5L,Gene Symbol,NCBI,hgnc:1743,CDC5|CDC5-LIKE|CEF1|cell division cycle 5 like|dJ319D22.1|ensembl:ENSG00000096401|hgnc:1743|KIAA0432|ncbigene:988|omim:602868|PCDC5RP
JAK2,Gene Symbol,COSMIC,hgnc:6192,
SCGB1A1,Gene Symbol,Ensembl,hgnc:12523,ensembl:ENSG00000149021|hgnc:12523|secretoglobin family 1A member 1
CCR4,Gene Name,DrugBank,hgnc:1605,CCR4|CCR4_HUMAN|HGNC:1605|IUPHAR.RECEPTOR:61|UNIPROT:P51679
SLC35F4,Gene Symbol,HGNC,hgnc:19845,C14orf36|ccds:CCDS76684|ccds:CCDS86392|ensembl:ENSG00000151812|FLJ37712|hgnc:19845|ncbigene:341880|refseq:NM_001306087|solute carrier family 35 member F4|ucsc:uc059bxf.1|uniprot:A4IF30|vega:OTTHUMG00000171317
SMAD3,Gene Symbol,CIViC,hgnc:6769,CIVIC.GID:3376|HMAD-3|HSMAD3|HSPC193|HST17436|JV15-2|LDS1C|LDS3|MAD3|MADH3|NCBI.GENE:4088|SMAD FAMILY MEMBER 3
SLC26A5,Gene Symbol,NCBI,hgnc:9359,DFNB61|ensembl:ENSG00000170615|hgnc:9359|LOC378163|ncbigene:375611|omim:604943|PRES|SLC26A5|solute carrier family 26 member 5
FOSL2,Gene Symbol,Ensembl,hgnc:3798,"ensembl:ENSG00000075426|FOS like 2, AP-1 transcription factor subunit|hgnc:3798"
FGF23,Gene Name,DrugBank,hgnc:3680,Q7Z4T2_HUMAN|UNIPROT:Q7Z4T2
LRAT,Gene Name,DrugBank,hgnc:6685,AF071510|GENBANK:4240391|HGNC:6685|LRAT|LRAT_HUMAN|UNIPROT:O95237
IFNA13,Gene Symbol,Ensembl,hgnc:5419,ensembl:ENSG00000233816|hgnc:5419|interferon alpha 13
UNIPROT:P22612,UniProtKB ID,HopkinsGroom,hgnc:9382,CAMP-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT GAMMA|ENSEMBL:ENSG00000165059|KAPCG_HUMAN|NCBIGENE:5568|PRKACG
CHST4,Gene Symbol,NCBI,hgnc:1972,carbohydrate sulfotransferase 4|ensembl:ENSG00000140835|GlcNAc6ST2|GST3|HECGLCNAC6ST|hgnc:1972|LSST|ncbigene:10164
UNIPROT:Q9NS66,UniProtKB ID,HopkinsGroom,hgnc:18186,ENSEMBL:ENSG00000184194|GP173_HUMAN|GPR173|NCBIGENE:54328|PROBABLE G-PROTEIN COUPLED RECEPTOR 173
CBL,Gene Symbol,Tempus,hgnc:1541,
SPINK6,Gene Symbol,Ensembl,hgnc:29486,ensembl:ENSG00000178172|hgnc:29486|serine peptidase inhibitor Kazal type 6
PLGLB2,Gene Symbol,NCBI,hgnc:9073,ensembl:ENSG00000125551|hgnc:9073|ncbigene:5342|plasminogen like B2|PLGP1
ABCC5,Gene Symbol,GO,hgnc:56,ATP-BINDING CASSETTE SUB-FAMILY C MEMBER 5|MRP5
KLK13,Gene Name,HingoraniCasas,hgnc:6361,ENSEMBL:ENSG00000167759|KLK13
VCPIP1,Gene Symbol,Ensembl,hgnc:30897,ensembl:ENSG00000175073|hgnc:30897|valosin containing protein interacting protein 1
ULAG,Gene Name,DrugBank,,GENBANK:1263173|U14003|ULAG_ECOLI|UNIPROT:P39300
GGA2,Gene Symbol,NCBI,hgnc:16064,"ensembl:ENSG00000103365|golgi associated, gamma adaptin ear containing, ARF binding protein 2|hgnc:16064|LOC100293916|ncbigene:23062|omim:606005|VEAR"
TAAR6,Gene Symbol,Ensembl,hgnc:20978,ensembl:ENSG00000146383|hgnc:20978|trace amine associated receptor 6
STAT3,Gene Name,NCI,hgnc:11364,
TUBB8B,Gene Symbol,ChEMBL,hgnc:24983,CHEMBL:CHEMBL3832942|TUBULIN BETA 8B|UNIPROT:A6NNZ2
HMP,Gene Name,DrugBank,hgnc:6047,GENBANK:460999|HMP_CUPNH|HMP_ECOLI|UNIPROT:P24232|UNIPROT:P39662|X58872|X74334
PTPN9,Gene Symbol,NCBI,hgnc:9661,ensembl:ENSG00000169410|hgnc:9661|MEG2|ncbigene:5780|omim:600768|protein tyrosine phosphatase non-receptor type 9|PTPMEG2
S100A10,Gene Symbol,NCBI,hgnc:10487,42C|ANX2L|ANX2LG|Ca[1]|CAL1L|CLP11|ensembl:ENSG00000197747|GP11|hgnc:10487|ncbigene:6281|omim:114085|p10|P11|S100 calcium binding protein A10
HOXB13,Gene Symbol,Pharos,hgnc:5112,HOMEOBOX PROTEIN HOX-B13|UNIPROT:Q92826
CD7,Gene Symbol,HGNC,hgnc:1695,ccds:CCDS11807|CD7 molecule|ena.embl:X06180|ensembl:ENSG00000173762|GP40|hcdmdb:CD7|hgnc:1695|LEU-9|ncbigene:924|omim:186820|pubmed:1695199|pubmed:3501369|refseq:NM_006137|Tp40|TP41|ucsc:uc002kel.2|uniprot:P09564|vega:OTTHUMG00000178662
SLC30A5,Gene Symbol,Ensembl,hgnc:19089,ensembl:ENSG00000145740|hgnc:19089|solute carrier family 30 member 5
UNIPROT:Q8NH54,UniProtKB ID,HopkinsGroom,hgnc:14786,ENSEMBL:ENSG00000184478|NCBIGENE:390083|O56A3_HUMAN|OLFACTORY RECEPTOR 56A3|OR56A3
PIK3C2G,Gene Symbol,dGene,hgnc:8973,NCBIGENE:5288|PI3K-C2GAMMA
UNIPROT:P15328,UniProtKB ID,TdgClinicalTrial,hgnc:3791,FOLR1
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1,Gene Name,TTD,hgnc:11362,STAT1|TTD.TARGET:T64205
TLX3,Gene Symbol,NCBI,hgnc:13532,ensembl:ENSG00000164438|hgnc:13532|HOX11L2|ncbigene:30012|omim:604640|RNX|T cell leukemia homeobox 3
CSNK2A2,Gene Symbol,Ensembl,hgnc:2459,casein kinase 2 alpha 2|ensembl:ENSG00000070770|hgnc:2459
IUPHAR.RECEPTOR:1131,GuideToPharmacology ID,GuideToPharmacology,hgnc:11016,COPPER TRANSPORTER 1|HGNC:11016|SLC31A1|SOLUTE CARRIER FAMILY 31 MEMBER 1|UNIPROT:O15431
FASTK,Gene Symbol,NCBI,hgnc:24676,ensembl:ENSG00000164896|Fas activated serine/threonine kinase|FAST|FLJ13079|hgnc:24676|ncbigene:10922|omim:606965
TRH,Gene Name,HingoraniCasas,hgnc:12298,ENSEMBL:ENSG00000170893|TRH
DOT1L,Gene Symbol,FoundationOneGenes,hgnc:24948,
ZNRF3,Gene Symbol,HGNC,hgnc:18126,6.3.2.-|BK747E2.3|ccds:CCDS42999|ccds:CCDS56225|ena.embl:AB051436|ensembl:ENSG00000183579|FLJ22057|hgnc:18126|KIAA1133|ncbigene:84133|omim:612062|pubmed:10574461|refseq:NM_001206998|RNF203|ucsc:uc021wnq.2|uniprot:Q9ULT6|vega:OTTHUMG00000151009|zinc and ring finger 3
ACYP1,Gene Symbol,Ensembl,hgnc:179,acylphosphatase 1|ensembl:ENSG00000119640|hgnc:179
ENSEMBL:ENSG00000086288,Ensembl Gene ID,RussLampel,hgnc:16473,NM23-H8|REFSEQ:NP_057700|TXNDC3
THNSL2,Gene Symbol,Ensembl,hgnc:25602,ensembl:ENSG00000144115|hgnc:25602|threonine synthase like 2
MYLIP,Gene Name,PharmGKB,hgnc:21155,PHARMGKB.GENE:PA134942677
ASPARTYL AMINOPEPTIDASE,Gene Name,TTD,hgnc:2981,DNPEP|TTD.TARGET:T45287
CNP,Gene Name,HingoraniCasas,hgnc:2158,CNP|ENSEMBL:ENSG00000173786
UNIPROT:Q969F8,UniProtKB ID,HopkinsGroom,hgnc:4510,ENSEMBL:ENSG00000116014|KISS-1 RECEPTOR|KISS1R|KISSR_HUMAN|NCBIGENE:84634
ERK ACTIVATOR KINASE 2,Gene Name,TTD,hgnc:6842,MEK2|TTD.TARGET:T89055
IGKV2-40,Gene Name,HingoraniCasas,hgnc:5789,ENSEMBL:ENSG00000211619|IGKV2-40
UNIPROT:P06213,UniProtKB ID,TdgClinicalTrial,hgnc:6091,INSR
TNFSF11,Gene Name,DrugBank,hgnc:11926,AF013171|HGNC:11926|TNF11_HUMAN|TNFSF11|UNIPROT:O14788
GZMM,Gene Symbol,NCBI,hgnc:4712,ensembl:ENSG00000197540|granzyme M|hgnc:4712|LMET1|MET1|ncbigene:3004|omim:600311
ATRIP,Gene Symbol,NCBI,hgnc:33499,ATR interacting protein|ensembl:ENSG00000164053|hgnc:33499|ncbigene:84126|omim:606605
KCNK18,Gene Symbol,NCBI,hgnc:19439,ensembl:ENSG00000186795|hgnc:19439|K2p18.1|MGR13|ncbigene:338567|omim:613655|potassium two pore domain channel subfamily K member 18|TRESK|TRESK-2|TRESK2|TRIK
PTHLH,Gene Symbol,NCBI,hgnc:9607,BDE2|ensembl:ENSG00000087494|hgnc:9607|HHM|ncbigene:5744|omim:168470|parathyroid hormone like hormone|PLP|PTHR|PTHRP
EPHB6,Gene Symbol,HGNC,hgnc:3396,ccds:CCDS5873|ccds:CCDS75672|ena.embl:D83492|ensembl:ENSG00000106123|EPH receptor B6|HEP|hgnc:3396|ncbigene:2051|omim:602757|refseq:NM_001280794|ucsc:uc033ans.2|uniprot:O15197|vega:OTTHUMG00000155707
PKN3,Gene Symbol,MyCancerGenome,hgnc:17999,NCBIGENE:29941|PKC|PKN3
FUCA1,Gene Symbol,HGNC,hgnc:4006,3.2.1.51|alpha-L-fucosidase 1|ccds:CCDS244|ena.embl:BC017338|ensembl:ENSG00000179163|hgnc:4006|ncbigene:2517|omim:612280|orphanet:121963|pubmed:2803312|refseq:NM_000147|ucsc:uc001bie.5|uniprot:P04066|vega:OTTHUMG00000002965
LRRC4C,Gene Symbol,Ensembl,hgnc:29317,ensembl:ENSG00000148948|hgnc:29317|leucine rich repeat containing 4C
RPS17,Gene Symbol,HGNC,hgnc:10397,ccds:CCDS10320|ena.embl:M18000|ensembl:ENSG00000182774|eS17|hgnc:10397|MGC72007|ncbigene:6218|omim:180472|orphanet:158382|pubmed:1577483|pubmed:7661859|refseq:NM_001021|ribosomal protein S17|RPS17L|RPS17L1|RPS17L2|S17|ucsc:uc002bhr.2|uniprot:P08708|vega:OTTHUMG00000147355
VMO1,Gene Name,HingoraniCasas,hgnc:30387,ENSEMBL:ENSG00000182853|VMO1
WDR91,Gene Symbol,NCBI,hgnc:24997,ensembl:ENSG00000105875|hgnc:24997|HSPC049|ncbigene:29062|omim:616303|SORF-1|SORF1|WD repeat domain 91
TRIM25,Gene Symbol,HGNC,hgnc:12932,ccds:CCDS11591|EFP|ena.embl:D21205|ensembl:ENSG00000121060|hgnc:12932|ncbigene:7706|omim:600453|pubmed:7789997|refseq:NM_005082|RNF147|tripartite motif containing 25|ucsc:uc002iut.4|uniprot:Q14258|vega:OTTHUMG00000178124|ZNF147
HTR3A,Gene Name,DrugBank,hgnc:5297,5HT3A_HUMAN|D49394|GENBANK:681914|HGNC:5297|HTR3A|IUPHAR.RECEPTOR:373|UNIPROT:P46098
UNIPROT:P47989,UniProtKB ID,TdgClinicalTrial,hgnc:12805,XDH
PVT1,Gene Name,NCI,hgnc:9709,
PRRT2,Gene Symbol,Ensembl,hgnc:30500,ensembl:ENSG00000167371|hgnc:30500|proline rich transmembrane protein 2
OR10A2,Gene Symbol,Pharos,hgnc:8161,OLFACTORY RECEPTOR 10A2|UNIPROT:Q9H208
PDC,Gene Symbol,NCBI,hgnc:8759,ensembl:ENSG00000116703|hgnc:8759|MEKA|ncbigene:5132|omim:171490|PHD|PhLOP|PhLP|phosducin
CBLN4,Gene Symbol,HGNC,hgnc:16231,CBLNL1|ccds:CCDS13448|cerebellin 4 precursor|dJ885A10.1|ena.embl:AY358527|ensembl:ENSG00000054803|hgnc:16231|ncbigene:140689|omim:615029|pubmed:25534236|pubmed:28714144|refseq:NM_080617|ucsc:uc002xxa.5|uniprot:Q9NTU7|vega:OTTHUMG00000032782
SLC1A2,Gene Symbol,Ensembl,hgnc:10940,ensembl:ENSG00000110436|hgnc:10940|solute carrier family 1 member 2
UNIPROT:Q16548,UniProtKB ID,HopkinsGroom,hgnc:991,B2LA1_HUMAN|BCL-2-RELATED PROTEIN A1|BCL2A1|ENSEMBL:ENSG00000140379|NCBIGENE:597
DCBLD1,Gene Symbol,NCBI,hgnc:21479,"discoidin, CUB and LCCL domain containing 1|dJ94G16.1|ensembl:ENSG00000164465|hgnc:21479|ncbigene:285761"
NADK2,Gene Symbol,Ensembl,hgnc:26404,"ensembl:ENSG00000152620|hgnc:26404|NAD kinase 2, mitochondrial"
CGB2,Gene Name,HingoraniCasas,hgnc:16722,CGB2|ENSEMBL:ENSG00000104818
STRADB,Gene Symbol,HGNC,hgnc:13205,ALS2CR2|CALS-21|ccds:CCDS2348|ccds:CCDS56161|ena.embl:AB038950|ensembl:ENSG00000082146|hgnc:13205|ILPIP|ILPIPA|ncbigene:55437|omim:607333|PAPK|pubmed:11161814|pubmed:14511394|refseq:NM_018571|STE20 related adaptor beta|STLK6|ucsc:uc002uyd.5|uniprot:Q9C0K7|vega:OTTHUMG00000132831
NUTM2A,Gene Symbol,Ensembl,hgnc:23438,ensembl:ENSG00000184923|hgnc:23438|NUT family member 2A
ADGRB2,Gene Symbol,NCBI,hgnc:944,adhesion G protein-coupled receptor B2|BAI2|ensembl:ENSG00000121753|hgnc:944|ncbigene:576|omim:602683
IGLL1,Gene Symbol,Ensembl,hgnc:5870,ensembl:ENSG00000128322|hgnc:5870|immunoglobulin lambda like polypeptide 1
FEM1B,Gene Symbol,HGNC,hgnc:3649,ccds:CCDS10228|ensembl:ENSG00000169018|fem-1 homolog B|hgnc:3649|ncbigene:10116|omim:613539|pubmed:10623617|refseq:NM_015322|ucsc:uc002arg.4|uniprot:Q9UK73|vega:OTTHUMG00000133285
OR4K14,Gene Symbol,NCBI,hgnc:15352,ensembl:ENSG00000169484|hgnc:15352|ncbigene:122740|olfactory receptor family 4 subfamily K member 14|OR14-18|OR14-22|OR4K14
WDR19,Gene Symbol,Ensembl,hgnc:18340,ensembl:ENSG00000157796|hgnc:18340|WD repeat domain 19
CHRNA3,Gene Name,HingoraniCasas,hgnc:1957,CHRNA3|ENSEMBL:ENSG00000080644
NGB,Gene Symbol,NCBI,hgnc:14077,ensembl:ENSG00000165553|hgnc:14077|LOC730082|LOC731373|ncbigene:58157|neuroglobin|omim:605304
IL20RA,Gene Symbol,HGNC,hgnc:6003,ccds:CCDS5181|ccds:CCDS64535|ccds:CCDS64536|ena.embl:AF184971|ensembl:ENSG00000016402|hgnc:6003|IL-20R1|interleukin 20 receptor subunit alpha|ncbigene:53832|omim:605620|pubmed:10875937|pubmed:11163236|refseq:NM_014432|ucsc:uc003qhj.5|uniprot:Q9UHF4|vega:OTTHUMG00000015654|ZCYTOR7
ABCC3,Gene Symbol,HGNC,hgnc:54,7.6.2.2|7.6.2.3 |ATP binding cassette subfamily C member 3|ccds:CCDS32681|ccds:CCDS45739|cMOAT2|ena.embl:Y17151|ensembl:ENSG00000108846|EST90757|hgnc:54|MLP2|MOAT-D|MRP3|ncbigene:8714|omim:604323|orphanet:469892|pubmed:8894702|pubmed:9827529|refseq:NM_020038|ucsc:uc002isl.4|uniprot:O15438|vega:OTTHUMG00000162245
IRGC,Gene Symbol,Ensembl,hgnc:28835,ensembl:ENSG00000124449|hgnc:28835|immunity related GTPase cinema
DMTN,Gene Symbol,NCBI,hgnc:3382,dematin actin binding protein|DMT|ensembl:ENSG00000158856|EPB49|hgnc:3382|ncbigene:2039|omim:125305
HEMB,Gene Name,DrugBank,hgnc:3551,GENBANK:1009431|GENBANK:1033198|GENBANK:450371|HEM2_CHLP8|HEM2_ECOLI|HEM2_PSEAE|M24488|U38348|UNIPROT:P0ACB2|UNIPROT:Q59334|UNIPROT:Q59643|X91820
CXCL10,Gene Name,DrugBank,hgnc:10637,CXCL10|CXL10_HUMAN|GENBANK:33918|HGNC:10637|UNIPROT:P02778|X02530
TNFRSF10A,Gene Symbol,TALC,hgnc:11904,NCBIGENE:8797
GCG,Gene Symbol,Ensembl,hgnc:4191,ensembl:ENSG00000115263|glucagon|hgnc:4191
E2F8,Gene Symbol,NCBI,hgnc:24727,E2F transcription factor 8|E2F-8|ensembl:ENSG00000129173|hgnc:24727|ncbigene:79733|omim:612047
OR1J4,Gene Symbol,Ensembl,hgnc:8211,ensembl:ENSG00000239590|hgnc:8211|olfactory receptor family 1 subfamily J member 4
GJA5,Gene Symbol,Ensembl,hgnc:4279,ensembl:ENSG00000265107|gap junction protein alpha 5|hgnc:4279
SLC38A9,Gene Symbol,Pharos,hgnc:26907,SODIUM-COUPLED NEUTRAL AMINO ACID TRANSPORTER 9|UNIPROT:Q8NBW4
BGLT3,Gene Symbol,NCBI,hgnc:49033,beta globin locus transcript 3|BGL3|ensembl:ENSG00000260629|hgnc:49033|LINC01083|lncRNA-BGL3|ncbigene:103344929|omim:616308
IDO1,Gene Symbol,Ensembl,hgnc:6059,"ensembl:ENSG00000131203|hgnc:6059|indoleamine 2,3-dioxygenase 1"
RGCC,Gene Symbol,GO,hgnc:20369,C13ORF15|REGULATOR OF CELL CYCLE RGCC|RGC32
CYP46A1,Gene Symbol,Ensembl,hgnc:2641,cytochrome P450 family 46 subfamily A member 1|ensembl:ENSG00000036530|hgnc:2641
TANC2,Gene Name,PharmGKB,hgnc:30212,PHARMGKB.GENE:PA142670837
ASPG,Gene Symbol,NCBI,hgnc:20123,asparaginase|C14orf76|ensembl:ENSG00000166183|GPA/WT|hASNase1|hgnc:20123|LYSOLP|ncbigene:374569|omim:618472
NKX2-1,Gene Symbol,HGNC,hgnc:11825,BCH|ccds:CCDS41945|ccds:CCDS9659|cosmic:NKX2-1|ensembl:ENSG00000136352|hgnc:11825|homeodb:8469|ncbigene:7080|NK2 homeobox 1|NKX2A|omim:600635|orphanet:156077|pubmed:1976511|refseq:NM_003317|TITF1|TTF-1|TTF1|ucsc:uc059axg.1|uniprot:P43699|vega:OTTHUMG00000140225
ALAS1,Gene Name,PharmGKB,hgnc:396,PHARMGKB.GENE:PA24688
SYCN,Gene Symbol,Ensembl,hgnc:18442,ensembl:ENSG00000179751|hgnc:18442|syncollin
P2RY10,Gene Symbol,Ensembl,hgnc:19906,ensembl:ENSG00000078589|hgnc:19906|P2Y receptor family member 10
CCN3,Gene Symbol,GO,hgnc:7885,CCN FAMILY MEMBER 3|IGFBP9|NOV|NOVH
CXCL13,Gene Name,PharmGKB,hgnc:10639,PHARMGKB.GENE:PA35570
IUPHAR.RECEPTOR:553,GuideToPharmacology ID,GuideToPharmacology,hgnc:6238,HGNC:6238|K<SUB>V</SUB>4.2|KCND2|POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY D MEMBER 2|REFSEQ:NM_012281|REFSEQ:NP_036413|UNIPROT:Q9NZV8
SEPT6,Gene Symbol,CarisMolecularIntelligence,hgnc:15848,
IUPHAR.RECEPTOR:281,GuideToPharmacology ID,GuideToPharmacology,hgnc:20867,HGNC:20867|MCH<SUB>2</SUB> RECEPTOR|MCHR2|MELANIN CONCENTRATING HORMONE RECEPTOR 2|REFSEQ:NM_001040179|REFSEQ:NM_032503|REFSEQ:NP_001035269|REFSEQ:NP_115892|UNIPROT:Q969V1
