name,nomenclature,source_db_name,normalized_gene_id,aliases
KCNH2,Gene Symbol,ChEMBL,hgnc:6251,CHEMBL:CHEMBL2362996|CHEMBL:CHEMBL240|UNIPROT:Q12809|VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2
FLT4,Gene Name,DTC,hgnc:3767,
KCNK9,Gene Symbol,NCBI,hgnc:6283,BIBARS|ensembl:ENSG00000169427|hgnc:6283|K2p9.1|KT3.2|ncbigene:51305|omim:605874|potassium two pore domain channel subfamily K member 9|TASK-3|TASK3|TASK32
CHN1,Gene Symbol,Ensembl,hgnc:1943,chimerin 1|ensembl:ENSG00000128656|hgnc:1943
ERLIN1,Gene Symbol,HumanProteinAtlas,hgnc:16947,C10ORF69|ENSEMBL:ENSG00000107566|ER LIPID RAFT ASSOCIATED 1|ERLIN-1|KE04|SPFH1|SPG62|UNIPROT:O75477
OR7E25P,Gene Symbol,NCBI,hgnc:8397,CIT-B-440L2|ensembl:ENSG00000187847|hgnc:8397|ncbigene:26647|olfactory receptor family 7 subfamily E member 25 pseudogene|OR19-12|OR19-C
CHRM3,Gene Symbol,dGene,hgnc:1952,EGBRS|HM3|NCBIGENE:1131
OLFML3,Gene Symbol,Ensembl,hgnc:24956,ensembl:ENSG00000116774|hgnc:24956|olfactomedin like 3
RXFP2,Gene Symbol,GO,hgnc:17318,GPR106|GREAT|LGR8|RELAXIN RECEPTOR 2
VN1R17P,Gene Symbol,HGNC,hgnc:37331,ensembl:ENSG00000235818|hgnc:37331|ncbigene:441931|pseudogene.org:PGOHUM00000244542|refseq:NG_011997|uniprot:Q8TDU5|vega:OTTHUMG00000041163|vomeronasal 1 receptor 17 pseudogene
NEK7,Gene Name,HingoraniCasas,hgnc:13386,ENSEMBL:ENSG00000151414|NEK7
IUPHAR.RECEPTOR:2558,GuideToPharmacology ID,GuideToPharmacology,hgnc:20115,HGNC:20115|REFSEQ:NM_207117|REFSEQ:NP_997000|SLC25A47|SOLUTE CARRIER FAMILY 25 MEMBER 47|UNIPROT:Q6Q0C1
