HGNC_ID,ENSG_ID,NCBI_ID,captured_status,captured_category_list,primary_gene_symbol,gene_symbol,alternate_abbreviation_status_w_no_context
HGNC:30422,ENSG00000138771,GENE ID:57619,FALSE,,SHROOM3,APXL3,FALSE
HGNC:28789,ENSG00000133872,GENE ID:51669,FALSE,,SARAF,HSPC035,FALSE
HGNC:978,ENSG00000107949,GENE ID:56647,FALSE,,BCCIP,BCCIPalpha,FALSE
HGNC:16487,ENSG00000184060,GENE ID:55803,FALSE,,ADAP2,HSA272195,FALSE
HGNC:10201,"ENSG00000283671, ENSG00000207047",GENE ID:26798,FALSE,,SNORD51,U51,FALSE
HGNC:40495,ENSG00000223442,GENE ID:101927761,FALSE,,TH2LCRR,TH2-LCR,TRUE
HGNC:9003,ENSG00000110697,GENE ID:9600,FALSE,,PITPNM1,RDGB1,FALSE
HGNC:11439,ENSG00000103496,GENE ID:6810,FALSE,,STX4,P35-2,FALSE
HGNC:12474,ENSG00000072401,GENE ID:7321,FALSE,,UBE2D1,UBCH5,FALSE
HGNC:13239,ENSG00000166979,GENE ID:59271,FALSE,,EVA1C,B19,FALSE
HGNC:13257,ENSG00000111729,GENE ID:50856,FALSE,,CLEC4A,HDCGC13P,FALSE
HGNC:27230,ENSG00000171320,GENE ID:157570,FALSE,,ESCO2,EFO2p,FALSE
HGNC:17789,ENSG00000148943,GENE ID:55327,FALSE,,LIN7C,VELI3,FALSE
HGNC:30912,ENSG00000127578,GENE ID:117166,FALSE,,WFIKKN1,WFIKKN,TRUE
HGNC:6295,ENSG00000269821,GENE ID:10984,FALSE,,KCNQ1OT1,LIT1,FALSE
HGNC:1787,ENSG00000147889,GENE ID:1029,FALSE,,CDKN2A,p16INK4a,FALSE
HGNC:2638,ENSG00000106258,GENE ID:1577,FALSE,,CYP3A5,PCN3,FALSE
HGNC:12557,ENSG00000147854,GENE ID:115426,FALSE,,UHRF2,URF2,TRUE
