,collision,num_gene_records
1173,PHKD,3
649,HGPS,3
648,HGL,3
644,HEP,3
1178,PIP1,3
642,HED,3
637,HCP,3
632,HCCA2,3
631,HCC-4,3
629,HCC-1,3
628,HCAP,3
626,HCA2,3
1184,PL,3
624,HC5,3
1185,PLA2L,3
622,HC2,3
1186,PLAP,3
617,HB-1,3
1190,PLP,3
1191,PM5,3
609,H5,3
608,H4,3
1200,POD1,3
1201,POF,3
598,H1,3
597,H-PLK,3
658,HK2,3
1152,PCA1,3
1079,P38,3
1151,PC4,3
1082,P42,3
771,KS,3
1087,P48,3
769,KOX21,3
763,KIP2,3
1091,P51,3
1103,P65,3
745,K12,3
1107,P75,3
1110,P84,3
1113,P90,3
733,IP,3
726,IMP4,3
1121,PAC1,3
719,IL-27,3
1126,PAD,3
717,IL-21,3
1127,PAD1,3
714,IGNT,3
1129,PAL,3
415,DRP1,3
1139,PAR2,3
697,HSTF1,3
691,HSDJ0798C17,3
689,HS1,3
1149,PC2,3
1150,PC3,3
1320,RPD3,3
807,LIM1,3
480,FAL1,3
1379,SERS,3
1381,SES2,3
240,CDR,3
1576,UNR,3
328,CSA,3
242,CED-12,3
64,AN,3
243,CED12,3
325,CRYG5,3
1449,STRAP,3
1573,UGT1,3
1387,SHMT,3
322,CRP2,3
1389,SIII,3
1531,TRAP,3
125,ATX,3
1380,SES1,3
1526,TR3,3
1444,STK1,3
335,CST,3
157,BOP,3
44,AHA1,3
46,AIM-1,3
155,BFNC,3
352,CYP2B,3
351,CYP2A,3
1365,SCL,3
347,CXXC11,3
96,ARP11,3
1518,TOB55,3
1369,SDH,3
141,BAR,3
54,ALK1,3
133,B37,3
1450,STV1,3
1391,SIN,3
251,CG1,3
360,DA1,3
114,AT1,3
265,CINAP,3
79,APE,3
111,ASM,3
1430,SPP2,3
1544,TRY3,3
1428,SPN,3
1547,TSC,3
86,AR,3
287,CLP,3
87,ARA,3
88,ARD1,3
1556,U13,3
100,ARP5,3
1554,TTY11,3
1553,TTP,3
1541,TRIP,3
1540,TRIF,3
315,CR,3
1436,SRC1,3
1443,STD,3
313,CPT1,3
123,ATR,3
1394,SIP1,3
1395,SIT,3
1398,SKIP,3
1399,SL1,3
256,CHE1,3
1400,SLAP,3
1439,SS,3
1438,SRPSMCR,3
187,CAD,3
1566,U87,3
300,COL6A4,3
75,APC1,3
1507,TIM,3
97,ARP2,3
1329,RSC6P,3
1328,RS,3
214,CAV,3
1355,SARS,3
401,DNM1DN11@,3
167,C1,3
213,CAT1,3
1610,ZIP4,3
11,ABL,3
211,CASP,3
1350,SAP190,3
375,DEF3,3
1500,TFIIS,3
1347,SAN,3
23,ACCA,3
1497,TFIIF,3
396,DM2,3
381,DGK,3
395,DM1,3
21,ACC1,3
206,CARP,3
18,ACA59,3
1495,TERA,3
1334,S10,3
1341,S6,3
1336,S12,3
1337,S14,3
390,DK1,3
1338,S2,3
405,DNM1DN8@,3
388,DIVA,3
186,CA125,3
39,AGPAT10,3
36,AF-1,3
185,C6ST,3
6,A20,3
1589,VPH1,3
7,A3GALNT,3
1324,RPS17L1,3
191,CAK1,3
165,BTN1,3
38,AGC1,3
217,CBP,3
367,DAT1,3
408,DP1,3
40,AGPAT9,3
222,CD1,3
224,CD16,3
195,CANP,3
1490,TCRGV5P,2
1117,PABP1,2
1057,P180,2
1491,TDE2,2
1551,TSSK1,2
1543,TRNP,2
1538,TRF,2
1122,PAC2,2
1059,P2,2
1542,TRK,2
1539,TRF2,2
1118,PABP2,2
1060,P20,2
1550,TSH2,2
1549,TSH1,2
1067,P25,2
1548,TSG,2
1120,PABPL1,2
1537,TRBP,2
