primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
ADA,HGNC:186,ENSG00000196839,GENE ID:100,ADA
ADAM8,HGNC:215,ENSG00000151651,GENE ID:101,ADAM8
ADAM10,HGNC:188,ENSG00000137845,GENE ID:102,ADAM10
ADAR,HGNC:225,ENSG00000160710,GENE ID:103,ADAR
ADARB1,HGNC:226,ENSG00000197381,GENE ID:104,ADARB1
ADARB2,HGNC:227,ENSG00000185736,GENE ID:105,ADARB2
ADCP1,HGNC:229,,GENE ID:106,ADCP1
ADCY1,HGNC:232,ENSG00000164742,GENE ID:107,ADCY1
ADCY2,HGNC:233,ENSG00000078295,GENE ID:108,ADCY2
ADCY3,HGNC:234,ENSG00000138031,GENE ID:109,ADCY3
ADCY5,HGNC:236,ENSG00000173175,GENE ID:111,ADCY5
ADCY6,HGNC:237,ENSG00000174233,GENE ID:112,ADCY6
ADCY7,HGNC:238,ENSG00000121281,GENE ID:113,ADCY7
ADCY8,HGNC:239,ENSG00000155897,GENE ID:114,ADCY8
ADCY9,HGNC:240,ENSG00000162104,GENE ID:115,ADCY9
ADCYAP1,HGNC:241,ENSG00000141433,GENE ID:116,ADCYAP1
ADCYAP1R1,HGNC:242,ENSG00000078549,GENE ID:117,ADCYAP1R1
ADD1,HGNC:243,ENSG00000087274,GENE ID:118,ADD1
ADD2,HGNC:244,ENSG00000075340,GENE ID:119,ADD2
ADD3,HGNC:245,ENSG00000148700,GENE ID:120,ADD3
PLIN2,HGNC:248,ENSG00000147872,GENE ID:123,PLIN2
ADH1A,HGNC:249,ENSG00000187758,GENE ID:124,ADH1A
ADH1B,HGNC:250,ENSG00000196616,GENE ID:125,ADH1B
ADH1C,HGNC:251,ENSG00000248144,GENE ID:126,ADH1C
ADH4,HGNC:252,ENSG00000198099,GENE ID:127,ADH4
ADH5,HGNC:253,ENSG00000197894,GENE ID:128,ADH5
ADH6,HGNC:255,ENSG00000172955,GENE ID:130,ADH6
ADH7,HGNC:256,ENSG00000196344,GENE ID:131,ADH7
ADK,HGNC:257,ENSG00000156110,GENE ID:132,ADK
ADM,HGNC:259,ENSG00000148926,GENE ID:133,ADM
ADORA1,HGNC:262,ENSG00000163485,GENE ID:134,ADORA1
ADORA2A,HGNC:263,ENSG00000128271,GENE ID:135,ADORA2A
ADORA2B,HGNC:264,ENSG00000170425,GENE ID:136,ADORA2B
ADORA2BP1,HGNC:265,,GENE ID:137,ADORA2BP1
ADORA3,HGNC:268,ENSG00000282608,GENE ID:140,ADORA3
ADPRH,HGNC:269,ENSG00000144843,GENE ID:141,ADPRH
PARP1,HGNC:270,ENSG00000143799,GENE ID:142,PARP1
PARP4,HGNC:271,ENSG00000102699,GENE ID:143,PARP4
PARP1P1,HGNC:275,ENSG00000227105,GENE ID:144,PARP1P1
PARP1P2,HGNC:276,,GENE ID:145,PARP1P2
ADRA1D,HGNC:280,ENSG00000171873,GENE ID:146,ADRA1D
ADRA1B,HGNC:278,ENSG00000170214,GENE ID:147,ADRA1B
ADRA1A,HGNC:277,ENSG00000120907,GENE ID:148,ADRA1A
ADRA2A,HGNC:281,ENSG00000150594,GENE ID:150,ADRA2A
ADRA2B,HGNC:282,ENSG00000274286,GENE ID:151,ADRA2B
ADRA2C,HGNC:283,ENSG00000184160,GENE ID:152,ADRA2C
ADRB1,HGNC:285,ENSG00000043591,GENE ID:153,ADRB1
ADRB2,HGNC:286,ENSG00000169252,GENE ID:154,ADRB2
ADRB3,HGNC:288,ENSG00000188778,GENE ID:155,ADRB3
GRK2,HGNC:289,ENSG00000173020,GENE ID:156,GRK2
GRK3,HGNC:290,ENSG00000100077,GENE ID:157,GRK3
ADSL,HGNC:291,ENSG00000239900,GENE ID:158,ADSL
ADSS2,HGNC:292,ENSG00000035687,GENE ID:159,ADSS2
AP2A1,HGNC:561,ENSG00000196961,GENE ID:160,AP2A1
AP2A2,HGNC:562,ENSG00000183020,GENE ID:161,AP2A2
AP1B1,HGNC:554,ENSG00000100280,GENE ID:162,AP1B1
AP2B1,HGNC:563,ENSG00000006125,GENE ID:163,AP2B1
AP1G1,HGNC:555,ENSG00000166747,GENE ID:164,AP1G1
AEBP1,HGNC:303,ENSG00000106624,GENE ID:165,AEBP1
TLE5,HGNC:307,ENSG00000104964,GENE ID:166,TLE5
CRISP1,HGNC:304,ENSG00000124812,GENE ID:167,CRISP1
AFG3L1P,HGNC:314,ENSG00000293510,GENE ID:172,AFG3L1P
AFM,HGNC:316,ENSG00000079557,GENE ID:173,AFM
AFP,HGNC:317,ENSG00000081051,GENE ID:174,AFP
AGA,HGNC:318,ENSG00000038002,GENE ID:175,AGA
ACAN,HGNC:319,ENSG00000157766,GENE ID:176,ACAN
AGER,HGNC:320,ENSG00000204305,GENE ID:177,AGER
AGL,HGNC:321,ENSG00000162688,GENE ID:178,AGL
AGRP,HGNC:330,ENSG00000159723,GENE ID:181,AGRP
JAG1,HGNC:6188,ENSG00000101384,GENE ID:182,JAG1
AGT,HGNC:333,ENSG00000135744,GENE ID:183,AGT
AGTR1,HGNC:336,ENSG00000144891,GENE ID:185,AGTR1
AGTR2,HGNC:338,ENSG00000180772,GENE ID:186,AGTR2
APLNR,HGNC:339,ENSG00000134817,GENE ID:187,APLNR
AGXT,HGNC:341,ENSG00000172482,GENE ID:189,AGXT
NR0B1,HGNC:7960,ENSG00000169297,GENE ID:190,NR0B1
AHCY,HGNC:343,ENSG00000101444,GENE ID:191,AHCY
AHR,HGNC:348,ENSG00000106546,GENE ID:196,AHR
AHSG,HGNC:349,ENSG00000145192,GENE ID:197,AHSG
AIF1,HGNC:352,ENSG00000204472,GENE ID:199,AIF1
CRYBG1,HGNC:356,ENSG00000112297,GENE ID:202,CRYBG1
AK1,HGNC:361,ENSG00000106992,GENE ID:203,AK1
AK2,HGNC:362,ENSG00000004455,GENE ID:204,AK2
AK4,HGNC:363,ENSG00000162433,GENE ID:205,AK4
AK4P1,HGNC:364,,GENE ID:206,AK4P1
AKT1,HGNC:391,ENSG00000142208,GENE ID:207,AKT1
AKT2,HGNC:392,ENSG00000105221,GENE ID:208,AKT2
ALAD,HGNC:395,ENSG00000148218,GENE ID:210,ALAD
ALAS1,HGNC:396,ENSG00000023330,GENE ID:211,ALAS1
ALAS2,HGNC:397,ENSG00000158578,GENE ID:212,ALAS2
ALB,HGNC:399,ENSG00000163631,GENE ID:213,ALB
ALCAM,HGNC:400,ENSG00000170017,GENE ID:214,ALCAM
ABCD1,HGNC:61,ENSG00000101986,GENE ID:215,ABCD1
ALDH1A1,HGNC:402,ENSG00000165092,GENE ID:216,ALDH1A1
ALDH2,HGNC:404,ENSG00000111275,GENE ID:217,ALDH2
ALDH3A1,HGNC:405,ENSG00000108602,GENE ID:218,ALDH3A1
ALDH1B1,HGNC:407,ENSG00000137124,GENE ID:219,ALDH1B1
ALDH1A3,HGNC:409,ENSG00000184254,GENE ID:220,ALDH1A3
ALDH3B1,HGNC:410,ENSG00000006534,GENE ID:221,ALDH3B1
ALDH3B2,HGNC:411,ENSG00000132746,GENE ID:222,ALDH3B2
ALDH9A1,HGNC:412,ENSG00000143149,GENE ID:223,ALDH9A1
ALDH3A2,HGNC:403,ENSG00000072210,GENE ID:224,ALDH3A2
ABCD2,HGNC:66,ENSG00000173208,GENE ID:225,ABCD2
ALDOA,HGNC:414,ENSG00000149925,GENE ID:226,ALDOA
ALDOAP2,HGNC:416,,GENE ID:228,ALDOAP2
ALDOB,HGNC:417,ENSG00000136872,GENE ID:229,ALDOB
ALDOC,HGNC:418,ENSG00000109107,GENE ID:230,ALDOC
AKR1B1,HGNC:381,ENSG00000085662,GENE ID:231,AKR1B1
AKR1B1P2,HGNC:425,,GENE ID:236,AKR1B1P2
ALK,HGNC:427,ENSG00000171094,GENE ID:238,ALK
ALOX12,HGNC:429,ENSG00000108839,GENE ID:239,ALOX12
ALOX5,HGNC:435,ENSG00000012779,GENE ID:240,ALOX5
ALOX5AP,HGNC:436,ENSG00000132965,GENE ID:241,ALOX5AP
ALOX12B,HGNC:430,ENSG00000179477,GENE ID:242,ALOX12B
ALOX12P1,HGNC:431,,GENE ID:243,ALOX12P1
ALOX12P2,HGNC:432,ENSG00000291084,GENE ID:245,ALOX12P2
ALOX15,HGNC:433,ENSG00000161905,GENE ID:246,ALOX15
ALOX15B,HGNC:434,ENSG00000179593,GENE ID:247,ALOX15B
ALPI,HGNC:437,ENSG00000163295,GENE ID:248,ALPI
ALPL,HGNC:438,ENSG00000162551,GENE ID:249,ALPL
ALPP,HGNC:439,ENSG00000163283,GENE ID:250,ALPP
ALPG,HGNC:441,ENSG00000163286,GENE ID:251,ALPG
ALX3,HGNC:449,ENSG00000156150,GENE ID:257,ALX3
AMBN,HGNC:452,ENSG00000178522,GENE ID:258,AMBN
AMBP,HGNC:453,ENSG00000106927,GENE ID:259,AMBP
AMD1,HGNC:457,ENSG00000123505,GENE ID:262,AMD1
AMD1P2,HGNC:460,,GENE ID:263,AMD1P2
AMELX,HGNC:461,ENSG00000125363,GENE ID:265,AMELX
AMELY,HGNC:462,ENSG00000099721,GENE ID:266,AMELY
AMFR,HGNC:463,ENSG00000159461,GENE ID:267,AMFR
AMH,HGNC:464,ENSG00000104899,GENE ID:268,AMH
AMHR2,HGNC:465,ENSG00000135409,GENE ID:269,AMHR2
AMPD1,HGNC:468,ENSG00000116748,GENE ID:270,AMPD1
AMPD2,HGNC:469,ENSG00000116337,GENE ID:271,AMPD2
AMPD3,HGNC:470,ENSG00000133805,GENE ID:272,AMPD3
AMPH,HGNC:471,ENSG00000078053,GENE ID:273,AMPH
BIN1,HGNC:1052,ENSG00000136717,GENE ID:274,BIN1
AMT,HGNC:473,ENSG00000145020,GENE ID:275,AMT
AMY1A,HGNC:474,ENSG00000237763,GENE ID:276,AMY1A
AMY1B,HGNC:475,ENSG00000174876,GENE ID:277,AMY1B
AMY1C,HGNC:476,ENSG00000187733,GENE ID:278,AMY1C
AMY2A,HGNC:477,ENSG00000243480,GENE ID:279,AMY2A
AMY2B,HGNC:478,ENSG00000240038,GENE ID:280,AMY2B
AMYP1,HGNC:479,ENSG00000227408,GENE ID:281,AMYP1
ANCR,HGNC:482,,GENE ID:282,ANCR
ANG,HGNC:483,ENSG00000214274,GENE ID:283,ANG
ANGPT1,HGNC:484,ENSG00000154188,GENE ID:284,ANGPT1
ANGPT2,HGNC:485,ENSG00000091879,GENE ID:285,ANGPT2
ANK1,HGNC:492,ENSG00000029534,GENE ID:286,ANK1
ANK2,HGNC:493,ENSG00000145362,GENE ID:287,ANK2
ANK3,HGNC:494,ENSG00000151150,GENE ID:288,ANK3
ANPEP,HGNC:500,ENSG00000166825,GENE ID:290,ANPEP
SLC25A4,HGNC:10990,ENSG00000151729,GENE ID:291,SLC25A4
SLC25A5,HGNC:10991,ENSG00000005022,GENE ID:292,SLC25A5
SLC25A6,HGNC:10992,ENSG00000292334,GENE ID:293,SLC25A6
ANXA1,HGNC:533,ENSG00000135046,GENE ID:301,ANXA1
ANXA2,HGNC:537,ENSG00000182718,GENE ID:302,ANXA2
ANXA2P1,HGNC:538,,GENE ID:303,ANXA2P1
ANXA2P2,HGNC:539,,GENE ID:304,ANXA2P2
ANXA2P3,HGNC:540,,GENE ID:305,ANXA2P3
ANXA3,HGNC:541,ENSG00000138772,GENE ID:306,ANXA3
ANXA4,HGNC:542,ENSG00000196975,GENE ID:307,ANXA4
ANXA5,HGNC:543,ENSG00000164111,GENE ID:308,ANXA5
ANXA6,HGNC:544,ENSG00000197043,GENE ID:309,ANXA6
ANXA7,HGNC:545,ENSG00000138279,GENE ID:310,ANXA7
ANXA11,HGNC:535,ENSG00000122359,GENE ID:311,ANXA11
ANXA13,HGNC:536,ENSG00000104537,GENE ID:312,ANXA13
AOAH,HGNC:548,ENSG00000136250,GENE ID:313,AOAH
AOC2,HGNC:549,ENSG00000131480,GENE ID:314,AOC2
AOX1,HGNC:553,ENSG00000138356,GENE ID:316,AOX1
APAF1,HGNC:576,ENSG00000120868,GENE ID:317,APAF1
NUDT2,HGNC:8049,ENSG00000164978,GENE ID:318,NUDT2
APOF,HGNC:615,ENSG00000175336,GENE ID:319,APOF
APBA1,HGNC:578,ENSG00000107282,GENE ID:320,APBA1
APBA2,HGNC:579,ENSG00000034053,GENE ID:321,APBA2
APBB1,HGNC:581,ENSG00000166313,GENE ID:322,APBB1
APBB2,HGNC:582,ENSG00000163697,GENE ID:323,APBB2
APC,HGNC:583,ENSG00000134982,GENE ID:324,APC
APCS,HGNC:584,ENSG00000132703,GENE ID:325,APCS
AIRE,HGNC:360,ENSG00000160224,GENE ID:326,AIRE
APEH,HGNC:586,ENSG00000164062,GENE ID:327,APEH
APEX1,HGNC:587,ENSG00000100823,GENE ID:328,APEX1
BIRC2,HGNC:590,ENSG00000110330,GENE ID:329,BIRC2
BIRC3,HGNC:591,ENSG00000023445,GENE ID:330,BIRC3
XIAP,HGNC:592,ENSG00000101966,GENE ID:331,XIAP
BIRC5,HGNC:593,ENSG00000089685,GENE ID:332,BIRC5
APLP1,HGNC:597,ENSG00000105290,GENE ID:333,APLP1
APLP2,HGNC:598,ENSG00000084234,GENE ID:334,APLP2
APOA1,HGNC:600,ENSG00000118137,GENE ID:335,APOA1
APOA2,HGNC:601,ENSG00000158874,GENE ID:336,APOA2
APOA4,HGNC:602,ENSG00000110244,GENE ID:337,APOA4
APOB,HGNC:603,ENSG00000084674,GENE ID:338,APOB
APOBEC1,HGNC:604,ENSG00000111701,GENE ID:339,APOBEC1
APOC1,HGNC:607,ENSG00000130208,GENE ID:341,APOC1
APOC1P1,HGNC:608,ENSG00000291128,GENE ID:342,APOC1P1
AQP8,HGNC:642,ENSG00000103375,GENE ID:343,AQP8
APOC2,HGNC:609,ENSG00000234906,GENE ID:344,APOC2
APOC3,HGNC:610,ENSG00000110245,GENE ID:345,APOC3
APOC4,HGNC:611,ENSG00000267467,GENE ID:346,APOC4
APOD,HGNC:612,ENSG00000189058,GENE ID:347,APOD
APOE,HGNC:613,ENSG00000130203,GENE ID:348,APOE
APOH,HGNC:616,ENSG00000091583,GENE ID:350,APOH
APP,HGNC:620,ENSG00000142192,GENE ID:351,APP
APRT,HGNC:626,ENSG00000198931,GENE ID:353,APRT
KLK3,HGNC:6364,ENSG00000142515,GENE ID:354,KLK3
FAS,HGNC:11920,ENSG00000026103,GENE ID:355,FAS
FASLG,HGNC:11936,ENSG00000117560,GENE ID:356,FASLG
SHROOM2,HGNC:630,ENSG00000146950,GENE ID:357,SHROOM2
AQP1,HGNC:633,ENSG00000240583,GENE ID:358,AQP1
AQP2,HGNC:634,ENSG00000167580,GENE ID:359,AQP2
AQP3,HGNC:636,ENSG00000165272,GENE ID:360,AQP3
AQP4,HGNC:637,ENSG00000171885,GENE ID:361,AQP4
