,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
20986,HGNC:23396,PHYHD1,MGC16638,GENE ID:254295,ENSG00000175287
20987,HGNC:23397,FKBP15,PPP1R76,GENE ID:23307,ENSG00000119321
20988,HGNC:23397,FKBP15,FKBP133,GENE ID:23307,ENSG00000119321
20989,HGNC:23397,FKBP15,WAFL,GENE ID:23307,ENSG00000119321
20990,HGNC:23399,FREM1,FLJ25461,GENE ID:158326,ENSG00000164946
20991,HGNC:23399,FREM1,C9orf145,GENE ID:158326,ENSG00000164946
20992,HGNC:23399,FREM1,C9orf143,GENE ID:158326,ENSG00000164946
20993,HGNC:23399,FREM1,DKFZp686M16108,GENE ID:158326,ENSG00000164946
20994,HGNC:23399,FREM1,TILRR,GENE ID:158326,ENSG00000164946
20995,HGNC:234,ADCY3,AC3,GENE ID:109,ENSG00000138031
20996,HGNC:2340,CRADD,RAIDD,GENE ID:8738,ENSG00000169372
20997,HGNC:23400,SEC11C,SPC21,GENE ID:90701,ENSG00000166562
20998,HGNC:23400,SEC11C,SPCS4C,GENE ID:90701,ENSG00000166562
20999,HGNC:23401,SPCS1,SPC12,GENE ID:28972,ENSG00000114902
21000,HGNC:23401,SPCS1,HSPC033,GENE ID:28972,ENSG00000114902
21001,HGNC:23401,SPCS1,YJR010C-A,GENE ID:28972,ENSG00000114902
21002,HGNC:23401,SPCS1,SPC1,GENE ID:28972,ENSG00000114902
21003,HGNC:23402,SRP9P1,,GENE ID:653226,ENSG00000180581
21004,HGNC:23404,LRIT1,PAL,GENE ID:26103,ENSG00000148602
21005,HGNC:23404,LRIT1,DKFZP434K091,GENE ID:26103,ENSG00000148602
21006,HGNC:23404,LRIT1,FIGLER9,GENE ID:26103,ENSG00000148602
21007,HGNC:23405,LRMDA,CDA017,GENE ID:83938,ENSG00000148655
21008,HGNC:23405,LRMDA,OCA7,GENE ID:83938,ENSG00000148655
21009,HGNC:23406,DOLK,KIAA1094,GENE ID:22845,ENSG00000175283
21010,HGNC:23406,DOLK,DK1,GENE ID:22845,ENSG00000175283
21011,HGNC:23408,ECHDC2,FLJ10948,GENE ID:55268,ENSG00000121310
21012,HGNC:23409,ENPP6,MGC33971,GENE ID:133121,ENSG00000164303
21013,HGNC:23410,TMBIM1,PP1201,GENE ID:64114,ENSG00000135926
21014,HGNC:23410,TMBIM1,RECS1,GENE ID:64114,ENSG00000135926
21015,HGNC:23410,TMBIM1,LFG3,GENE ID:64114,ENSG00000135926
21016,HGNC:23411,RPS26P3,bA338L20.1,GENE ID:441386,ENSG00000212829
21017,HGNC:23412,LCN1P1,bA430N14.2,GENE ID:286310,ENSG00000119440
21018,HGNC:23414,WASHC2C,Em:AC012044.3,GENE ID:253725,ENSG00000172661
21019,HGNC:23414,WASHC2C,KIAA0592,GENE ID:253725,ENSG00000172661
21020,HGNC:23416,WASHC2A,bA56A21.1,GENE ID:387680,ENSG00000099290
21021,HGNC:23416,WASHC2A,bA98I6.1,GENE ID:387680,ENSG00000099290
21022,HGNC:23416,WASHC2A,FLJ10824,GENE ID:387680,ENSG00000099290
21023,HGNC:23419,KIFBP,DKFZP586B0923,GENE ID:26128,ENSG00000198954
21024,HGNC:23419,KIFBP,TTC20,GENE ID:26128,ENSG00000198954
21025,HGNC:23419,KIFBP,KBP,GENE ID:26128,ENSG00000198954
21026,HGNC:2342,CRAT,CAT1,GENE ID:1384,ENSG00000095321
21027,HGNC:23421,LRRC20,FLJ10751,GENE ID:55222,ENSG00000172731
21028,HGNC:23421,LRRC20,FLJ10844,GENE ID:55222,ENSG00000172731
21029,HGNC:23423,PTPN20,bA42B19.1,GENE ID:26095,ENSG00000204179
21030,HGNC:23423,PTPN20,DKFZP566K0524,GENE ID:26095,ENSG00000204179
21031,HGNC:23423,PTPN20,bA142I17.1,GENE ID:26095,ENSG00000204179
21032,HGNC:23423,PTPN20,CT126,GENE ID:26095,ENSG00000204179
21033,HGNC:23424,PTPN20CP,bA164N7.3,GENE ID:653045,ENSG00000278561
21034,HGNC:23425,HLA-W,,GENE ID:352966,ENSG00000235290
21035,HGNC:23426,BANF1P2,bA122K13.8,,ENSG00000230306
21036,HGNC:23427,KIAA1958,FLJ39294,GENE ID:158405,ENSG00000165185
21037,HGNC:23428,FGFBP3,MGC39320,GENE ID:143282,ENSG00000174721
21038,HGNC:23429,MEIG1,bA2K17.3,GENE ID:644890,ENSG00000197889
21039,HGNC:23429,MEIG1,SPATA39,GENE ID:644890,ENSG00000197889
21040,HGNC:2343,CRB1,LCA8,GENE ID:23418,ENSG00000134376
21041,HGNC:23432,CNTLN,FLJ20276,GENE ID:54875,ENSG00000044459
21042,HGNC:23432,CNTLN,bA340N12.1,GENE ID:54875,ENSG00000044459
21043,HGNC:23432,CNTLN,OTTHUMG00000019597,GENE ID:54875,ENSG00000044459
21044,HGNC:23433,C9orf40,FLJ10110,GENE ID:55071,ENSG00000135045
21045,HGNC:23434,CCNJ,FLJ10895,GENE ID:54619,ENSG00000107443
21046,HGNC:23434,CCNJ,bA690P14.1,GENE ID:54619,ENSG00000107443
