symbol_counts,num_collision_symbol,percent_collision_symbol
2,3858,73.40182648401826
3,538,10.235920852359207
4,141,2.682648401826484
5,69,1.3127853881278537
6,31,0.5898021308980212
7,16,0.30441400304414
8,5,0.09512937595129375
9,5,0.09512937595129375
10,12,0.228310502283105
11,3,0.05707762557077625
12,2,0.0380517503805175
14,15,0.28538812785388123
37,1,0.01902587519025875
