,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11038,CATSPERE,C1orf101,{'HGNC:28491'},{'ENSG00000179397'},{'GENE ID:257044'}
11039,CATSPERE,MGC33370,{'HGNC:28491'},{'ENSG00000179397'},{'GENE ID:257044'}
11040,CATSPERG,C19ORF15,{'HGNC:25243'},{'ENSG00000099338'},{'GENE ID:57828'}
11041,CATSPERG,C19orf15,{'HGNC:25243'},{'ENSG00000099338'},{'GENE ID:57828'}
11042,CATSPERG,DKFZP434A1022,{'HGNC:25243'},{'ENSG00000099338'},{'GENE ID:57828'}
11043,CATSPERG,DKFZp434A1022,{'HGNC:25243'},{'ENSG00000099338'},{'GENE ID:57828'}
11044,CATSPERG,FLJ46353,{'HGNC:25243'},{'ENSG00000099338'},{'GENE ID:57828'}
11045,CATSPERH,TMEM262,{'HGNC:49389'},{'ENSG00000187066'},{'GENE ID:100130348'}
11046,CATSPERH,,{'HGNC:49389'},{'ENSG00000187066'},{'GENE ID:100130348'}
11047,CATSPERQ,C8ORFK29,{'HGNC:44155'},{'ENSG00000261587'},{'GENE ID:340393'}
11048,CATSPERQ,C8orfK29,{'HGNC:44155'},{'ENSG00000261587'},{'GENE ID:340393'}
11049,CATSPERQ,TMEM249,{'HGNC:44155'},{'ENSG00000261587'},{'GENE ID:340393'}
11050,CATSPERT,ALS2CR11,{'HGNC:14438'},{'ENSG00000155754'},{'GENE ID:151254'}
11051,CATSPERT,C2CD6,{'HGNC:14438'},{'ENSG00000155754'},{'GENE ID:151254'}
11052,CATSPERT,FLJ25351,{'HGNC:14438'},{'ENSG00000155754'},{'GENE ID:151254'}
11053,CATSPERT,SPGF68,{'HGNC:14438'},{'ENSG00000155754'},{'GENE ID:151254'}
11054,CATSPERZ,C11ORF20,{'HGNC:19231'},{'ENSG00000219435'},{'GENE ID:25858'}
11055,CATSPERZ,C11orf20,{'HGNC:19231'},{'ENSG00000219435'},{'GENE ID:25858'}
11056,CATSPERZ,DKFZP566E164,{'HGNC:19231'},{'ENSG00000219435'},{'GENE ID:25858'}
11057,CATSPERZ,TEX40,{'HGNC:19231'},{'ENSG00000219435'},{'GENE ID:25858'}
11058,CAV1,BSCL3,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11059,CAV1,CAV,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11060,CAV1,CGL3,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11061,CAV1,LCCNS,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11062,CAV1,MSTP085,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11063,CAV1,PPH3,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
