primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
OSBPL9,HGNC:16386,ENSG00000117859,GENE ID:114883,
TMEM95,HGNC:27898,ENSG00000288511,GENE ID:339168,MGC129793
TMEM95,HGNC:27898,ENSG00000288511,GENE ID:339168,UNQ9390
VPS51P2,HGNC:56434,ENSG00000232097,,
AP1S2P1,HGNC:50752,ENSG00000226046,,
PON3,HGNC:9206,ENSG00000105852,GENE ID:5446,
ZCCHC3,HGNC:16230,ENSG00000247315,GENE ID:85364,C20ORF99
ZCCHC3,HGNC:16230,ENSG00000247315,GENE ID:85364,DJ1103G7.7
GPR22,HGNC:4477,ENSG00000283812,GENE ID:2845,
TBC1D20,HGNC:16133,ENSG00000125875,GENE ID:128637,C20ORF140
TBC1D20,HGNC:16133,ENSG00000125875,GENE ID:128637,DJ852M4.2
COX5BP1,HGNC:2270,ENSG00000248448,,COX5BL1
THRAP3P2,HGNC:54830,ENSG00000259057,,
DDIT4L,HGNC:30555,ENSG00000145358,GENE ID:115265,REDD2
DDIT4L,HGNC:30555,ENSG00000145358,GENE ID:115265,RTP801L
DUS4L,HGNC:21517,ENSG00000284103,GENE ID:11062,DUS4
DUS4L,HGNC:21517,ENSG00000284103,GENE ID:11062,PP35
RPL7L1P15,HGNC:56797,ENSG00000259208,,
LINC02157,HGNC:53018,ENSG00000259763,,RP11-327J17.1
DUSP12P1,HGNC:49059,ENSG00000277000,,
NDUFA4P2,HGNC:31362,ENSG00000236691,,BCM1723
NDUFA4P2,HGNC:31362,ENSG00000236691,,NDUFA4L
AEN,HGNC:25722,ENSG00000181026,GENE ID:64782,FLJ12484
AEN,HGNC:25722,ENSG00000181026,GENE ID:64782,FLJ12562
AEN,HGNC:25722,ENSG00000181026,GENE ID:64782,ISG20L1
RAB33A,HGNC:9773,ENSG00000134594,GENE ID:9363,RABS10
GPR180,HGNC:28899,ENSG00000152749,GENE ID:160897,ITR
SCLT1,HGNC:26406,ENSG00000151466,GENE ID:132320,FLJ30655
SCLT1,HGNC:26406,ENSG00000151466,GENE ID:132320,HCAP-1A
CTNNA1P1,HGNC:2513,ENSG00000249026,,CTNNAP1
OR7H2P,HGNC:31314,ENSG00000251261,,
ABHD12B,HGNC:19837,ENSG00000131969,GENE ID:145447,BEM46L3
ABHD12B,HGNC:19837,ENSG00000131969,GENE ID:145447,C14ORF29
CBLB,HGNC:1542,ENSG00000114423,GENE ID:868,CBL-B
CBLB,HGNC:1542,ENSG00000114423,GENE ID:868,RNF56
THEMIS3P,HGNC:49196,ENSG00000229442,,
CCT5P1,HGNC:35135,ENSG00000250444,,
AKR1B1P6,HGNC:33498,ENSG00000225212,,
MARCHF3,HGNC:28728,ENSG00000173926,GENE ID:115123,MARCH-III
MARCHF3,HGNC:28728,ENSG00000173926,GENE ID:115123,MARCH3
MARCHF3,HGNC:28728,ENSG00000173926,GENE ID:115123,MGC48332
MARCHF3,HGNC:28728,ENSG00000173926,GENE ID:115123,RNF173
RNA5SP36,HGNC:42612,ENSG00000222129,,RN5S36
RAB12,HGNC:31332,ENSG00000206418,GENE ID:201475,
RN7SL585P,HGNC:46601,ENSG00000274168,,
ZNF280C,HGNC:25955,ENSG00000056277,GENE ID:55609,FLJ20095
ZNF280C,HGNC:25955,ENSG00000056277,GENE ID:55609,SUHW3
ZNF280C,HGNC:25955,ENSG00000056277,GENE ID:55609,ZNF633
ZNF280C,HGNC:25955,ENSG00000056277,GENE ID:55609,ZPET
SOX21-AS1,HGNC:39807,ENSG00000227640,GENE ID:100507533,
SOX21,HGNC:11197,ENSG00000125285,GENE ID:11166,SOX25
BRD7P5,HGNC:37631,ENSG00000235768,,
RPL21P112,HGNC:36526,ENSG00000237924,,
LINC00557,HGNC:43701,ENSG00000260962,GENE ID:100861544,
RNU6-62P,HGNC:42552,ENSG00000252335,,RNU6-62
OGN,HGNC:8126,ENSG00000106809,GENE ID:4969,MIMECAN
OGN,HGNC:8126,ENSG00000106809,GENE ID:4969,OIF
OGN,HGNC:8126,ENSG00000106809,GENE ID:4969,SLRR3A
ABCC4,HGNC:55,ENSG00000125257,GENE ID:10257,EST170205
