,HGNC_ID,ENSG_ID,NCBI_ID,primary_gene_symbol,gene_symbol,captured,captured as:
139567,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,FINGER6,F,
139568,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,FinGER6,F,
139569,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,MGC21416,T,Placeholder Symbol
139570,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,YIP4,T,Ortholog Symbol
139571,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,YIPF6,T,Primary Gene Symbol
139572,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,YIPFALPHA3,T,Gene Group Symbol
139573,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,YIPFalpha3,T,Gene Group Symbol
139574,{'HGNC:28304'},{'ENSG00000181704'},{'GENE ID:286451'},YIPF6,Yip4,T,Ortholog Symbol
139575,{'HGNC:26825'},{'ENSG00000177752'},{'GENE ID:285525'},YIPF7,FINGER9,F,
139576,{'HGNC:26825'},{'ENSG00000177752'},{'GENE ID:285525'},YIPF7,FLJ39576,T,Clone Name Symbol
