,HGNC_ID,ENSG_ID,NCBI_ID,primary_gene_symbol,gene_symbol,captured,captured as:
139394,{'HGNC:15517'},{'ENSG00000015532'},{'GENE ID:64132'},XYLT2,SOS,T,Phenotype Symbol
139395,{'HGNC:15517'},{'ENSG00000015532'},{'GENE ID:64132'},XYLT2,XT-II,T,Alternate Abbreviation Symbol
139396,{'HGNC:15517'},{'ENSG00000015532'},{'GENE ID:64132'},XYLT2,XT2,T,Alternate Abbreviation Symbol
139397,{'HGNC:15517'},{'ENSG00000015532'},{'GENE ID:64132'},XYLT2,XYLT2,T,Primary Gene Symbol
139398,{'HGNC:15517'},{'ENSG00000015532'},{'GENE ID:64132'},XYLT2,xylT-II,T,Alternate Abbreviation Symbol
139399,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,C7ORF36,T,"Previous Symbol, Placeholder Symbol"
139400,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,C7orf36,T,"Previous Symbol, Placeholder Symbol"
139401,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,CIAB2,F,
139402,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,GK003,F,
139403,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,YAE1,T,Primary Gene Symbol
139404,{'HGNC:24857'},{'ENSG00000241127'},{'GENE ID:57002'},YAE1,YAE1D1,T,"Previous Symbol, Ortholog Symbol"
139405,{'HGNC:55820'},{'ENSG00000227172'},{'GENE ID:105375240'},YAE1-DT,YAE1-DT,T,Primary Gene Symbol
139406,{'HGNC:17363'},{'ENSG00000015153'},{'GENE ID:10138'},YAF2,YAF2,T,Primary Gene Symbol
139407,{'HGNC:49034'},set(),{'GENE ID:107161157'},YAM1,YAM1,T,Primary Gene Symbol
139408,{'HGNC:49034'},set(),{'GENE ID:107161157'},YAM1,Yam-1,T,Alternate Abbreviation Symbol
139409,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,COB1,T,Phenotype Symbol
139410,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YAP,T,Alternate Abbreviation Symbol
139411,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YAP-1,T,"Ortholog Symbol, Alternate Abbreviation Symbol"
139412,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YAP1,T,Primary Gene Symbol
139413,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YAP2,F,
139414,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YAP65,F,
139415,{'HGNC:16262'},{'ENSG00000137693'},{'GENE ID:10413'},YAP1,YKI,F,
139416,{'HGNC:58148'},{'ENSG00000277459'},set(),YAP1-DT,AC107464.2,F,
139417,{'HGNC:58148'},{'ENSG00000277459'},{'GENE ID:138842266'},YAP1-DT,YAP1-DT,T,Primary Gene Symbol
139418,{'HGNC:38016'},{'ENSG00000220494'},{'GENE ID:442266'},YAP1P1,YAP1P1,T,Primary Gene Symbol
139419,{'HGNC:38017'},{'ENSG00000236080'},{'GENE ID:100419909'},YAP1P2,YAP1P2,T,Primary Gene Symbol
139420,{'HGNC:43890'},{'ENSG00000275953'},{'GENE ID:100419883'},YAP1P3,YAP1P3,T,Primary Gene Symbol
139421,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,CMTDIC,T,"Previous Symbol, Phenotype Symbol"
139422,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,IMNEPD2,T,Phenotype Symbol
139423,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,TYRRS,T,"Ortholog Symbol, Alternate Abbreviation Symbol"
139424,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,YARS,T,"Previous Symbol, Ortholog Symbol, Withdrawn Ortholog Symbol, Alternate Abbreviation Symbol"
139425,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,YARS1,T,Primary Gene Symbol
139426,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,YRS,T,Alternate Abbreviation Symbol
139427,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,YTS,F,
139428,{'HGNC:12840'},{'ENSG00000134684'},{'GENE ID:8565'},YARS1,tyrRS,T,"Ortholog Symbol, Alternate Abbreviation Symbol"
139429,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,CGI-04,F,
139430,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,FLJ13995,T,Clone Name Symbol
139431,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,MLASA2,T,Phenotype Symbol
139432,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,MT-TYRRS,F,
139433,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,TYRRS,T,Alternate Abbreviation Symbol
139434,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,YARS2,T,Primary Gene Symbol
139435,{'HGNC:24249'},{'ENSG00000139131'},{'GENE ID:51067'},YARS2,mt-TyrRS,T,Alternate Abbreviation Symbol
139436,{'HGNC:1299'},{'ENSG00000182362'},{'GENE ID:54059'},YBEY,C21ORF57,T,"Previous Symbol, Placeholder Symbol"
139437,{'HGNC:1299'},{'ENSG00000182362'},{'GENE ID:54059'},YBEY,C21orf57,T,"Previous Symbol, Placeholder Symbol"
139438,{'HGNC:1299'},{'ENSG00000182362'},{'GENE ID:54059'},YBEY,YBEY,T,Primary Gene Symbol
139439,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,BP-8,F,
139440,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,CBF-A,F,
139441,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,CSDA2,F,
139442,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,CSDB,F,
139443,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,DBPB,F,
139444,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,EFI-A,F,
139445,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,MDR-NF1,F,
139446,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,NSEP-1,F,
139447,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,NSEP1,T,"Previous Symbol, Withdrawn Ortholog Symbol"
139448,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,YB-1,T,Alternate Abbreviation Symbol
139449,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,YB1,T,"Previous Symbol, Alternate Abbreviation Symbol"
139450,{'HGNC:8014'},{'ENSG00000065978'},{'GENE ID:4904'},YBX1,YBX1,T,Primary Gene Symbol
139451,{'HGNC:8015'},{'ENSG00000224861'},{'GENE ID:50631'},YBX1P1,NSEP1P,T,Previous Symbol
139452,{'HGNC:8015'},{'ENSG00000224861'},{'GENE ID:50631'},YBX1P1,PSDBPB1,F,
139453,{'HGNC:8015'},{'ENSG00000224861'},{'GENE ID:50631'},YBX1P1,YBX1P1,T,Primary Gene Symbol
139454,{'HGNC:42432'},set(),{'GENE ID:158373'},YBX1P10,BA327L3.4,F,
139455,{'HGNC:42432'},{'ENSG00000213866'},{'GENE ID:158373'},YBX1P10,YBX1P10,T,Primary Gene Symbol
139456,{'HGNC:22635'},{'ENSG00000231167'},{'GENE ID:646531'},YBX1P2,TCAG_1818537,F,
139457,{'HGNC:22635'},{'ENSG00000231167'},{'GENE ID:646531'},YBX1P2,YBX1P2,T,Primary Gene Symbol
139458,{'HGNC:42424'},{'ENSG00000240002'},{'GENE ID:100861556'},YBX1P3,YBX1P3,T,Primary Gene Symbol
139459,{'HGNC:42425'},{'ENSG00000213188'},{'GENE ID:100131012'},YBX1P4,YBX1P4,T,Primary Gene Symbol
139460,{'HGNC:42426'},{'ENSG00000251108'},{'GENE ID:100861569'},YBX1P5,YBX1P5,T,Primary Gene Symbol
139461,{'HGNC:42427'},{'ENSG00000213539'},{'GENE ID:402375'},YBX1P6,YBX1P6,T,Primary Gene Symbol
139462,{'HGNC:42428'},{'ENSG00000232349'},{'GENE ID:100861431'},YBX1P7,YBX1P7,T,Primary Gene Symbol
139463,{'HGNC:42429'},{'ENSG00000226048'},{'GENE ID:100861476'},YBX1P8,YBX1P8,T,Primary Gene Symbol
139464,{'HGNC:42430'},{'ENSG00000236994'},{'GENE ID:100861470'},YBX1P9,YBX1P9,T,Primary Gene Symbol
139465,{'HGNC:17948'},"{'ENSG00000288504', 'ENSG00000006047'}",{'GENE ID:51087'},YBX2,CONTRIN,F,
139466,{'HGNC:17948'},"{'ENSG00000288504', 'ENSG00000006047'}",{'GENE ID:51087'},YBX2,CSDA3,F,
139467,{'HGNC:17948'},{'ENSG00000006047'},{'GENE ID:51087'},YBX2,Contrin,F,
139468,{'HGNC:17948'},{'ENSG00000006047'},{'GENE ID:51087'},YBX2,DBPC,F,
139469,{'HGNC:17948'},"{'ENSG00000288504', 'ENSG00000006047'}",{'GENE ID:51087'},YBX2,MSY2,T,Alternate Abbreviation Symbol
139470,{'HGNC:17948'},"{'ENSG00000288504', 'ENSG00000006047'}",{'GENE ID:51087'},YBX2,YBX2,T,Primary Gene Symbol
139471,{'HGNC:49498'},{'ENSG00000213438'},{'GENE ID:100124332'},YBX2P1,YBX2P1,T,Primary Gene Symbol
139472,{'HGNC:54721'},{'ENSG00000258611'},{'GENE ID:100124334'},YBX2P2,YBX2P2,T,Primary Gene Symbol
139473,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,CSDA,T,"Previous Symbol, Withdrawn Ortholog Symbol"
139474,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,CSDA1,F,
139475,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,DBPA,F,
139476,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,YBX3,T,Primary Gene Symbol
139477,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,ZONAB,F,
139478,{'HGNC:2428'},{'ENSG00000060138'},{'GENE ID:8531'},YBX3,dbpA,T,Alternate Abbreviation Symbol
139479,{'HGNC:2429'},{'ENSG00000261614'},{'GENE ID:440359'},YBX3P1,CSDAP1,T,Previous Symbol
139480,{'HGNC:2429'},{'ENSG00000261614'},{'GENE ID:440359'},YBX3P1,YBX3P1,T,Primary Gene Symbol
139481,{'HGNC:27158'},{'ENSG00000161179'},{'GENE ID:150223'},YDJC,YDJC,T,Primary Gene Symbol
139482,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,FAME4,T,"Previous Symbol, Phenotype Symbol"
139483,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,FLJ10201,T,Clone Name Symbol
139484,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,FLJ12841,T,Clone Name Symbol
139485,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,FLJ13308,T,Clone Name Symbol
