,num_gene_records,num_collision_symbol,percent_collision_symbol
0,2,2747,80.50996483001173
1,3,404,11.840562719812427
2,4,134,3.9273153575615476
3,5,53,1.5533411488862838
4,6,19,0.5568581477139508
5,7,13,0.3810082063305979
6,8,7,0.20515826494724504
7,9,15,0.4396248534583822
8,10,2,0.058616647127784284
9,11,1,0.029308323563892142
10,12,1,0.029308323563892142
11,13,14,0.4103165298944901
12,14,1,0.029308323563892142
13,36,1,0.029308323563892142
