HGNC_ID,primary_gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
HGNC:10047,RNASE4,RAB1,GENE ID:6038,ENSG00000258818
HGNC:10048,RNASE6,RAD1,GENE ID:6039,ENSG00000169413
HGNC:10048,RNASE6,RNaseK6,GENE ID:6039,ENSG00000169413
HGNC:10049,RNASEH1P1,RNH1,GENE ID:284203,ENSG00000265790
HGNC:1005,BCL7B,SMARCJ2,GENE ID:9275,ENSG00000106635
HGNC:10050,RNASEL,,GENE ID:6041,ENSG00000135828
HGNC:10055,RNF10,KIAA0262,GENE ID:9921,ENSG00000022840
HGNC:10055,RNF10,RIE2,GENE ID:9921,ENSG00000022840
HGNC:10056,RNF11,CGI-123,GENE ID:26994,ENSG00000123091
HGNC:10056,RNF11,Sid1669p,GENE ID:26994,ENSG00000123091
HGNC:10056,RNF11,MGC51169,GENE ID:26994,ENSG00000123091
HGNC:10057,RNF13,RZF,GENE ID:11342,ENSG00000082996
HGNC:10058,RNF14,ARA54,GENE ID:9604,ENSG00000013561
HGNC:10058,RNF14,HFB30,GENE ID:9604,ENSG00000013561
HGNC:10058,RNF14,TRIAD2,GENE ID:9604,ENSG00000013561
HGNC:10059,TRIM38,RORET,GENE ID:10475,ENSG00000112343
HGNC:1006,BCL7C,SMARCJ3,GENE ID:9274,ENSG00000099385
HGNC:10060,RNF17,Mmip-2,GENE ID:56163,ENSG00000132972
HGNC:10060,RNF17,SPATA23,GENE ID:56163,ENSG00000132972
HGNC:10060,RNF17,FLJ11045,GENE ID:56163,ENSG00000132972
HGNC:10061,RNF2,BAP-1,GENE ID:6045,ENSG00000121481
HGNC:10061,RNF2,BAP1,GENE ID:6045,ENSG00000121481
HGNC:10061,RNF2,DING,GENE ID:6045,ENSG00000121481
HGNC:10061,RNF2,HIPI3,GENE ID:6045,ENSG00000121481
HGNC:10061,RNF2,RING1B,GENE ID:6045,ENSG00000121481
HGNC:10061,RNF2,RING2,GENE ID:6045,ENSG00000121481
HGNC:10062,RNF20,FLJ20382,GENE ID:56254,ENSG00000155827
HGNC:10062,RNF20,FLJ11189,GENE ID:56254,ENSG00000155827
HGNC:10062,RNF20,KAIA2779,GENE ID:56254,ENSG00000155827
HGNC:10062,RNF20,BRE1A,GENE ID:56254,ENSG00000155827
HGNC:10062,RNF20,hBRE1,GENE ID:56254,ENSG00000155827
HGNC:10062,RNF20,BRE1,GENE ID:56254,ENSG00000155827
HGNC:10063,TRIM34,,GENE ID:53840,ENSG00000258659
HGNC:10064,TRIM3,HAC1,GENE ID:10612,ENSG00000110171
HGNC:10064,TRIM3,BERP,GENE ID:10612,ENSG00000110171
HGNC:10064,TRIM3,RNF97,GENE ID:10612,ENSG00000110171
HGNC:10065,TRIM39,,GENE ID:56658,ENSG00000204599
HGNC:10066,PCGF3,FLJ36550,GENE ID:10336,ENSG00000185619
HGNC:10066,PCGF3,DONG1,GENE ID:10336,ENSG00000185619
HGNC:10066,PCGF3,RNF3A,GENE ID:10336,ENSG00000185619
HGNC:10066,PCGF3,MGC40413,GENE ID:10336,ENSG00000185619
HGNC:10067,RNF4,RES4-26,GENE ID:6047,ENSG00000063978
HGNC:10067,RNF4,SNURF,GENE ID:6047,ENSG00000063978
HGNC:10067,RNF4,SLX5,GENE ID:6047,ENSG00000063978
HGNC:10068,RNF5,NG2,GENE ID:6048,ENSG00000204308
HGNC:10068,RNF5,G16,GENE ID:6048,ENSG00000204308
HGNC:10068,RNF5,RING5,GENE ID:6048,ENSG00000204308
HGNC:10068,RNF5,RMA1,GENE ID:6048,ENSG00000204308
HGNC:10069,RNF6,DKFZp686P0776,GENE ID:6049,ENSG00000127870
HGNC:1007,NBEAP1,BCL8A,GENE ID:606,ENSG00000258590
HGNC:10070,RNF7,SAG,GENE ID:9616,ENSG00000114125
HGNC:10070,RNF7,ROC2,GENE ID:9616,ENSG00000114125
HGNC:10070,RNF7,CKBBP1,GENE ID:9616,ENSG00000114125
HGNC:10070,RNF7,RBX2,GENE ID:9616,ENSG00000114125
HGNC:10071,RNF8,KIAA0646,GENE ID:9025,ENSG00000112130
HGNC:10072,TRIM10,RFB30,GENE ID:10107,ENSG00000204613
HGNC:10072,TRIM10,HERF1,GENE ID:10107,ENSG00000204613
HGNC:10073,RNGTT,HCE,GENE ID:8732,ENSG00000111880
HGNC:10073,RNGTT,HCE1,GENE ID:8732,ENSG00000111880
HGNC:10073,RNGTT,hCAP,GENE ID:8732,ENSG00000111880
HGNC:10074,RNH1,RAI,GENE ID:6050,ENSG00000023191
HGNC:10075,RNMT,RG7MT1,GENE ID:8731,ENSG00000101654
HGNC:10075,RNMT,N7-MTase,GENE ID:8731,ENSG00000101654
HGNC:10078,RNPEP,APB,GENE ID:6051,ENSG00000176393
HGNC:10079,RNPEPL1,,GENE ID:57140,ENSG00000142327
HGNC:1008,BCL9,,GENE ID:607,ENSG00000116128
HGNC:10080,RNPS1,,GENE ID:10921,ENSG00000205937
HGNC:10082,RNR1,,GENE ID:6052,
HGNC:10083,RNR2,,GENE ID:6053,
HGNC:10084,RNR3,,GENE ID:6054,
HGNC:10085,RNR4,,GENE ID:6055,
HGNC:10086,RNR5,,GENE ID:6056,
HGNC:10096,SNORD80,Z15,GENE ID:26774,
HGNC:10096,SNORD80,U80,GENE ID:26774,
HGNC:10097,SNORD4A,Z17A,GENE ID:26773,ENSG00000238578
HGNC:10097,SNORD4A,mgh18S-121,GENE ID:26773,ENSG00000238578
HGNC:10098,SNORD4B,Z17B,GENE ID:26772,ENSG00000238597
HGNC:10099,SNORD102,U102,GENE ID:26771,ENSG00000207500
HGNC:101,ASIC3,TNaC1,GENE ID:9311,ENSG00000213199
HGNC:101,ASIC3,DRASIC,GENE ID:9311,ENSG00000213199
HGNC:10100,SNORD79,Z22,GENE ID:26770,
HGNC:10100,SNORD79,U79,GENE ID:26770,
HGNC:10101,SNORD81,Z23,GENE ID:26769,
HGNC:10101,SNORD81,U81,GENE ID:26769,
HGNC:10103,RNU105B,E1-2,GENE ID:26767,ENSG00000201348
HGNC:10104,RNU105C,E1-5,GENE ID:26766,ENSG00000199212
HGNC:10104,RNU105C,E1-6,GENE ID:26766,ENSG00000199212
HGNC:10104,RNU105C,U105C,GENE ID:26766,ENSG00000199212
HGNC:10105,SNORD12C,U106,GENE ID:26765,ENSG00000209042
HGNC:10106,SNORA63,E3,GENE ID:6043,ENSG00000200320
HGNC:10106,SNORA63,E3-2,GENE ID:6043,ENSG00000200320
HGNC:10106,SNORA63,SNORA63A,GENE ID:6043,ENSG00000200320
HGNC:10107,SNORA62,E2,GENE ID:6044,ENSG00000202363
HGNC:10107,SNORA62,E2-1,GENE ID:6044,ENSG00000202363
HGNC:10108,RNU11,U11,GENE ID:26824,ENSG00000274978
HGNC:10108,RNU11,RNU11-1,GENE ID:26824,ENSG00000274978
HGNC:10109,RNU12-2P,U12,GENE ID:26823,ENSG00000201659
HGNC:10110,SNORD13P1,U13,GENE ID:6076,ENSG00000238498
HGNC:10110,SNORD13P1,U13.32A,GENE ID:6076,ENSG00000238498
HGNC:10111,SNORD13P2,U13,GENE ID:6077,
HGNC:10111,SNORD13P2,U13.12A,GENE ID:6077,
HGNC:10112,SNORD13P3,U13,GENE ID:6078,ENSG00000239128
HGNC:10112,SNORD13P3,U13.4B,GENE ID:6078,ENSG00000239128
HGNC:10113,SNORD14A,U14,GENE ID:26822,ENSG00000272034
HGNC:10113,SNORD14A,RNU14A,GENE ID:26822,ENSG00000272034
HGNC:10114,SNORD15A,U15A,GENE ID:6079,ENSG00000206941
HGNC:10115,SNORA73A,U17A,GENE ID:6080,ENSG00000274266
HGNC:10115,SNORA73A,E1-7,GENE ID:6080,ENSG00000274266
HGNC:10115,SNORA73A,E1b,GENE ID:6080,ENSG00000274266
HGNC:10115,SNORA73A,E1,GENE ID:6080,ENSG00000274266
HGNC:10116,SNORA73B,U17B,GENE ID:26768,ENSG00000200087
HGNC:10116,SNORA73B,E1c,GENE ID:26768,ENSG00000200087
HGNC:10118,SNHG3,U17HG,GENE ID:8420,ENSG00000242125
HGNC:10118,SNHG3,U17HG-A,GENE ID:8420,ENSG00000242125
HGNC:10118,SNHG3,NCRNA00014,GENE ID:8420,ENSG00000242125
HGNC:10119,SNORA74A,U19,GENE ID:26821,ENSG00000200959
HGNC:1012,OPN1SW,BOP,GENE ID:611,ENSG00000128617
HGNC:1012,OPN1SW,CBT,GENE ID:611,ENSG00000128617
HGNC:10120,RNU1-1,Rnu1a1,GENE ID:26871,ENSG00000206652
HGNC:10120,RNU1-1,U1,GENE ID:26871,ENSG00000206652
HGNC:10120,RNU1-1,HU1-1,GENE ID:26871,ENSG00000206652
HGNC:10120,RNU1-1,U1A1,GENE ID:26871,ENSG00000206652
HGNC:10120,RNU1-1,HSD1,GENE ID:26871,ENSG00000206652
HGNC:10123,RNU1-2,U1C1,GENE ID:26870,ENSG00000207005
HGNC:10123,RNU1-2,U1C21,GENE ID:26870,ENSG00000207005
HGNC:10128,RNU1-4,HSD6,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,U1E2,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,HSD2,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,U1D2,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,HSD5,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,U1B2,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,U1F,GENE ID:6060,ENSG00000207389
HGNC:10128,RNU1-4,HSD7,GENE ID:6060,ENSG00000207389
HGNC:10130,RNU1-3,HSD4,GENE ID:26869,ENSG00000207513
HGNC:10133,RNVU1-1,vU1.1,GENE ID:101954273,ENSG00000207340
HGNC:10133,RNVU1-1,U1P14,GENE ID:101954273,ENSG00000207340
HGNC:10133,RNVU1-1,U1.4,GENE ID:101954273,ENSG00000207340
HGNC:10133,RNVU1-1,vU1.10,GENE ID:101954273,ENSG00000207340
HGNC:10133,RNVU1-1,RNU1-53,GENE ID:101954273,ENSG00000207340
HGNC:10137,RNU1-11P,U1P1A,GENE ID:26861,ENSG00000206702
HGNC:10137,RNU1-11P,RNU1P1,GENE ID:26861,ENSG00000206702
HGNC:10139,RNU1-14P,U1P17,GENE ID:26859,ENSG00000199629
HGNC:1014,BCR,D22S662,GENE ID:613,ENSG00000186716
HGNC:1014,BCR,CML,GENE ID:613,ENSG00000186716
HGNC:1014,BCR,PHL,GENE ID:613,ENSG00000186716
HGNC:1014,BCR,ALL,GENE ID:613,ENSG00000186716
HGNC:10140,RNU1-15P,U1P11,GENE ID:26858,ENSG00000195024
HGNC:10142,RNU2-1,U2,GENE ID:6066,
HGNC:10143,SNORD20,U20,GENE ID:6082,ENSG00000207280
HGNC:10144,SNORD21,U21,GENE ID:6083,ENSG00000206680
HGNC:10145,SNORD22,U22,GENE ID:9304,ENSG00000277194
HGNC:10146,SNORD24,U24,GENE ID:26820,ENSG00000206611
HGNC:10147,SNORD25,U25,GENE ID:9303,ENSG00000275043
HGNC:10148,SNORD26,U26,GENE ID:9302,ENSG00000276788
HGNC:10149,SNORD27,U27,GENE ID:9301,ENSG00000275996
HGNC:1015,BCRP2,BCR-2,GENE ID:400892,ENSG00000169668
HGNC:10150,SNORD28,U28,GENE ID:9300,ENSG00000274544
HGNC:10150,SNORD28,SNORD28A,GENE ID:9300,ENSG00000274544
HGNC:10151,SNORD29,U29,GENE ID:9297,
HGNC:10152,RNU2-2,U2,GENE ID:26855,ENSG00000222328
HGNC:10153,RNU2-3P,U2,GENE ID:26854,ENSG00000222076
HGNC:10154,RNU2-4P,U2,GENE ID:26853,ENSG00000277084
HGNC:10154,RNU2-4P,U2/7,GENE ID:26853,ENSG00000277084
HGNC:10155,RNU2-5P,U2,GENE ID:26852,ENSG00000222465
HGNC:10155,RNU2-5P,u2.7,GENE ID:26852,ENSG00000222465
HGNC:10157,SNORD30,U30,GENE ID:9299,ENSG00000277846
HGNC:10158,SNORD31,U31,GENE ID:9298,
HGNC:10158,SNORD31,SNORD31A,GENE ID:9298,
HGNC:10159,SNORD32A,U32,GENE ID:26819,ENSG00000201675
HGNC:10159,SNORD32A,U32A,GENE ID:26819,ENSG00000201675
HGNC:1016,BCRP3,,GENE ID:644165,ENSG00000284128
HGNC:10160,SNORD33,U33,GENE ID:26818,ENSG00000199631
HGNC:10161,SNORD34,U34,GENE ID:26817,ENSG00000202503
HGNC:10162,SNORD35A,U35,GENE ID:26816,ENSG00000200259
HGNC:10162,SNORD35A,RNU35A,GENE ID:26816,ENSG00000200259
HGNC:10163,SNORD36A,U36a,GENE ID:26815,ENSG00000199744
HGNC:10164,SNORD36B,U36b,GENE ID:26814,ENSG00000200831
HGNC:10165,SNORD36C,U36c,GENE ID:26813,ENSG00000252542
HGNC:10166,SNORD37,U37,GENE ID:26812,ENSG00000206775
HGNC:10168,SNORD3B-1,U3a,GENE ID:26851,ENSG00000265185
HGNC:10168,SNORD3B-1,U3b1,GENE ID:26851,ENSG00000265185
HGNC:10168,SNORD3B-1,U3b2,GENE ID:26851,ENSG00000265185
HGNC:1017,BCRP4,BCR-4,GENE ID:616,ENSG00000215456
HGNC:10175,SNORD3P1,U3,GENE ID:6068,ENSG00000200318
HGNC:10177,SNORD3P3,U3,GENE ID:26843,
HGNC:10177,SNORD3P3,U3.5,GENE ID:26843,
HGNC:10177,SNORD3P3,u3.7,GENE ID:26843,
HGNC:10178,SNORD3P4,U3,GENE ID:26842,
HGNC:10178,SNORD3P4,U3.6,GENE ID:26842,
HGNC:10179,SNORD41,U41,GENE ID:26810,ENSG00000209702
HGNC:1018,BCRP5,,GENE ID:648980,ENSG00000235062
HGNC:10180,SNORD42A,U42,GENE ID:26809,ENSG00000238649
