HGNC_ID,primary_gene_symbol,collision,source,NCBI_ID,ENSG_ID,alias_symbol
HGNC:38675,C11orf96,AG2,HGNC,GENE ID:387763,ENSG00000187479,AG2
HGNC:328,AGR2,AG2,HGNC,GENE ID:10551,ENSG00000106541,"AG2,HAG-2,PDIA17,XAG-2"
HGNC:25718,LPCAT1,AGPAT10,HGNC,GENE ID:79888,ENSG00000153395,"AGPAT10,AGPAT9,FLJ12443,LPLAT8"
HGNC:28157,GPAT3,AGPAT10,HGNC,GENE ID:84803,ENSG00000138678,"AGPAT10,HMFN0839,LPAAT-theta,MAG1,MGC11324"
HGNC:17858,GPSM1,AGS3,HGNC,GENE ID:26086,ENSG00000160360,"AGS3,DKFZP727I051"
HGNC:24116,RNASEH2C,AGS3,HGNC,GENE ID:84153,ENSG00000172922,"AGS3,AYP1"
HGNC:13945,GPSM3,AGS4,HGNC,GENE ID:63940,ENSG00000213654,"AGS4,G18,G18.1a,G18.1b,G18.2,NG1"
HGNC:18518,RNASEH2A,AGS4,HGNC,GENE ID:10535,ENSG00000104889,"AGS4,RNASEHI,RNHIA,RNHL"
HGNC:20437,AHSA2P,AHA1,HGNC,GENE ID:130872,ENSG00000173209,"AHA1,DKFZp564C236,Hch1"
HGNC:18453,NAXE,AIBP,HGNC,GENE ID:128240,ENSG00000163382,"AIBP,MGC119143,MGC119144,MGC119145,YJEFN1"
HGNC:28363,AUNIP,AIBp,HGNC,GENE ID:79000,ENSG00000127423,"AIBp,MGC2603"
HGNC:16472,SLC45A2,AIM-1,HGNC,GENE ID:51151,ENSG00000164175,"AIM-1,OCA4"
HGNC:11390,AURKB,AIM-1,HGNC,GENE ID:9212,ENSG00000178999,"AIM-1,ARK2,Aik2,AurB,IPL1,PPP1R48,STK5"
HGNC:8766,PDCD6IP,AIP1,HGNC,GENE ID:10015,ENSG00000170248,"AIP1,Alix,Hp95"
HGNC:17294,DAB2IP,AIP1,HGNC,GENE ID:153090,ENSG00000136848,"AF9Q34,AIP1,DIP1/2,KIAA1743"
HGNC:12754,WDR1,AIP1,HGNC,GENE ID:9948,ENSG00000071127,AIP1
HGNC:697,ARL6IP1,AIP1,HGNC,GENE ID:23204,ENSG00000170540,"AIP1,ARMER,KIAA0069,SPG61"
HGNC:18957,MAGI2,AIP1,HGNC,GENE ID:9863,ENSG00000187391,"ACVRIP1,AIP1,ARIP1,KIAA0705,MAGI-2"
HGNC:24027,ACTRT1,AIP1,HGNC,GENE ID:139741,ENSG00000123165,"AIP1,ARIP1,Arp-T1,KIAA0705"
HGNC:1916,CHD1L,ALC1,HGNC,GENE ID:9557,ENSG00000131778,ALC1
HGNC:7585,MYL4,ALC1,HGNC,GENE ID:4635,ENSG00000198336,"ALC1,AMLC,GT1,PRO1957"
HGNC:30747,COPS2,ALIEN,HGNC,GENE ID:9318,ENSG00000166200,"ALIEN,CSN2,TRIP15"
HGNC:16189,LINC00261,ALIEN,HGNC,GENE ID:140828,ENSG00000259974,"ALIEN,DEANR1,FALCOR,HCCDR1,LCAL62,TCONS_00027846,bA216C10.1,onco-lncRNA-17"
HGNC:11092,SLPI,ALK1,HGNC,GENE ID:6590,ENSG00000124107,"ALK1,ALP,BLPI,HUSI,HUSI-I,WAP4,WFDC4"
HGNC:427,ALK,ALK1,HGNC,GENE ID:238,ENSG00000171094,"ALK1,CD246"
HGNC:175,ACVRL1,ALK1,HGNC,GENE ID:94,ENSG00000139567,"ALK1,HHT,HHT2"
HGNC:20767,PDLIM3,ALP,HGNC,GENE ID:27295,ENSG00000154553,ALP
HGNC:29063,ATRNL1,ALP,HGNC,GENE ID:26033,ENSG00000107518,"ALP,FLJ45344,KIAA0534"
HGNC:16448,ASRGL1,ALP,HGNC,GENE ID:80150,ENSG00000162174,"ALP,ALP1,FLJ22316"
HGNC:11092,SLPI,ALP,HGNC,GENE ID:6590,ENSG00000124107,"ALK1,ALP,BLPI,HUSI,HUSI-I,WAP4,WFDC4"
HGNC:10626,CCL27,ALP,HGNC,GENE ID:10850,ENSG00000213927,"ALP,CTACK,CTAK,ESkine,ILC,PESKY,skinkine"
HGNC:16448,ASRGL1,ALP1,HGNC,GENE ID:80150,ENSG00000162174,"ALP,ALP1,FLJ22316"
HGNC:1350,ASZ1,ALP1,HGNC,GENE ID:136991,ENSG00000154438,"ALP1,CT1.19,GASZ,Orf3"
HGNC:4236,GFER,ALR,HGNC,GENE ID:2671,ENSG00000127554,"ALR,ERV1,HERV1,HPO1,HPO2,HSS"
HGNC:7133,KMT2D,ALR,HGNC,GENE ID:8085,ENSG00000167548,"ALR,CAGL114,MLL4"
HGNC:380,AKR1A1,ALR,HGNC,GENE ID:10327,ENSG00000117448,"ALR,DD3"
HGNC:24920,HSH2D,ALX,HGNC,GENE ID:84941,ENSG00000196684,"ALX,FLJ14886,HSH2"
HGNC:3827,FPR2,ALX,HGNC,GENE ID:2358,ENSG00000171049,"ALX,ALXR,FMLP-R-II,FMLPX,FPR2A,FPRH2,HM63,LXA4R"
HGNC:20092,ATF7IP,AM,HGNC,GENE ID:55729,ENSG00000171681,"AM,ATF7IP1,FLJ10688,MCAF,MCAF1,p621"
HGNC:259,ADM,AM,HGNC,GENE ID:133,ENSG00000148926,AM
HGNC:15480,DIAPH3,AN,HGNC,GENE ID:81624,ENSG00000139734,"AN,DRF3,FLJ34705,NSDAN"
HGNC:8620,PAX6,AN,HGNC,GENE ID:5080,ENSG00000007372,"AN,D11S812E,WAGR"
HGNC:26295,CCDC102B,AN,HGNC,GENE ID:79839,ENSG00000150636,"AN,FLJ23594,HsT1731"
HGNC:12496,UBE3A,ANCR,HGNC,GENE ID:7337,ENSG00000114062,"ANCR,AS,E6-AP,FLJ26981"
HGNC:28964,DANCR,ANCR,HGNC,GENE ID:57291,ENSG00000226950,"AGU2,ANCR,lncRNA-ANCR"
HGNC:11863,TM7SF2,ANG1,HGNC,GENE ID:7108,ENSG00000149809,"ANG1,DHCR14A,NET47"
HGNC:1172,VPS51,ANG2,HGNC,GENE ID:738,ENSG00000149823,"ANG2,ANG3,FFR"
HGNC:489,ANGPTL1,ANG3,HGNC,GENE ID:9068,ENSG00000116194,"ANG3,ARP1,AngY"
HGNC:1172,VPS51,ANG3,HGNC,GENE ID:738,ENSG00000149823,"ANG2,ANG3,FFR"
HGNC:553,AOX1,AOH1,HGNC,GENE ID:316,ENSG00000138356,"AO,AOH1"
HGNC:19049,AOX3P,AOH1,HGNC,GENE ID:107126360,ENSG00000244301,AOH1
HGNC:3797,FOSB,AP-1,HGNC,GENE ID:2354,ENSG00000125740,"AP-1,DKFZp686C0818,G0S3,GOS3,GOSB,MGC42291"
HGNC:6206,JUND,AP-1,HGNC,GENE ID:3727,ENSG00000130522,AP-1
HGNC:6204,JUN,AP-1,HGNC,GENE ID:3725,ENSG00000177606,"AP-1,c-Jun"
HGNC:3796,FOS,AP-1,HGNC,GENE ID:2353,ENSG00000170345,"AP-1,c-fos"
HGNC:4662,GTF3A,AP2,HGNC,GENE ID:2971,ENSG00000122034,"AP2,TFIIIA"
HGNC:3359,ENPP4,AP3Aase,HGNC,GENE ID:22875,ENSG00000001561,"AP3Aase,KIAA0879,NPP4"
HGNC:3701,FHIT,AP3Aase,HGNC,GENE ID:2272,ENSG00000189283,"AP3Aase,FRA3B"
HGNC:575,AP4S1,AP47B,HGNC,GENE ID:11154,ENSG00000100478,"AP47B,CLA20,SPG52"
HGNC:570,AP3M2,AP47B,HGNC,GENE ID:10947,ENSG00000070718,"AP47B,CLA20"
HGNC:19988,ANAPC1,APC1,HGNC,GENE ID:64682,ENSG00000153107,"APC1,MCPR,TSG24"
HGNC:20662,SLC25A24,APC1,HGNC,GENE ID:29957,ENSG00000085491,"APC1,DKFZp586G0123,SCAMC-1,SCAMC1"
HGNC:19375,SLC25A23,APC2,HGNC,GENE ID:79085,ENSG00000125648,"APC2,FLJ30339,MGC2615"
HGNC:19989,ANAPC2,APC2,HGNC,GENE ID:29882,ENSG00000176248,"APC2,KIAA1406"
HGNC:28533,SLC25A41,APC4,HGNC,GENE ID:284427,ENSG00000181240,"APC4,FLJ40442,MGC34725"
HGNC:19990,ANAPC4,APC4,HGNC,GENE ID:29945,ENSG00000053900,APC4
HGNC:17380,ANAPC7,APC7,HGNC,GENE ID:51434,ENSG00000196510,APC7
HGNC:19000,SCARA3,APC7,HGNC,GENE ID:51435,ENSG00000168077,"APC7,CSR,CSR1,MSLR1,MSRL1"
HGNC:587,APEX1,APE,HGNC,GENE ID:328,ENSG00000100823,"APE,APE-1,APEN,APX,HAP1,REF-1,REF1"
HGNC:25523,CCDC88A,APE,HGNC,GENE ID:55704,ENSG00000115355,"APE,FLJ10392,GIV,GRDN,HkRP1"
HGNC:17091,NCSTN,APH2,HGNC,GENE ID:23385,ENSG00000162736,"APH2,KIAA0253"
HGNC:20714,ZDHHC16,APH2,HGNC,GENE ID:84287,ENSG00000171307,APH2
HGNC:16677,ANP32B,APRIL,HGNC,GENE ID:10541,ENSG00000136938,"APRIL,PHAPI2,SSP29"
HGNC:11928,TNFSF13,APRIL,HGNC,GENE ID:8741,ENSG00000161955,"APRIL,CD256"
HGNC:11979,TOB1,APRO5,HGNC,GENE ID:10140,ENSG00000141232,"APRO5,TOB,TROB"
HGNC:11980,TOB2,APRO5,HGNC,GENE ID:10766,ENSG00000183864,"APRO5,TOB4,TOBL,bK223H9"
HGNC:381,AKR1B1,AR,HGNC,GENE ID:231,ENSG00000085662,AR
HGNC:651,AREG,AR,HGNC,GENE ID:374,ENSG00000109321,"AR,CRDGF"
HGNC:3642,FDXR,AR,HGNC,GENE ID:2232,ENSG00000161513,"ADR,AR"
HGNC:660,TRIM23,ARD1,HGNC,GENE ID:373,ENSG00000113595,"ARD1,RNF46"
HGNC:9296,PPP1R8,ARD1,HGNC,GENE ID:5511,ENSG00000117751,"ARD1,NIPP-1,NIPP1,PRO2047,ard-1"
HGNC:9965,RERE,ARG,HGNC,GENE ID:473,ENSG00000142599,"ARG,ARP,ATN2,DNB1,KIAA0458"
HGNC:77,ABL2,ARG,HGNC,GENE ID:27,ENSG00000143322,ARG
HGNC:18640,LDLRAP1,ARH2,HGNC,GENE ID:26119,ENSG00000157978,"ARH,ARH2,DKFZp586D0624,FHCB1,FHCB2,MGC34705"
HGNC:21303,ADPRHL1,ARH2,HGNC,GENE ID:113622,ENSG00000153531,ARH2
HGNC:18957,MAGI2,ARIP1,HGNC,GENE ID:9863,ENSG00000187391,"ACVRIP1,AIP1,ARIP1,KIAA0705,MAGI-2"
HGNC:24027,ACTRT1,ARIP1,HGNC,GENE ID:139741,ENSG00000123165,"AIP1,ARIP1,Arp-T1,KIAA0705"
HGNC:905,AXL,ARK,HGNC,GENE ID:558,ENSG00000167601,"ARK,JTK11,Tyro7,UFO"
HGNC:17384,RNF111,ARK,HGNC,GENE ID:54778,ENSG00000157450,"ARK,Arkadia,DKFZP761D081,FLJ38008"
HGNC:9965,RERE,ARP,HGNC,GENE ID:473,ENSG00000142599,"ARG,ARP,ATN2,DNB1,KIAA0458"
HGNC:662,ARFRP1,ARP,HGNC,GENE ID:10139,ENSG00000101246,"ARL18,ARP,Arp1"
HGNC:304,CRISP1,ARP,HGNC,GENE ID:167,ENSG00000124812,"ARP,CRISP-1,HSCRISP1D,HSCRISP1G,HUMARP"
HGNC:15461,MANF,ARP,HGNC,GENE ID:7873,ENSG00000145050,ARP
HGNC:489,ANGPTL1,ARP1,HGNC,GENE ID:9068,ENSG00000116194,"ANG3,ARP1,AngY"
HGNC:9005,PITX2,ARP1,HGNC,GENE ID:5308,ENSG00000164093,"ARP1,Brx1,IGDS,Otlx2,RS"
HGNC:605,APOBEC2,ARP1,HGNC,GENE ID:10930,ENSG00000124701,"ARCD1,ARP1"
HGNC:167,ACTR1A,ARP1,HGNC,GENE ID:10121,ENSG00000138107,"ARP1,Arp1A"
HGNC:24100,APOBEC3H,ARP10,HGNC,GENE ID:164668,ENSG00000100298,ARP10
HGNC:37282,ACTR3C,ARP11,HGNC,GENE ID:653857,ENSG00000106526,ARP11
HGNC:17256,ACTR3B,ARP11,HGNC,GENE ID:57180,ENSG00000133627,"ARP11,ARP3beta"
HGNC:490,ANGPTL2,ARP2,HGNC,GENE ID:23452,ENSG00000136859,"ARP2,HARP"
HGNC:169,ACTR2,ARP2,HGNC,GENE ID:10097,ENSG00000138071,ARP2
HGNC:13203,AICDA,ARP2,HGNC,GENE ID:57379,ENSG00000111732,"AID,ARP2,CDA2,HIGM2"
HGNC:170,ACTR3,ARP3,HGNC,GENE ID:10096,ENSG00000115091,ARP3
HGNC:17343,APOBEC3A,ARP3,HGNC,GENE ID:200315,ENSG00000128383,"ARP3,PHRBN"
HGNC:16039,ANGPTL4,ARP4,HGNC,GENE ID:51129,ENSG00000167772,"ARP4,FIAF,HFARP,NL2,PGAR,pp1158"
HGNC:23140,ANGPTL6,ARP5,HGNC,GENE ID:83854,ENSG00000130812,"AGF,ARP5"
HGNC:17353,APOBEC3C,ARP5,HGNC,GENE ID:27350,ENSG00000244509,"APOBEC1L,ARDC2,ARDC4,ARP5,PBI,bK150C2.3"
HGNC:24025,ACTR6,ARP6,HGNC,GENE ID:64431,ENSG00000075089,"ARP6,FLJ13433"
HGNC:17354,APOBEC3D,ARP6,HGNC,GENE ID:140564,ENSG00000243811,"APOBEC3DE,ARP6"
HGNC:17356,APOBEC3F,ARP8,HGNC,GENE ID:200316,ENSG00000128394,"ARP8,BK150C2.4.MRNA,KA6"
HGNC:14672,ACTR8,ARP8,HGNC,GENE ID:93973,ENSG00000113812,"ARP8,INO80N"
HGNC:26118,MAP9,ASAP,HGNC,GENE ID:79884,ENSG00000164114,"ASAP,FLJ21159"
HGNC:28227,LINC00467,ASAP,HGNC,GENE ID:84791,ENSG00000153363,"ASAP,MGC14801"
HGNC:12310,TRIP4,ASC-1,HGNC,GENE ID:9325,ENSG00000103671,"ASC-1,HsT17391,ZC2HC5"
HGNC:15936,NCOA6,ASC2,HGNC,GENE ID:23054,ENSG00000198646,"AIB3,ASC2,KIAA0181,NRC,PRIP,RAP250,TRBP"
HGNC:30261,PYDC1,ASC2,HGNC,GENE ID:260434,ENSG00000169900,"ASC2,POP1"
HGNC:10780,SRSF1,ASF,HGNC,GENE ID:6426,ENSG00000136450,"ASF,MGC5228,SF2,SF2p33,SRp30a"
HGNC:721,ARSF,ASF,HGNC,GENE ID:416,ENSG00000062096,ASF
HGNC:19088,ASH1L,ASH1,HGNC,GENE ID:55870,ENSG00000116539,"ASH1,ASH1L1,KMT2H,huASH1"
HGNC:738,ASCL1,ASH1,HGNC,GENE ID:429,ENSG00000139352,"ASH1,HASH1,bHLHa46"
HGNC:739,ASCL2,ASH2,HGNC,GENE ID:430,ENSG00000183734,"ASH2,HASH2,bHLHa45"
HGNC:744,ASH2L,ASH2,HGNC,GENE ID:9070,ENSG00000129691,"ASH2,ASH2L2,Bre2"
HGNC:11120,SMPD1,ASM,HGNC,GENE ID:6609,ENSG00000166311,ASM
HGNC:4713,H19,ASM,HGNC,GENE ID:283120,ENSG00000130600,"ASM,ASM1,D11S813E,GMRSP,LINC00008,MIR675HG,NCRNA00008"
HGNC:24059,TMPRSS11D,ASP,HGNC,GENE ID:9407,ENSG00000153802,"ASP,HAT"
HGNC:19048,ASPM,ASP,HGNC,GENE ID:259266,ENSG00000066279,"ASP,Calmbp1,FLJ10517,FLJ10549"
HGNC:745,ASIP,ASP,HGNC,GENE ID:434,ENSG00000101440,ASP
