gene_symbol,alias_symbol,ENSG_ID,collision,source
SLC45A2,"AIM-1,OCA4",ENSG00000164175,AIM-1,HGNC
ACTRT1,"AIP1,ARIP1,Arp-T1,KIAA0705",ENSG00000123165,AIP1,HGNC
PDCD6IP,"AIP1,Alix,Hp95",ENSG00000170248,AIP1,HGNC
WDR1,AIP1,ENSG00000071127,AIP1,HGNC
MAGI2,"ACVRIP1,AIP1,ARIP1,KIAA0705,MAGI-2",ENSG00000187391,AIP1,HGNC
DAB2IP,"AF9Q34,AIP1,DIP1/2,KIAA1743",ENSG00000136848,AIP1,HGNC
ARL6IP1,"AIP1,ARMER,KIAA0069,SPG61",ENSG00000170540,AIP1,HGNC
CHD1L,ALC1,ENSG00000131778,ALC1,HGNC
MYL4,"ALC1,AMLC,GT1,PRO1957",ENSG00000198336,ALC1,HGNC
LINC00261,"ALIEN,DEANR1,FALCOR,HCCDR1,LCAL62,TCONS_00027846,bA216C10.1,onco-lncRNA-17",ENSG00000259974,ALIEN,HGNC
COPS2,"ALIEN,CSN2,TRIP15",ENSG00000166200,ALIEN,HGNC
ALK,"ALK1,CD246",ENSG00000171094,ALK1,HGNC
ACVRL1,"ALK1,HHT,HHT2",ENSG00000139567,ALK1,HGNC
SLPI,"ALK1,ALP,BLPI,HUSI,HUSI-I,WAP4,WFDC4",ENSG00000124107,ALK1,HGNC
ATRNL1,"ALP,FLJ45344,KIAA0534",ENSG00000107518,ALP,HGNC
ASRGL1,"ALP,ALP1,FLJ22316",ENSG00000162174,ALP,HGNC
SLPI,"ALK1,ALP,BLPI,HUSI,HUSI-I,WAP4,WFDC4",ENSG00000124107,ALP,HGNC
PDLIM3,ALP,ENSG00000154553,ALP,HGNC
CCL27,"ALP,CTACK,CTAK,ESkine,ILC,PESKY,skinkine",ENSG00000213927,ALP,HGNC
ASRGL1,"ALP,ALP1,FLJ22316",ENSG00000162174,ALP1,HGNC
ASZ1,"ALP1,CT1.19,GASZ,Orf3",ENSG00000154438,ALP1,HGNC
GFER,"ALR,ERV1,HERV1,HPO1,HPO2,HSS",ENSG00000127554,ALR,HGNC
KMT2D,"ALR,CAGL114,MLL4",ENSG00000167548,ALR,HGNC
AKR1A1,"ALR,DD3",ENSG00000117448,ALR,HGNC
HSH2D,"ALX,FLJ14886,HSH2",ENSG00000196684,ALX,HGNC
FPR2,"ALX,ALXR,FMLP-R-II,FMLPX,FPR2A,FPRH2,HM63,LXA4R",ENSG00000171049,ALX,HGNC
ADM,AM,ENSG00000148926,AM,HGNC
ATF7IP,"AM,ATF7IP1,FLJ10688,MCAF,MCAF1,p621",ENSG00000171681,AM,HGNC
CCDC102B,"AN,FLJ23594,HsT1731",ENSG00000150636,AN,HGNC
DIAPH3,"AN,DRF3,FLJ34705,NSDAN",ENSG00000139734,AN,HGNC
PAX6,"AN,D11S812E,WAGR",ENSG00000007372,AN,HGNC
DANCR,"AGU2,ANCR,lncRNA-ANCR",ENSG00000226950,ANCR,HGNC
UBE3A,"ANCR,AS,E6-AP,FLJ26981",ENSG00000114062,ANCR,HGNC
ANGPT1,"AGPT-1,Ang1,KIAA0003",ENSG00000154188,ANG1,HGNC
TM7SF2,"ANG1,DHCR14A,NET47",ENSG00000149809,ANG1,HGNC
VPS51,"ANG2,ANG3,FFR",ENSG00000149823,ANG2,HGNC
ANGPT2,Ang2,ENSG00000091879,ANG2,HGNC
VPS51,"ANG2,ANG3,FFR",ENSG00000149823,ANG3,HGNC
ANGPTL1,"ANG3,ARP1,AngY",ENSG00000116194,ANG3,HGNC
AOX3P,AOH1,ENSG00000244301,AOH1,HGNC
AOX1,"AO,AOH1",ENSG00000138356,AOH1,HGNC
FOS,"AP-1,c-fos",ENSG00000170345,AP-1,HGNC
JUN,"AP-1,c-Jun",ENSG00000177606,AP-1,HGNC
JUND,AP-1,ENSG00000130522,AP-1,HGNC
FOSB,"AP-1,DKFZp686C0818,G0S3,GOS3,GOSB,MGC42291",ENSG00000125740,AP-1,HGNC
GTF3A,"AP2,TFIIIA",ENSG00000122034,AP2,HGNC
FABP4,"A-FABP,aP2",ENSG00000170323,AP2,HGNC
ENPP4,"AP3Aase,KIAA0879,NPP4",ENSG00000001561,AP3AASE,HGNC
FHIT,"AP3Aase,FRA3B",ENSG00000189283,AP3AASE,HGNC
AP3M2,"AP47B,CLA20",ENSG00000070718,AP47B,HGNC
AP4S1,"AP47B,CLA20,SPG52",ENSG00000100478,AP47B,HGNC
ANAPC1,"APC1,MCPR,TSG24",ENSG00000153107,APC1,HGNC
SLC25A24,"APC1,DKFZp586G0123,SCAMC-1,SCAMC1",ENSG00000085491,APC1,HGNC
ANAPC2,"APC2,KIAA1406",ENSG00000176248,APC2,HGNC
SLC25A23,"APC2,FLJ30339,MGC2615",ENSG00000125648,APC2,HGNC
ANAPC4,APC4,ENSG00000053900,APC4,HGNC
SLC25A41,"APC4,FLJ40442,MGC34725",ENSG00000181240,APC4,HGNC
ANAPC7,APC7,ENSG00000196510,APC7,HGNC
SCARA3,"APC7,CSR,CSR1,MSLR1,MSRL1",ENSG00000168077,APC7,HGNC
