,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
1412,H4C12,"['H4C13', ' H4C3', ' H4C14', ' H4C1', ' H4C11', ' H4C9', ' H4C4', ' H4C2', ' H4C15', ' H4C5', ' H4C16', ' H4C6', ' H4C8']","ENSG00000275126, ENSG00000197061, ENSG00000270882, ENSG00000278637, ENSG00000197238, ENSG00000276180, ENSG00000277157, ENSG00000278705, ENSG00000270276, ENSG00000276966, ENSG00000197837, ENSG00000274618, ENSG00000158406",NCBI,13
1423,H4C9,"['H4C12', ' H4C11', ' H4C4', ' H4C14', ' H4C15', ' H4C2', ' H4C6', ' H4C3', ' H4C8', ' H4C1', ' H4C16', ' H4C13', ' H4C5']","ENSG00000273542, ENSG00000197238, ENSG00000277157, ENSG00000270882, ENSG00000270276, ENSG00000278705, ENSG00000274618, ENSG00000197061, ENSG00000158406, ENSG00000278637, ENSG00000197837, ENSG00000275126, ENSG00000276966",NCBI,13
1414,H4C14,"['H4C2', ' H4C16', ' H4C5', ' H4C15', ' H4C13', ' H4C8', ' H4C6', ' H4C4', ' H4C9', ' H4C11', ' H4C1', ' H4C3', ' H4C12']","ENSG00000278705, ENSG00000197837, ENSG00000276966, ENSG00000270276, ENSG00000275126, ENSG00000158406, ENSG00000274618, ENSG00000277157, ENSG00000276180, ENSG00000197238, ENSG00000278637, ENSG00000197061, ENSG00000273542",NCBI,13
1416,H4C16,"['H4C6', ' H4C14', ' H4C3', ' H4C1', ' H4C9', ' H4C11', ' H4C12', ' H4C15', ' H4C4', ' H4C13', ' H4C5', ' H4C2', ' H4C8']","ENSG00000274618, ENSG00000270882, ENSG00000197061, ENSG00000278637, ENSG00000276180, ENSG00000197238, ENSG00000273542, ENSG00000270276, ENSG00000277157, ENSG00000275126, ENSG00000276966, ENSG00000278705, ENSG00000158406",NCBI,13
1417,H4C2,"['H4C4', ' H4C14', ' H4C6', ' H4C3', ' H4C1', ' H4C9', ' H4C12', ' H4C8', ' H4C13', ' H4C15', ' H4C5', ' H4C16', ' H4C11']","ENSG00000277157, ENSG00000270882, ENSG00000274618, ENSG00000197061, ENSG00000278637, ENSG00000276180, ENSG00000273542, ENSG00000158406, ENSG00000275126, ENSG00000270276, ENSG00000276966, ENSG00000197837, ENSG00000197238",NCBI,13
1411,H4C11,"['H4C8', ' H4C15', ' H4C2', ' H4C12', ' H4C16', ' H4C3', ' H4C6', ' H4C5', ' H4C4', ' H4C14', ' H4C1', ' H4C13', ' H4C9']","ENSG00000158406, ENSG00000270276, ENSG00000278705, ENSG00000273542, ENSG00000197837, ENSG00000197061, ENSG00000274618, ENSG00000276966, ENSG00000277157, ENSG00000270882, ENSG00000278637, ENSG00000275126, ENSG00000276180",NCBI,13
2173,MT1,"['MT1IP', ' MTNR1A', ' MT1B', ' MT1M', ' MT1X', ' MT1E', ' MT1JP', ' MT1H', ' MT1G', ' MT1L', ' MT1F', ' MT1A']","ENSG00000290663, ENSG00000168412, ENSG00000169688, ENSG00000205364, ENSG00000187193, ENSG00000169715, ENSG00000290662, ENSG00000205358, ENSG00000125144, nan, ENSG00000198417, ENSG00000205362",NCBI,12
2496,P40,"['ARHGEF2', ' IL9', ' EBNA1BP2', ' RABEPK', ' RPSA', ' TP63', ' BRMS1L', ' PSMD7', ' MAPK1', ' LANCL1', ' H3P28', ' ARMH1']","ENSG00000116584, ENSG00000145839, ENSG00000117395, ENSG00000136933, ENSG00000168028, ENSG00000073282, ENSG00000100916, ENSG00000103035, ENSG00000100030, ENSG00000115365, nan, ENSG00000198520",NCBI,12
932,MT1,"['MT1E', ' MT1A', ' MT1B', ' MT1M', ' MT1JP', ' MT1L', ' MT1H', ' MT1IP', ' MT1F', ' MT1G', ' MT1X']","ENSG00000169715, ENSG00000205362, ENSG00000169688, ENSG00000205364, ENSG00000255986, ENSG00000260549, ENSG00000205358, ENSG00000275691, ENSG00000198417, ENSG00000125144, ENSG00000187193",ENSG,11
2755,PPIASE,"['PPIL1', ' FKBP7', ' FKBP9', ' FKBP2', ' FKBP5', ' FKBP4', ' FKBP3', ' PPIL6', ' FKBP10', ' FKBP1B', ' FKBP1A']","ENSG00000137168, ENSG00000079150, ENSG00000122642, ENSG00000173486, ENSG00000096060, ENSG00000004478, ENSG00000100442, ENSG00000185250, ENSG00000141756, ENSG00000119782, ENSG00000088832",NCBI,11
2763,PR,"['ERVK-24', ' ERVK-10', ' ERVK-8', ' ERVK-21', ' ERVK-18', ' ERVK-25', ' TMEM37', ' ERVK-19', ' ERVK-9', ' PGR', ' PRH2']","nan, nan, nan, nan, nan, nan, ENSG00000171227, nan, nan, ENSG00000082175, ENSG00000134551",NCBI,11
