,num_gene_records,num_collision_symbol,percent_collision_symbol
0,2,1014,81.12
1,3,163,13.04
2,4,39,3.1199999999999997
3,5,17,1.3599999999999999
4,6,10,0.8
5,7,4,0.32
6,9,2,0.16
7,10,1,0.08
