,symbol_counts,num_collision_symbol,percent_collision_symbol
0,2,4102,81.99080551668999
1,3,583,11.65300819508295
2,4,148,2.9582250649610233
3,5,72,1.4391365180891464
4,6,32,0.6396162302618429
5,7,19,0.3797721367179692
6,8,9,0.1798920647611433
7,9,5,0.09994003597841294
8,10,12,0.23985608634819106
9,11,3,0.059964021587047764
10,12,2,0.03997601439136518
11,14,15,0.2998201079352389
12,37,1,0.01998800719568259
