,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID
1147,ENSG00000291389,RNU1-1,{'HSD1'},10120,26871
1148,ENSG00000291389,RNU1-1,{'HU1-1'},10120,26871
1149,ENSG00000291389,RNU1-1,{'RNU1'},10120,26871
1150,ENSG00000291389,RNU1-1,{'RNU1A'},10120,26871
1151,ENSG00000291389,RNU1-1,{'RNU1A1'},10120,26871
1152,ENSG00000291389,RNU1-1,{'RNU1A3'},10120,26871
1153,ENSG00000291389,RNU1-1,{'RNU1G4'},10120,26871
1154,ENSG00000291389,RNU1-1,{'U1'},10120,26871
1155,ENSG00000291389,RNU1-1,{'U1A1'},10120,26871
1195,ENSG00000291393,RNU1-6P,{'RNU1-6'},48305,
1198,ENSG00000291385,RNU1-2,{'RNU1C1'},10123,26870
1199,ENSG00000291385,RNU1-2,{'RNU1C2'},10123,26870
1200,ENSG00000291385,RNU1-2,{'U1C1'},10123,26870
1201,ENSG00000291385,RNU1-2,{'U1C21'},10123,26870
1225,ENSG00000291383,RNU1-5P,{'RNU1-5'},48304,
1228,ENSG00000291398,EIF1AXP1,{'EIF1AP1'},19900,
1229,ENSG00000291396,RNU1-3,{'HSD4'},10130,26869
1230,ENSG00000291396,RNU1-3,{'RNU1G3'},10130,26869
1239,ENSG00000291399,RNU1-4,{'HSD2'},10128,6060
1240,ENSG00000291399,RNU1-4,{'HSD5'},10128,6060
1241,ENSG00000291399,RNU1-4,{'HSD6'},10128,6060
1242,ENSG00000291399,RNU1-4,{'HSD7'},10128,6060
1243,ENSG00000291399,RNU1-4,{'RNU1D2'},10128,6060
1244,ENSG00000291399,RNU1-4,{'RNU1E2'},10128,6060
1245,ENSG00000291399,RNU1-4,{'RNU1F1'},10128,6060
1246,ENSG00000291399,RNU1-4,{'RNU1G1'},10128,6060
1247,ENSG00000291399,RNU1-4,{'RNU1G2'},10128,6060
1248,ENSG00000291399,RNU1-4,{'U1B2'},10128,6060
1249,ENSG00000291399,RNU1-4,{'U1D2'},10128,6060
1250,ENSG00000291399,RNU1-4,{'U1E2'},10128,6060
1251,ENSG00000291399,RNU1-4,{'U1F'},10128,6060
1317,ENSG00000291387,PADI2,{'KIAA0994'},18341,11240
1318,ENSG00000291387,PADI2,{'PDI2'},18341,11240
1331,ENSG00000291426,TOLLIP,{'IL-1RACPIP'},16476,54472
1334,ENSG00000291427,TOLLIP-DT,{'TOLLIP-AS1'},27403,255512
1337,ENSG00000291428,BRSK2,{'C11ORF7'},11405,9024
1338,ENSG00000291428,BRSK2,{'PEN11B'},11405,9024
1339,ENSG00000291428,BRSK2,{'SAD-A'},11405,9024
1340,ENSG00000291428,BRSK2,{'STK29'},11405,9024
1342,ENSG00000292225,NBPF1,{'FLJ20719'},26088,55672
1343,ENSG00000292225,NBPF1,{'KIAA1693'},26088,55672
1345,ENSG00000291431,DUSP8,{'C11ORF81'},3074,1850
1346,ENSG00000291431,DUSP8,{'FLJ42958'},3074,1850
1347,ENSG00000291431,DUSP8,{'HB5'},3074,1850
1348,ENSG00000291431,DUSP8,{'HVH-5'},3074,1850
1350,ENSG00000291433,KRTAP5-1,{'KRN1L'},23596,387264
1351,ENSG00000291433,KRTAP5-1,{'KRTAP5.1'},23596,387264
1352,ENSG00000291434,KRTAP5-2,{'KRTAP5-8'},23597,440021
1353,ENSG00000291434,KRTAP5-2,{'KRTAP5.2'},23597,440021
1354,ENSG00000291435,KRTAP5-3,{'KRTAP5-9'},23598,387266
1355,ENSG00000291435,KRTAP5-3,{'KRTAP5.3'},23598,387266
1356,ENSG00000291440,KRTAP5-4,{'KRTAP5.4'},23599,387267
1357,ENSG00000291443,KRTAP5-5,{'KRTAP5-11'},23601,439915
1358,ENSG00000291443,KRTAP5-5,{'KRTAP5.5'},23601,439915
1360,ENSG00000291437,FAM99A,{'FLJ42833'},32368,387742
1361,ENSG00000291438,FAM99B,{'DKFZP781M09150'},32369,100132464
1363,ENSG00000291442,MOB2,{'HCCA2'},24904,81532
1364,ENSG00000291444,RBMY3AP,{'RBMY3P'},23286,
1365,ENSG00000291444,RBMY3AP,{'RBMY4P'},23286,
1366,ENSG00000291444,RBMY3AP,{'SPATA14'},23286,
1372,ENSG00000291450,ELOCP4,{'TCEB1P4'},38141,
1375,ENSG00000291453,TTTY20,{'NCRNA00145'},18844,252951
1379,ENSG00000291456,FAM197Y7,{'FAM197Y7P'},37469,105379269
1389,ENSG00000291459,TSPY9,{'TSPY9P'},37472,7258
1400,ENSG00000291460,FAM197Y2,{'CYORF16'},18848,
1401,ENSG00000291460,FAM197Y2,{'FAM197Y2P'},18848,
1402,ENSG00000291461,FAM197Y4,{'FAM197Y4P'},37466,
1406,ENSG00000281449,BCL2L14,{'BCL-G'},16657,79370
1407,ENSG00000281449,BCL2L14,{'BCLG'},16657,79370
1408,ENSG00000285019,ELOCP5,{'TCEB1P5'},38140,
1413,ENSG00000281324,LRP6,{'ADCAD2'},6698,4040
1416,ENSG00000285477,OFD1P16Y,{'OFD1P16'},18213,
1417,ENSG00000285477,OFD1P16Y,{'OFD1PY16'},18213,
1418,ENSG00000285477,OFD1P16Y,{'OFDYP16'},18213,
1420,ENSG00000206783,RNU6-545P,{'RNU6-292P'},47508,
1422,ENSG00000207477,RNU6-318P,{'RNU6-1295P'},47281,
1423,ENSG00000281818,MANSC1,{'FLJ10298'},25505,54682
1424,ENSG00000281818,MANSC1,{'LOH12CR3'},25505,54682
1426,ENSG00000281234,LOH12CR2,{'LOH2CR12'},26524,503693
1427,ENSG00000280689,BORCS5,{'LOH12CR1'},17950,118426
1428,ENSG00000280689,BORCS5,{'LOH1CR12'},17950,118426
1430,ENSG00000280962,DUSP16,{'KIAA1700'},17909,80824
1431,ENSG00000280962,DUSP16,{'MKP-7'},17909,80824
1432,ENSG00000280962,DUSP16,{'MKP7'},17909,80824
1436,ENSG00000292327,PPP2R3B,{'PPP2R3L'},13417,28227
1437,ENSG00000292327,PPP2R3B,{'PPP2R3LY'},13417,28227
1438,ENSG00000292327,PPP2R3B,{'PR48'},13417,28227
1439,ENSG00000292327,PPP2R3B,{'PR70'},13417,28227
1443,ENSG00000292331,ASMTL-AS1,{'ASMTL-AS'},25811,
1444,ENSG00000292331,ASMTL-AS1,{'ASMTLAS'},25811,
1445,ENSG00000292331,ASMTL-AS1,{'CXYORF2'},25811,
1446,ENSG00000292331,ASMTL-AS1,{'FLJ13330'},25811,
1447,ENSG00000292331,ASMTL-AS1,{'NCRNA00105'},25811,
1448,ENSG00000292332,IL3RA,{'CD123'},6012,3563
1449,ENSG00000292333,P2RY8,{'P2Y8'},15524,286530
1450,ENSG00000292334,SLC25A6,{'ANT3'},10992,293
1451,ENSG00000292334,SLC25A6,{'ANT3Y'},10992,293
1452,ENSG00000292334,SLC25A6,{'MGC17525'},10992,293
1454,ENSG00000292336,ASMT,{'ASMTY'},750,438
1455,ENSG00000292336,ASMT,{'HIOMT'},750,438
1456,ENSG00000292336,ASMT,{'HIOMTY'},750,438
1457,ENSG00000292337,DHRSX-IT1,{'DHRSX-IT'},38713,
1458,ENSG00000292337,DHRSX-IT1,{'DHRSXIT1'},38713,
1460,ENSG00000292338,DHRSX,{'DHRS5X'},18399,207063
1461,ENSG00000292338,DHRSX,{'DHRS5Y'},18399,207063
1462,ENSG00000292338,DHRSX,{'DHRSXY'},18399,207063
1463,ENSG00000292338,DHRSX,{'DHRSY'},18399,207063
1464,ENSG00000292338,DHRSX,{'SDR46C1'},18399,207063
1465,ENSG00000292338,DHRSX,{'SDR7C6'},18399,207063
1467,ENSG00000292340,LINC02968,{'AL683807.1'},56008,
1468,ENSG00000292341,LINC00106,{'CXYORF8'},31843,751580
1469,ENSG00000292341,LINC00106,{'NCRNA00106'},31843,751580
1470,ENSG00000292341,LINC00106,{'OTTHUMG00000021061'},31843,751580
1471,ENSG00000292342,LINC00685,{'CXYORF10'},27560,
1472,ENSG00000292342,LINC00685,{'NCRNA00107'},27560,
1473,ENSG00000292342,LINC00685,{'OTTHUMT00000055574'},27560,
1474,ENSG00000292342,LINC00685,{'PPP2R3B-AS1'},27560,
1475,ENSG00000292343,AKAP17A,{'721P'},18783,8227
1476,ENSG00000292343,AKAP17A,{'CCDC133'},18783,8227
1477,ENSG00000292343,AKAP17A,{'CXYORF3'},18783,8227
1478,ENSG00000292343,AKAP17A,{'DXYS155E'},18783,8227
1479,ENSG00000292343,AKAP17A,{'MGC39904'},18783,8227
1480,ENSG00000292343,AKAP17A,{'SFRS17A'},18783,8227
1481,ENSG00000292343,AKAP17A,{'XE7'},18783,8227
1482,ENSG00000292343,AKAP17A,{'XE7Y'},18783,8227
1483,ENSG00000292344,PLCXD1,{'FLJ11323'},23148,55344
1484,ENSG00000292345,ZBED1,{'ALTE'},447,9189
1485,ENSG00000292345,ZBED1,{'DREF'},447,9189
1486,ENSG00000292345,ZBED1,{'HDREF'},447,9189
1487,ENSG00000292345,ZBED1,{'KIAA0785'},447,9189
1488,ENSG00000292345,ZBED1,{'TRAMP'},447,9189
1489,ENSG00000292346,MIR6089,{'HSA-MIR-6089-1'},50179,102464837
1490,ENSG00000292346,MIR6089,{'MIR6089-1'},50179,102464837
1491,ENSG00000292346,MIR6089,{'MIR6089-2'},50179,102464837
1492,ENSG00000292347,LINC00102,{'NCRNA00102'},30470,100359394
1493,ENSG00000292347,LINC00102,{'OTTHUMT00000055623'},30470,100359394
1494,ENSG00000292348,CD99,{'MIC2'},7082,4267
1495,ENSG00000292348,CD99,{'MIC2X'},7082,4267
1496,ENSG00000292348,CD99,{'MIC2Y'},7082,4267
1500,ENSG00000292352,FABP5P13,{'FABP5L13'},38717,
1502,ENSG00000292354,SHOX,{'GCFX'},10853,6473
1503,ENSG00000292354,SHOX,{'PHOG'},10853,6473
1504,ENSG00000292354,SHOX,{'SHOX1'},10853,6473
1505,ENSG00000292354,SHOX,{'SHOXY'},10853,6473
1506,ENSG00000292354,SHOX,{'SS'},10853,6473
1507,ENSG00000292355,MIR3690,{'HSA-MIR-3690'},38967,100500894
1508,ENSG00000292355,MIR3690,{'HSA-MIR-3690-2'},38967,100500894
1509,ENSG00000292355,MIR3690,{'MIR3690-1'},38967,100500894
1510,ENSG00000292355,MIR3690,{'MIR3690-2'},38967,100500894
1511,ENSG00000292356,RNA5SP498,{'RN5S498'},43398,
1512,ENSG00000292357,CSF2RA,{'ALPHAGMR'},2435,1438
1513,ENSG00000292357,CSF2RA,{'CD116'},2435,1438
1514,ENSG00000292357,CSF2RA,{'CSF2R'},2435,1438
1515,ENSG00000292358,GTPBP6,{'FLJ20977'},30189,8225
1516,ENSG00000292358,GTPBP6,{'PGPL'},30189,8225
1519,ENSG00000292361,CD99P1,{'CD99L1'},7083,
1520,ENSG00000292361,CD99P1,{'CXYORF12'},7083,
1521,ENSG00000292361,CD99P1,{'MIC2R'},7083,
1522,ENSG00000292361,CD99P1,{'NCRNA00103'},7083,
1527,ENSG00000292363,CRLF2,{'CRL2'},14281,64109
1528,ENSG00000292363,CRLF2,{'TSLPR'},14281,64109
1529,ENSG00000292364,AMD1P2,{'AMD'},460,
1530,ENSG00000292364,AMD1P2,{'AMD2'},460,
1531,ENSG00000292364,AMD1P2,{'AMDP1'},460,
1532,ENSG00000292364,AMD1P2,{'AMDPX'},460,
1533,ENSG00000292364,AMD1P2,{'AMDPY'},460,
1535,ENSG00000292366,VAMP7,{'SYBL1'},11486,6845
1536,ENSG00000292366,VAMP7,{'TI-VAMP'},11486,6845
1537,ENSG00000292366,VAMP7,{'VAMP-7'},11486,6845
1538,ENSG00000292367,ELOCP24,{'TCEB1P24'},38160,
1539,ENSG00000292367,ELOCP24,{'TCEB1P25'},38160,
1540,ENSG00000292368,TRPC6P1,{'TRPC6L'},23270,
1541,ENSG00000292368,TRPC6P1,{'TRPC6P'},23270,
1543,ENSG00000292370,WASIR1,{'NCRNA00286B'},38513,
1545,ENSG00000292372,WASH6P,{'CXYORF1'},31685,
1546,ENSG00000292372,WASH6P,{'FAM39A'},31685,
1547,ENSG00000292373,IL9R,{'CD129'},6030,3581
1551,ENSG00000236435,TSPY12P,{'TSPYP2'},23904,
1552,ENSG00000258991,DUX4L19,{'DUXY4'},37718,
1553,ENSG00000237048,TTTY12,{'NCRNA00135'},18493,83867
1554,ENSG00000237048,TTTY12,{'TTY11'},18493,83867
1556,ENSG00000231988,OFD1P3Y,{'OFD1P19'},23875,
1557,ENSG00000231988,OFD1P3Y,{'OFD1P19Y'},23875,
1558,ENSG00000231988,OFD1P3Y,{'OFD1P3'},23875,
1559,ENSG00000231988,OFD1P3Y,{'OFD1PY19'},23875,
1560,ENSG00000231988,OFD1P3Y,{'OFD1PY3'},23875,
1561,ENSG00000231988,OFD1P3Y,{'OFDYP3'},23875,
1564,ENSG00000131538,TTTY6,{'LINC00127'},16483,84672
1565,ENSG00000131538,TTTY6,{'TTTY6A'},16483,84672
1566,ENSG00000131538,TTTY6,{'TTY6'},16483,84672
1567,ENSG00000271595,ELOCP35,{'TCEB1P35'},49176,
1568,ENSG00000183704,SLC9B1P1,{'NHEDC1P1'},37492,
1569,ENSG00000232927,USP12PY,{'USP12P3'},23195,
1570,ENSG00000277438,KDM5DP1,{'SMCYP'},23976,
1571,ENSG00000286217,LINC00279,{'NCRNA00279'},38724,
1572,ENSG00000259154,DUX4L17,{'DUXY3'},37717,
1573,ENSG00000169789,PRY,{'PRY1'},14024,9081
1574,ENSG00000169789,PRY,{'PTPN13LY'},14024,9081
1581,ENSG00000285470,TUSC2P1,{'TUSC2P'},23963,
1583,ENSG00000226092,RBMY2AP,{'RBMY2A'},9917,
1584,ENSG00000288297,ECSCR,{'ARIA'},35454,641700
1585,ENSG00000288297,ECSCR,{'ECSM2'},35454,641700
1586,ENSG00000234620,PUDPP1,{'FAM16AY'},20200,
1587,ENSG00000234620,PUDPP1,{'HDHD1BP'},20200,
1588,ENSG00000234620,PUDPP1,{'HDHD1P1'},20200,
1590,ENSG00000273693,CDRT15P10,{'C2ORF27AP1'},38413,
1591,ENSG00000114374,USP9Y,{'AZFA'},12633,8287
1592,ENSG00000114374,USP9Y,{'DFFRY'},12633,8287
1596,ENSG00000288243,STING1,{'ERIS'},27962,340061
1597,ENSG00000288243,STING1,{'FLJ38577'},27962,340061
1598,ENSG00000288243,STING1,{'MITA'},27962,340061
1599,ENSG00000288243,STING1,{'MPYS'},27962,340061
1600,ENSG00000288243,STING1,{'NET23'},27962,340061
1601,ENSG00000288243,STING1,{'STING'},27962,340061
1602,ENSG00000288243,STING1,{'TMEM173'},27962,340061
1605,ENSG00000169807,PRY2,{'PTPN13LY2'},21504,442862
1607,ENSG00000231159,OFD1P8Y,{'OFD1P8'},23880,
1608,ENSG00000231159,OFD1P8Y,{'OFD1PY8'},23880,
1609,ENSG00000231159,OFD1P8Y,{'OFDYP8'},23880,
1616,ENSG00000236477,RPS24P1,{'RPS24P'},10412,
1620,ENSG00000183753,BPY2,{'BPY2A'},13508,9083
1621,ENSG00000183753,BPY2,{'VCY2'},13508,9083
1622,ENSG00000183753,BPY2,{'VCY2A'},13508,9083
1624,ENSG00000227166,STSP1,{'STS-Y'},11426,
1625,ENSG00000227166,STSP1,{'STSP'},11426,
1631,ENSG00000226863,SHROOM2P1,{'APXLP'},631,
1633,ENSG00000233699,TTTY18,{'NCRNA00143'},18842,
1636,ENSG00000259029,DUX4L18,{'DUXY2'},37716,
1639,ENSG00000230476,OFD1P9Y,{'OFD1P9'},23881,
1640,ENSG00000230476,OFD1P9Y,{'OFD1PY9'},23881,
1641,ENSG00000230476,OFD1P9Y,{'OFDYP9'},23881,
1644,ENSG00000275828,CHEK2P1,{'CHEK2L1'},37999,
1646,ENSG00000230663,FAM224B,{'LINC00230B'},37737,
1647,ENSG00000230663,FAM224B,{'NCRNA00230B'},37737,
1649,ENSG00000234131,ELOCP8,{'TCEB1P8'},38144,
1656,ENSG00000215583,ASS1P6,{'ASSP6'},769,
1659,ENSG00000233774,MED14P1,{'CRSP2P'},2371,
1660,ENSG00000233774,MED14P1,{'CXORF4P'},2371,
1661,ENSG00000233774,MED14P1,{'MED14P'},2371,
1664,ENSG00000232226,ARSFP1,{'ARSFP'},722,
1668,ENSG00000227447,XGY1,{'XGPY'},12807,
1669,ENSG00000227447,XGY1,{'XGPY1'},12807,
1676,ENSG00000232419,TTTY19,{'NCRNA00144'},18843,252952
1677,ENSG00000226906,TTTY4,{'LINC00123'},16481,114761
1678,ENSG00000226906,TTTY4,{'TTTY4A'},16481,114761
1679,ENSG00000226906,TTTY4,{'TTY4'},16481,114761
1681,ENSG00000235649,MXRA5Y,{'ADLICANP'},23932,
1682,ENSG00000235649,MXRA5Y,{'MXRA5P'},23932,
