,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
111,40,{'CD243'},5243,ENSG00000085563,ABCB1
112,40,{'GP170'},5243,ENSG00000085563,ABCB1
113,40,{'ABC20'},5243,ENSG00000085563,ABCB1
114,40,{'p-170'},5243,ENSG00000085563,ABCB1
115,40,{'PGY1'},5243,ENSG00000085563,ABCB1
116,45,{'MDR2'},5244,ENSG00000005471,ABCB4
117,45,{'PFIC-3'},5244,ENSG00000005471,ABCB4
118,45,{'GBD1'},5244,ENSG00000005471,ABCB4
119,46,{'EST422562'},340273,ENSG00000004846,ABCB5
120,46,{'ABCB5beta'},340273,ENSG00000004846,ABCB5
121,46,{'ABCB5alpha'},340273,ENSG00000004846,ABCB5
122,47,{'EST45597'},10058,ENSG00000115657,ABCB6
123,47,{'umat'},10058,ENSG00000115657,ABCB6
124,47,{'MTABC3'},10058,ENSG00000115657,ABCB6
125,48,{'EST140535'},22,ENSG00000131269,ABCB7
126,48,{'Atm1p'},22,ENSG00000131269,ABCB7
127,48,{'ASAT'},22,ENSG00000131269,ABCB7
128,49,{'EST328128'},11194,ENSG00000197150,ABCB8
129,49,{'M-ABC1'},11194,ENSG00000197150,ABCB8
130,49,{'MABC1'},11194,ENSG00000197150,ABCB8
131,49,{'MITOSUR'},11194,ENSG00000197150,ABCB8
132,50,{'EST122234'},23457,ENSG00000150967,ABCB9
133,41,{'EST20237'},23456,ENSG00000135776,ABCB10
134,41,{'M-ABC2'},23456,ENSG00000135776,ABCB10
135,41,{'MTABC2'},23456,ENSG00000135776,ABCB10
136,14114,{'M-ABC2'},56476,ENSG00000274099,ABCB10P1
137,14114,{'MABC2'},56476,ENSG00000274099,ABCB10P1
140,42,{'ABC16'},8647,ENSG00000073734,ABCB11
141,42,{'SPGP'},8647,ENSG00000073734,ABCB11
142,42,{'PFIC-2'},8647,ENSG00000073734,ABCB11
143,42,{'PGY4'},8647,ENSG00000073734,ABCB11
144,51,{'GS-X'},4363,ENSG00000103222,ABCC1
145,53,{'DJS'},1244,ENSG00000023839,ABCC2
146,53,{'MRP2'},1244,ENSG00000023839,ABCC2
147,53,{'cMRP'},1244,ENSG00000023839,ABCC2
148,54,{'MRP3'},8714,ENSG00000108846,ABCC3
149,54,{'cMOAT2'},8714,ENSG00000108846,ABCC3
150,54,{'EST90757'},8714,ENSG00000108846,ABCC3
151,54,{'MLP2'},8714,ENSG00000108846,ABCC3
152,54,{'MOAT-D'},8714,ENSG00000108846,ABCC3
153,55,{'MRP4'},10257,ENSG00000125257,ABCC4
154,55,{'EST170205'},10257,ENSG00000125257,ABCC4
155,55,{'MOAT-B'},10257,ENSG00000125257,ABCC4
156,55,{'MOATB'},10257,ENSG00000125257,ABCC4
157,56,{'MRP5'},10057,ENSG00000114770,ABCC5
158,56,{'SMRP'},10057,ENSG00000114770,ABCC5
159,56,{'EST277145'},10057,ENSG00000114770,ABCC5
160,56,{'MOAT-C'},10057,ENSG00000114770,ABCC5
162,57,{'MRP6'},368,ENSG00000091262,ABCC6
163,57,{'EST349056'},368,ENSG00000091262,ABCC6
164,57,{'MLP1'},368,ENSG00000091262,ABCC6
165,57,{'URG7'},368,ENSG00000091262,ABCC6
168,59,{'HI'},6833,ENSG00000006071,ABCC8
169,59,{'PHHI'},6833,ENSG00000006071,ABCC8
170,59,{'SUR1'},6833,ENSG00000006071,ABCC8
171,59,{'MRP8'},6833,ENSG00000006071,ABCC8
172,59,{'ABC36'},6833,ENSG00000006071,ABCC8
173,59,{'HHF1'},6833,ENSG00000006071,ABCC8
174,59,{'TNDM2'},6833,ENSG00000006071,ABCC8
175,60,{'SUR2'},10060,ENSG00000069431,ABCC9
176,60,{'CMD1O'},10060,ENSG00000069431,ABCC9
177,52,{'EST182763'},89845,ENSG00000124574,ABCC10
178,52,{'MRP7'},89845,ENSG00000124574,ABCC10
179,52,{'SIMRP7'},89845,ENSG00000124574,ABCC10
180,14639,{'MRP8'},85320,ENSG00000121270,ABCC11
181,14640,{'MRP9'},94160,ENSG00000140798,ABCC12
182,16022,{'PRED6'},150000,ENSG00000243064,ABCC13
183,16022,{'C21orf73'},150000,ENSG00000243064,ABCC13
184,16022,{'ABCC13P'},150000,ENSG00000243064,ABCC13
185,61,{'AMN'},215,ENSG00000101986,ABCD1
186,61,{'ALDP'},215,ENSG00000101986,ABCD1
187,61,{'adrenoleukodystrophy'},215,ENSG00000101986,ABCD1
189,63,{'bA453N3.6'},26983,ENSG00000215151,ABCD1P2
193,66,{'ALDR'},225,ENSG00000173208,ABCD2
194,66,{'ALDRP'},225,ENSG00000173208,ABCD2
195,67,{'PMP70'},5825,ENSG00000117528,ABCD3
196,67,{'ZWS2'},5825,ENSG00000117528,ABCD3
197,68,{'PMP69'},5826,ENSG00000119688,ABCD4
198,68,{'P70R'},5826,ENSG00000119688,ABCD4
199,68,{'EST352188'},5826,ENSG00000119688,ABCD4
200,69,{'RLI'},6059,ENSG00000164163,ABCE1
201,69,{'OABP'},6059,ENSG00000164163,ABCE1
202,69,{'RLI1'},6059,ENSG00000164163,ABCE1
203,70,{'EST123147'},23,ENSG00000204574,ABCF1
205,71,{'EST133090'},10061,ENSG00000033050,ABCF2
206,71,{'ABC28'},10061,ENSG00000033050,ABCF2
207,71,{'M-ABC1'},10061,ENSG00000033050,ABCF2
208,71,{'HUSSY-18'},10061,ENSG00000033050,ABCF2
212,72,{'EST201864'},55324,ENSG00000161204,ABCF3
213,73,{'ABC8'},9619,ENSG00000160179,ABCG1
214,74,{'EST157481'},9429,ENSG00000118777,ABCG2
215,74,{'MXR'},9429,ENSG00000118777,ABCG2
216,74,{'BCRP'},9429,ENSG00000118777,ABCG2
217,74,{'ABCP'},9429,ENSG00000118777,ABCG2
218,74,{'CD338'},9429,ENSG00000118777,ABCG2
219,13884,{'WHITE2'},64137,ENSG00000172350,ABCG4
220,13886,{'STSL'},64240,ENSG00000138075,ABCG5
221,13887,{'GBD4'},64241,ENSG00000143921,ABCG8
222,17553,{'LABH1'},84696,ENSG00000143994,ABHD1
223,17553,{'FLJ36128'},84696,ENSG00000143994,ABHD1
224,18717,{'LABH2'},11057,ENSG00000140526,ABHD2
225,18718,{'LABH3'},171586,ENSG00000158201,ABHD3
226,20154,{'FLJ12816'},63874,ENSG00000100439,ABHD4
227,21396,{'CGI-58'},51099,ENSG00000011198,ABHD5
228,21396,{'NCIE2'},51099,ENSG00000011198,ABHD5
230,23759,{'FLJ11743'},79575,ENSG00000127220,ABHD8
231,23759,{'MGC14280'},79575,ENSG00000127220,ABHD8
232,23759,{'MGC2512'},79575,ENSG00000127220,ABHD8
233,25656,{'FLJ11342'},55347,ENSG00000144827,ABHD10
234,16407,{'PP1226'},83451,ENSG00000106077,ABHD11
236,15868,{'DKFZP434P106'},26090,ENSG00000100997,ABHD12
237,15868,{'dJ965G21.2'},26090,ENSG00000100997,ABHD12
238,15868,{'BEM46L2'},26090,ENSG00000100997,ABHD12
239,15868,{'ABHD12A'},26090,ENSG00000100997,ABHD12
240,19837,{'BEM46L3'},145447,ENSG00000131969,ABHD12B
241,20293,{'bA153I24.2'},84945,ENSG00000139826,ABHD13
242,20293,{'FLJ14906'},84945,ENSG00000139826,ABHD13
243,20293,{'BEM46L1'},84945,ENSG00000139826,ABHD13
244,24538,{'DKFZP564O243'},25864,ENSG00000248487,ABHD14A
245,24538,{'DORZ1'},25864,ENSG00000248487,ABHD14A
247,28235,{'MGC15429'},84836,ENSG00000114779,ABHD14B
248,28235,{'CIB'},84836,ENSG00000114779,ABHD14B
250,49685,{'linc-TP53I13'},104355133,ENSG00000264031,ABHD15-AS1
251,49685,{'lnc-TP53I13'},104355133,ENSG00000264031,ABHD15-AS1
252,13921,{'NG26'},7920,ENSG00000204427,ABHD16A
253,13921,{'D6S82E'},7920,ENSG00000204427,ABHD16A
254,16128,{'dJ591C20.1'},140701,ENSG00000183260,ABHD16B
255,28756,{'MGC5244'},81926,ENSG00000129968,ABHD17A
256,28394,{'C1orf47'},728917,ENSG00000198658,ABHD17AP1
264,24278,{'CGI-67'},51104,ENSG00000107362,ABHD17B
266,26111,{'FLJ21106'},80167,ENSG00000164074,ABHD18
267,11320,{'E3B1'},10006,ENSG00000136754,ABI1
268,11320,{'ABI-1'},10006,ENSG00000136754,ABI1
270,24011,{'ABI-2'},10152,ENSG00000138443,ABI2
271,24011,{'AIP-1'},10152,ENSG00000138443,ABI2
272,24011,{'ABI2B'},10152,ENSG00000138443,ABI2
273,24011,{'AblBP3'},10152,ENSG00000138443,ABI2
274,24011,{'argBPIA'},10152,ENSG00000138443,ABI2
275,24011,{'SSH3BP2'},10152,ENSG00000138443,ABI2
276,29859,{'NESH'},51225,ENSG00000108798,ABI3
277,29859,{'SSH3BP3'},51225,ENSG00000108798,ABI3
278,17265,{'NESHBP'},25890,ENSG00000154175,ABI3BP
279,17265,{'DKFZP586L2024'},25890,ENSG00000154175,ABI3BP
280,17265,{'TARSH'},25890,ENSG00000154175,ABI3BP
281,1364,{'CG-8'},54942,ENSG00000119328,ABITRAM
282,1364,{'FLJ20457'},54942,ENSG00000119328,ABITRAM
283,1364,{'Simiate'},54942,ENSG00000119328,ABITRAM
285,76,{'JTK7'},25,ENSG00000097007,ABL1
286,76,{'c-ABL'},25,ENSG00000097007,ABL1
287,76,{'p150'},25,ENSG00000097007,ABL1
288,77,{'ARG'},27,ENSG00000143322,ABL2
289,78,{'abLIM'},3983,ENSG00000099204,ABLIM1
290,78,{'limatin'},3983,ENSG00000099204,ABLIM1
291,19195,{'KIAA1808'},84448,ENSG00000163995,ABLIM2
292,29132,{'KIAA0843'},22885,ENSG00000173210,ABLIM3
293,79,{'A3GALNT'},28,ENSG00000175164,ABO
294,79,{'A3GALT1'},28,ENSG00000175164,ABO
295,81,{'MDB'},29,ENSG00000159842,ABR
297,30655,{'STARS'},137735,ENSG00000174429,ABRA
298,21230,{'PRO2013'},58527,ENSG00000146386,ABRACL
299,21230,{'HSPC280'},58527,ENSG00000146386,ABRACL
300,21230,{'Costars'},58527,ENSG00000146386,ABRACL
