,alias_symbol,gene_symbol,ENSG_ID,source
4343,WBS,"[' CDKN1C', ' GTF2IRD1', ' GTF2I', 'ELN']","[' ENSG00000129757', 'ENSG00000049540', ' ENSG00000006704', ' ENSG00000263001']",['NCBI']
4344,WBSCR20B,"['NSUN5P2', ' NSUN5P1']","['ENSG00000290831', ' ENSG00000291151']",['NCBI']
4345,WC1,"['CD163L1', ' ATP7B']","['ENSG00000177675', ' ENSG00000123191']",['NCBI']
4346,WD,"[' SLC4A1', 'ATP7B']","['ENSG00000123191', ' ENSG00000004939']",['NCBI']
4347,WMS,"[' ADAMTS10', 'FBN1']","['ENSG00000166147', ' ENSG00000142303']",['NCBI']
4348,WR,"['VPS54', ' SLC4A1']","[' ENSG00000004939', 'ENSG00000143952']",['NCBI']
4349,WRS,"['EIF2AK3', ' KCNQ1']","[' ENSG00000053918', 'ENSG00000172071']",['NCBI']
4350,WS,"['AWAT2', ' ELN']","['ENSG00000147160', ' ENSG00000049540']",['NCBI']
4351,WS3,"['DCTN6', ' PAX3']","[' ENSG00000135903', 'ENSG00000104671']",['NCBI']
4352,WSS,"[' NF1', 'ATP6V0A2']","[' ENSG00000196712', 'ENSG00000185344']",['NCBI']
4353,WT2,"['H19', ' H19-ICR']","['ENSG00000130600', ' nan']",['NCBI']
4354,WTS,"[' HDAC8', 'LAS1L']","['ENSG00000001497', ' ENSG00000147099']",['NCBI']
4355,XAGE-1,"['XAGE1B', ' XAGE1A']","['ENSG00000204382', ' ENSG00000204379']",['NCBI']
4356,XAGE1,"[' XAGE1B', 'XAGE1A']","['ENSG00000204379', ' ENSG00000204382']",['NCBI']
4357,XAP3,"[' ATP6AP1', 'RBCK1']","['ENSG00000125826', ' ENSG00000071553']",['NCBI']
4358,XAP4,"[' POLR2E', 'RBCK1']","['ENSG00000125826', ' ENSG00000099817']",['NCBI']
4359,XCE,"['XIC', ' ECEL1']","[' ENSG00000171551', 'nan']",['NCBI']
4360,XGPY,"['XGY2', ' XGY1']","[' nan', 'ENSG00000290840']",['NCBI']
4361,XLOC_000303,"[' LINC01507', 'SLC44A3-AS1']","[' nan', 'ENSG00000293271']",['NCBI']
4362,XLOC_008466,"[' LINC02663', 'LINC02633']","[' nan', 'nan']",['NCBI']
4363,XPE,"[' DDB1', 'DDB2']","[' ENSG00000167986', 'ENSG00000134574']",['NCBI']
4364,Y4,"['RNY4', ' NPY4R']","['ENSG00000252316', ' ENSG00000204174']",['NCBI']
4365,YDR084C,"[' TVP23A', 'TVP23B']","[' ENSG00000166676', 'ENSG00000171928']",['NCBI']
4366,YMR292W,"['GOLT1A', ' GOLT1B']","[' ENSG00000111711', 'ENSG00000174567']",['NCBI']
4367,YRRM1,"[' RBMY1A1', 'RBMY1D']","[' ENSG00000234414', 'ENSG00000244395']",['NCBI']
4368,YRRM2,"[' RBMY1A1', ' RBMY1F', 'RBMY1D']","[' ENSG00000169800', ' ENSG00000234414', 'ENSG00000244395']",['NCBI']
4369,Z18,"['SNORD74', ' SNORD102']","[' ENSG00000207500', 'nan']",['NCBI']
4370,ZAC,"[' ZACN', 'PLAGL1']","['ENSG00000118495', ' ENSG00000186919']",['NCBI']
4371,ZAC1,"[' PLAGL1', 'ZACN']","[' ENSG00000118495', 'ENSG00000186919']",['NCBI']
4372,ZAP,"[' ZC3HAV1', 'YLPM1']","['ENSG00000119596', ' ENSG00000105939']",['HGNC']
4373,ZC2HC5,"['TRIP4', ' KAT5']","[' ENSG00000172977', 'ENSG00000103671']",['NCBI']
4374,ZIN,"['RNF216', ' STRN4']","[' ENSG00000090372', 'ENSG00000011275']",['NCBI']
4375,ZIP,"['ZGPAT', ' DAPK3']","[' ENSG00000167657', 'ENSG00000197114']",['NCBI']
4376,ZIP2,"[' SHOC1', 'SLC39A2']","['ENSG00000165794', ' ENSG00000165181']",['NCBI']
4377,ZIP3,"[' SLC39A3', 'SQSTM1']","['ENSG00000161011', ' ENSG00000141873']",['NCBI']
4378,ZIP4,"[' TEX11', 'SLC39A4']","['ENSG00000147804', ' ENSG00000120498']",['NCBI']
4379,ZNF,"['ZNF436', ' ZNF569', ' ZNF629', ' ZNF763', ' ZNF501', ' ZNF44']","[' ENSG00000186446', ' ENSG00000197054', ' ENSG00000102870', ' ENSG00000196437', ' ENSG00000197857', 'ENSG00000125945']",['NCBI']
4380,ZNF183,"['NDUFA1', ' RNF113A']","[' ENSG00000125352', 'ENSG00000125356']",['NCBI']
4381,ZNF20,"[' ZNF121', 'ZNF197']","['ENSG00000186448', ' ENSG00000197961']",['NCBI']
4382,ZNF286C,"['ZNF286B', ' FOXO3B']","['ENSG00000290687', ' ENSG00000240445']",['NCBI']
4383,ZNF422,"[' ZNF22', 'PHF8']","[' ENSG00000165512', 'ENSG00000172943']",['NCBI']
4384,ZNF705C,"['ZNF705D', ' ZNF705CP']","[' nan', 'ENSG00000215343']",['NCBI']
4385,ZNF757,"[' ZFP91-CNTF', 'ZFP91']","['ENSG00000186660', ' nan']",['NCBI']
4386,ZNF769,"['RBAK-RBAKDN', ' RBAK']","['ENSG00000272968', ' ENSG00000146587']",['NCBI']
4387,ZNT8,"['SLC30A10', ' SLC30A8']","[' ENSG00000164756', 'ENSG00000196660']",['NCBI']
4388,ZRC1,"[' SLC30A1', 'SLC30A10']","['ENSG00000196660', ' ENSG00000170385']",['NCBI']
4389,ZWS,"[' PEX1', 'PEX13']","[' ENSG00000127980', 'ENSG00000162928']",['NCBI']
4390,ZYG11,"['ZYG11A', ' ZYG11B']","[' ENSG00000162378', 'ENSG00000203995']",['NCBI']
4391,Zfp27,"['ZNF585B', ' ZNF585A']","[' ENSG00000196967', 'ENSG00000245680']",['NCBI']
4392,bA548K23.1,"[' C10orf62', 'AGAP13P']","[' ENSG00000203942', 'ENSG00000243289', 'nan']","['HGNC', 'NCBI']"
4393,bHLHe38,"['MYCLP1', ' MYCL']","[' ENSG00000116990', 'nan']",['NCBI']
4394,bHLHe42,"['NCOA1', ' NCOA3']","['ENSG00000084676', ' ENSG00000124151']",['NCBI']
4395,beta-1,"['B3GNT2', ' B3GNTL1']","[' ENSG00000175711', 'ENSG00000170340']",['NCBI']
4396,beta3Gn-T8,"['B3GNT8', ' B3GNTL1']","[' ENSG00000175711', 'ENSG00000177191']",['NCBI']
4397,beta4GalNAcT,"[' CSGALNACT1', 'CSGALNACT2']","[' ENSG00000147408', 'ENSG00000169826']",['NCBI']
4398,cPLA2,"['PLA2G4A', ' KAT5']","[' ENSG00000172977', 'ENSG00000116711']",['NCBI']
4399,cPLA2-beta,"['JMJD7-PLA2G4B', ' PLA2G4B']","['ENSG00000168970', ' ENSG00000243708']",['NCBI']
4400,caM,"['CALM2', ' CALM1']","[' ENSG00000198668', 'ENSG00000143933']",['NCBI']
4401,ciRS-7,"[' CDR1-AS', 'LINC00632']","[' nan', 'ENSG00000203930']",['NCBI']
4402,dJ221C16.8,"[' H2BC8', 'H2BC6']","['ENSG00000274290', ' ENSG00000273802']",['NCBI']
4403,dJ222E13.1,"[' SERHL', 'SERHL2']","[' ENSG00000293485', 'ENSG00000183569']",['NCBI']
4404,dJ353E16.2,"['TTC28-AS1', ' MN1']","['ENSG00000235954', ' ENSG00000169184']",['NCBI']
4405,dJ388M5,"['PNPLA5', ' HMGN2P9']","[' nan', 'ENSG00000100341']",['NCBI']
4406,dJ760C5.1,"['CFTR', ' CFTRP1']","['ENSG00000001626', ' nan']",['NCBI']
4407,eIF-2gA,"['EIF2S3B', ' EIF2S3']","[' ENSG00000130741', 'ENSG00000180574']",['NCBI']
4408,eIF-4C,"[' EIF1AY', 'EIF1AX']","['ENSG00000173674', ' ENSG00000198692']",['NCBI']
4409,eIF-4D,"['EIF5A', ' EIF5AL1']","['ENSG00000132507', ' ENSG00000253626']",['NCBI']
4410,env,"['ERVK-32', ' ERVK-18', ' LOC124904439', ' ERVK-20', ' LOC124901580']","[' nan', 'nan']",['NCBI']
4411,hBD-4,"['DEFB104A', ' DEFB104B']","['ENSG00000176782', ' ENSG00000177023']",['NCBI']
4412,hBD-8,"[' DEFB108B', 'DEFB108A']","[' ENSG00000184276', 'nan']",['NCBI']
4413,hCGB,"[' CGB3', 'CGB5']","[' ENSG00000104827', 'ENSG00000189052']",['NCBI']
4414,hUG-BR1,"[' UGT1A8', ' UGT1A4', 'UGT1A6', ' UGT1A10', ' UGT1A7']","[' ENSG00000244474', 'ENSG00000167165', ' ENSG00000244122', ' ENSG00000242515', ' ENSG00000242366']",['NCBI']
4415,hg523,"[' OR7E26P', 'OR7E110P']","['ENSG00000235623', ' nan']",['NCBI']
4416,hg674,"[' OR7E110P', 'OR7E26P']","[' ENSG00000235623', 'nan']",['NCBI']
4417,iPLA1A,"['DDHD2', ' SEC23IP']","[' ENSG00000107651', 'ENSG00000085788']",['NCBI']
4418,ighv,"[' LOC102724971', 'LOC102723407']","[' nan', 'nan']",['NCBI']
4419,lnc,"[' SCARNA10', 'TMC6']","[' ENSG00000239002', 'ENSG00000141524']",['NCBI']
4420,mu2,"['AP2M1', ' AP1M2']","[' ENSG00000129354', 'ENSG00000161203']",['NCBI']
4421,oda6,"['DNAI2', ' DNAI1']","['ENSG00000171595', ' ENSG00000122735']",['NCBI']
4422,p02,"['H3P1', ' TPT1']","[' ENSG00000133112', 'ENSG00000230228']",['NCBI']
4423,p10,"['EXOSC3', ' S100A10']","[' ENSG00000197747', 'ENSG00000107371']",['NCBI']
4424,p100,"[' SND1', ' TPX2', ' CUX1', ' NFKB2', ' OAS3', 'ASCC2']","[' ENSG00000088325', ' ENSG00000111331', ' ENSG00000197157', ' ENSG00000077150', ' ENSG00000257923', 'ENSG00000100325']",['NCBI']
4425,p110,"[' SART3', 'CUX1']","['ENSG00000257923', ' ENSG00000075856']",['NCBI']
4426,p12,"['POLD4', 'POLE4', ' POLE4', ' POLD4', ' H3P5']","['ENSG00000115350', ' ENSG00000175482', ' ENSG00000115350', 'ENSG00000175482', ' nan', ' ENSG00000231712']","['HGNC', 'NCBI']"
4427,p120,"[' CTNND1', ' RASA1', ' TRPA1', 'IGSF1', ' BRD8', ' NOP2', ' NSUN5']","[' ENSG00000104321', 'ENSG00000147255', ' ENSG00000145715', ' ENSG00000130305', ' ENSG00000198561', ' ENSG00000112983', ' ENSG00000111641']",['NCBI']
4428,p13,"['H3P6', ' EXOSC1']","[' ENSG00000171311', 'nan']",['NCBI']
4429,p14,"[' CDK2AP2', ' H3P8', ' SUB1', 'LAMTOR2']","['ENSG00000116586', ' nan', ' ENSG00000113387', ' ENSG00000167797']",['NCBI']
4430,p15,"[' MRPL28', 'H3P9']","[' ENSG00000086504', 'ENSG00000227430']","['HGNC', 'NCBI']"
4431,p150,"['PIK3R4', ' RAB3GAP2', ' CTR9', ' ABL1']","[' ENSG00000198730', ' ENSG00000097007', ' ENSG00000118873', 'ENSG00000196455']",['NCBI']
4432,p17,"['H3P11', ' RPL29P31', ' POLE3', ' FAM72B', ' FAM72A']","['ENSG00000230111', ' ENSG00000237888', ' ENSG00000148229', ' ENSG00000188610', ' nan', ' ENSG00000196550']","['HGNC', 'NCBI']"
4433,p18,"[' H3P12', 'ATRAID', ' LAMTOR1', ' CDKN2C']","[' ENSG00000123080', ' nan', 'ENSG00000138085', ' ENSG00000149357']",['NCBI']
4434,p180,"['CD109', ' POLA1', ' RRBP1', ' EIF3A']","[' ENSG00000101868', ' ENSG00000125844', ' ENSG00000107581', 'ENSG00000156535']",['NCBI']
4435,p19,"[' CDKN2D', 'H3P13']","[' ENSG00000129355', 'ENSG00000243977']",['NCBI']
4436,p20,"[' H3P14', 'TPPP3']","[' nan', 'ENSG00000159713']",['NCBI']
4437,p200,"[' ARID2', 'HEATR5B', ' CUX1']","[' ENSG00000257923', ' ENSG00000189079', 'ENSG00000008869']",['NCBI']
4438,p21,"['H3P16', ' TCEAL1']","[' ENSG00000172465', 'ENSG00000178458', 'nan']","['HGNC', 'NCBI']"
4439,p22,"['DYNC1H1', ' PHB2', ' CHP1']","['ENSG00000197102', ' ENSG00000215021', ' ENSG00000187446']",['NCBI']
4440,p220,"['NPAT', ' RALGAPA2']","[' ENSG00000188559', 'ENSG00000149308']",['NCBI']
4441,p23,"['PTGES3', ' TPT1', ' CDK5R1', 'TMED10', ' TMED10P1', ' H3P17']","['ENSG00000110958', ' ENSG00000176749', 'ENSG00000170348', ' ENSG00000248205', ' nan', ' ENSG00000133112']","['HGNC', 'NCBI']"
4442,p24,"['H3P19', ' CHP1', ' TMED2', ' NRSN1', 'TPPP', ' H3P19']","[' ENSG00000086598', 'ENSG00000271296', ' ENSG00000187446', ' ENSG00000271296', ' ENSG00000152954', 'ENSG00000171368']","['HGNC', 'NCBI']"
4443,p240,"[' TEP1', 'RALGAPA1']","[' ENSG00000129566', 'ENSG00000174373']",['NCBI']
4444,p25,"[' CDK5R1', ' LCN2', 'TPPP', ' TMED9']","[' ENSG00000148346', ' ENSG00000176749', 'ENSG00000171368', ' ENSG00000184840']",['NCBI']
4445,p25beta,"[' TPPP2', 'CBX1']","[' ENSG00000179636', 'ENSG00000108468']",['NCBI']
4446,p26,"[' TMED3', 'H3P22']","[' ENSG00000166557', 'nan']",['NCBI']
4447,p27,"[' H3P23', ' ZNRD2', 'PSMD9', 'TMED7', ' DCTN6', ' PSMD9']","['ENSG00000110801', ' ENSG00000104671', ' ENSG00000250705', ' ENSG00000110801', ' ENSG00000173465', ' nan', 'ENSG00000134970']","['HGNC', 'NCBI']"
4448,p28,"[' TMED5', 'H3P24', ' PSMD10', ' IL27', 'PSMD10', ' H3P24']","[' ENSG00000101843', 'ENSG00000101843', 'nan', ' ENSG00000251118', ' ENSG00000197272', ' ENSG00000117500']","['HGNC', 'NCBI']"
4449,p32,"[' C1QBP', 'CD8A']","[' ENSG00000108561', 'ENSG00000153563']",['NCBI']
4450,p33,"['ING1', ' LTB', ' CD74']","[' ENSG00000227507', ' ENSG00000019582', 'ENSG00000153487']",['NCBI']
4451,p34,"[' AAGAB', ' ZC3H12D', ' CCNH', 'LRRC59']","['ENSG00000108829', ' ENSG00000178199', ' ENSG00000134480', ' ENSG00000103591']",['NCBI']
4452,p36,"[' NT5C3A', 'H3C9P']","[' ENSG00000122643', 'ENSG00000220875']",['NCBI']
4453,p37,"[' UBXN2B', 'NUP37', ' CCNH']","['ENSG00000075188', ' ENSG00000134480', ' ENSG00000215114']",['NCBI']
4454,p38,"[' MAPK14', ' AHSA1', 'AIMP2', ' POLDIP2', 'MAPK1', ' CRK']","[' ENSG00000167193', ' ENSG00000004142', ' ENSG00000112062', ' ENSG00000100591', 'ENSG00000100030', 'ENSG00000106305']","['HGNC', 'NCBI']"
4455,p40,"[' TP63', ' RABEPK', 'LANCL1', ' ARMH1', ' RPSA', ' BRMS1L', ' H3P28', 'MAPK1', ' LANCL1']","[' ENSG00000136933', 'ENSG00000115365', ' ENSG00000198520', ' ENSG00000220347', 'ENSG00000100030', ' ENSG00000100916', ' ENSG00000115365', ' nan', ' ENSG00000168028', ' ENSG00000073282']","['HGNC', 'NCBI']"
