,alias_symbol,gene_symbol,ENSG_ID,source
0, 2F1,"['KLRG1', ' SLC25A5']","[' ENSG00000005022', 'ENSG00000139187']",['HGNC']
1, 60B8AG,"[' S100A9', 'S100A8']","['ENSG00000143546', ' ENSG00000163220']",['HGNC']
2, A2,"['GPHA2', ' CFAP410', ' SGCA']","[' ENSG00000160226', ' ENSG00000108823', 'ENSG00000149735']",['HGNC']
3, ACC1,"['BCL2A1', ' ACACA']","[' ENSG00000275176', 'ENSG00000140379']",['ENSG']
4, ACC2,"[' ACACB', 'ACACB', 'BCL2A1', ' BCL2A1']","[' ENSG00000140379', 'ENSG00000076555', 'ENSG00000140379', ' ENSG00000076555']","['HGNC', 'ENSG']"
5, ACS2,"[' ACSL5', 'ACSL6']","['ENSG00000164398', ' ENSG00000197142']",['HGNC']
6, ACT,"[' FHL5', 'ACOT7', ' POTEM', ' SERPINA3']","[' ENSG00000222036', 'ENSG00000097021', ' ENSG00000196136', ' ENSG00000112214']","['HGNC', 'ENSG']"
7, AGPAT10,"['LPCAT1', ' GPAT3']","['ENSG00000153395', ' ENSG00000138678']",['HGNC']
8, AGPAT9,"[' LPCAT1', 'GPAT3']","[' ENSG00000153395', 'ENSG00000138678']",['ENSG']
9, AGS4,"['RNASEH2A', ' GPSM3']","['ENSG00000104889', ' ENSG00000213654']",['HGNC']
10, AIP1,"['DAB2IP', ' DAB2IP', 'PDCD6IP', ' MAGI2']","[' ENSG00000136848', 'ENSG00000170248', ' ENSG00000187391', 'ENSG00000136848']","['HGNC', 'ENSG']"
11, ALIEN,"[' COPS2', 'LINC00261']","['ENSG00000259974', ' ENSG00000166200']",['HGNC']
12, ALK1,"[' ALK', 'SLPI', ' ACVRL1']","[' ENSG00000171094', 'ENSG00000124107', ' ENSG00000139567']",['HGNC']
13, ALP,"[' ASRGL1', ' ATRNL1', 'SLPI']","['ENSG00000124107', ' ENSG00000162174', ' ENSG00000107518']",['HGNC']
14, ALP1,"[' ASZ1', 'ASRGL1']","[' ENSG00000154438', 'ENSG00000162174']",['HGNC']
15, AN,"[' PAX6', 'DIAPH3', ' CCDC102B']","[' ENSG00000150636', ' ENSG00000007372', 'ENSG00000139734']",['HGNC']
16, AP-1,"['JUN', ' FOS', ' FOSB']","[' ENSG00000170345', 'ENSG00000177606', ' ENSG00000125740']",['HGNC']
17, AP3Aase,"[' ENPP4', 'FHIT']","['ENSG00000189283', ' ENSG00000001561']",['HGNC']
18, AP47B,"['AP4S1', ' AP3M2']","['ENSG00000100478', ' ENSG00000070718']",['HGNC']
19, APC1,"['SLC25A24', ' ANAPC1']","['ENSG00000085491', ' ENSG00000153107']",['HGNC']
20, APRO5,"['TOB2', ' TOB1']","[' ENSG00000141232', 'ENSG00000183864']",['HGNC']
21, AR,"[' AKR1B1', 'FDXR']","['ENSG00000161513', ' ENSG00000085662']",['ENSG']
22, ARIP1,"[' MAGI2', 'MAGI2', ' ACTRT1', 'ACTRT1']","['ENSG00000187391', ' ENSG00000187391', 'ENSG00000123165', ' ENSG00000123165']","['HGNC', 'ENSG']"
23, ARP,"[' MANF', ' CRISP1', 'CRISP1', ' RERE', ' ARFRP1', 'RERE']","['ENSG00000124812', ' ENSG00000101246', ' ENSG00000142599', ' ENSG00000124812', ' ENSG00000145050', 'ENSG00000142599']","['HGNC', 'ENSG']"
24, ARP1,"['APOBEC2', ' PITX2', 'ANGPTL1', ' APOBEC2', ' ARFRP1', ' ANGPTL1']","['ENSG00000124701', ' ENSG00000164093', ' ENSG00000101246', ' ENSG00000116194', 'ENSG00000116194', ' ENSG00000124701']","['HGNC', 'ENSG']"
25, ARP5,"[' APOBEC3C', 'ANGPTL6']","[' ENSG00000244509', 'ENSG00000130812']",['ENSG']
26, ASP,"['ATG5', ' A1CF', ' ASPA', 'ASPM', ' TMPRSS11D', ' ASIP']","['ENSG00000066279', ' ENSG00000108381', 'ENSG00000057663', ' ENSG00000153802', ' ENSG00000101440', ' ENSG00000148584']","['HGNC', 'ENSG']"
27, AT1,"[' AGTR1', 'SLC33A1']","['ENSG00000169359', ' ENSG00000144891']",['ENSG']
28, ATPM,"[' ATP5F1A', 'ATP5PF']","[' ENSG00000152234', 'ENSG00000154723']",['ENSG']
29, ATR1,"[' SLC3A1', 'AGTR1']","[' ENSG00000138079', 'ENSG00000144891']",['HGNC']
30, AUTL1,"[' ATG4C', 'ATG4B']","[' ENSG00000125703', 'ENSG00000168397']",['ENSG']
31, B3GN-T1,"[' B4GAT1', 'B3GNT2']","[' ENSG00000174684', 'ENSG00000170340']",['HGNC']
32, B3GNT1,"[' B3GNT2', 'B4GAT1']","['ENSG00000174684', ' ENSG00000170340']",['ENSG']
33, B7-H5,"['VSIR', ' HHLA2']","[' ENSG00000114455', 'ENSG00000107738']",['HGNC']
34, BAP1,"[' MAGI1', 'RNF2']","['ENSG00000121481', ' ENSG00000151276']",['ENSG']
35, BEC1,"[' CLDN5', 'KCNH3']","[' ENSG00000184113', 'ENSG00000135519']",['HGNC']
36, BRCC1,"[' BRCA1', 'ICE2']","[' ENSG00000012048', 'ENSG00000128915']",['HGNC']
37, BTF4,"[' GTF2F2', 'GTF2F1']","['ENSG00000125651', ' ENSG00000188342']",['HGNC']
38, BTN1,"['BTN1A1', ' CLN3']","['ENSG00000124557', ' ENSG00000188603']",['HGNC']
39, C1,"['ARHGAP4', ' PFDN4', 'TRGC1']","['ENSG00000211689', 'ENSG00000089820', ' ENSG00000101132']","['HGNC', 'ENSG']"
40, C11,"[' POLR3K', 'AKR1C4']","['ENSG00000198610', ' ENSG00000161980']",['HGNC']
41, C53,"['CDK5RAP3', ' POLR3D']","[' ENSG00000168495', 'ENSG00000108465']",['HGNC']
42, CA125,"['NBR1', ' MUC16']","['ENSG00000188554', ' ENSG00000181143']",['ENSG']
43, CAF-1,"['CHAF1A', ' CHAF1B']","[' ENSG00000159259', 'ENSG00000167670']",['HGNC']
44, CAF1,"['CHAF1B', ' CHAF1A']","['ENSG00000159259', ' ENSG00000167670']","['HGNC', 'ENSG']"
45, CAL,"[' GOPC', 'FBLIM1']","[' ENSG00000047932', 'ENSG00000162458']",['HGNC']
46, CAP,"[' BRD4', ' SERPINB6', 'SORBS1']","[' ENSG00000141867', ' ENSG00000124570', 'ENSG00000095637']",['HGNC']
47, CARDINAL,"[' LINC00670', 'CARD8']","[' ENSG00000179136', 'ENSG00000105483']",['HGNC']
48, CARP,"[' CA8', ' MINDY3', 'ANKRD1']","[' ENSG00000148481', 'ENSG00000148677', ' ENSG00000178538']","['HGNC', 'ENSG']"
49, CASP,"['CUX1', ' CYTIP']","['ENSG00000257923', ' ENSG00000115165']",['HGNC']
50, CBP,"['PAG1', ' CREBBP']","[' ENSG00000005339', 'ENSG00000076641']",['HGNC']
51, CD,"['CTLA4', ' NOD2']","['ENSG00000163599', ' ENSG00000167207']",['HGNC']
52, CD85,"[' LILRA5', 'LILRB1']","['ENSG00000104972', ' ENSG00000187116']",['HGNC']
53, CD98,"[' SLC3A2', 'SLC7A5']","[' ENSG00000168003', 'ENSG00000103257']",['HGNC']
54, CDK11-P110,"[' CDK11A', 'CDK11B']","['ENSG00000248333', ' ENSG00000008128']",['ENSG']
55, CDK11-P46,"[' CDK11A', 'CDK11B']","['ENSG00000248333', ' ENSG00000008128']",['ENSG']
56, CDK11-P58,"[' CDK11A', 'CDK11B']","['ENSG00000248333', ' ENSG00000008128']",['ENSG']
57, CDK11-p46,"[' CDK11A', 'CDK11B']","['ENSG00000248333', ' ENSG00000008128']",['HGNC']
58, CDK11-p58,"['CDK11A', ' CDK11B']","['ENSG00000008128', ' ENSG00000248333']",['HGNC']
59, CDR,"[' RUNX1T1', 'AKR1C4']","['ENSG00000198610', ' ENSG00000079102']",['ENSG']
60, CED-12,"[' ELMO3', 'ELMO1', ' ELMO2']","[' ENSG00000102890', 'ENSG00000155849', ' ENSG00000062598']",['HGNC']
61, CED12,"[' ELMO3', 'ELMO2', 'ELMO1', ' ELMO1']","[' ENSG00000102890', ' ENSG00000155849', 'ENSG00000155849', 'ENSG00000062598']","['HGNC', 'ENSG']"
62, CEP2,"[' CEP250', 'CDC42EP2']","[' ENSG00000126001', 'ENSG00000149798']",['ENSG']
63, CFAG,"[' S100A8', 'S100A9']","[' ENSG00000143546', 'ENSG00000163220']",['ENSG']
64, CG1,"[' NUP42', 'KTN1']","['ENSG00000126777', ' ENSG00000136243']",['HGNC']
65, CGRP,"['S100A12', ' CALCA']","['ENSG00000163221', ' ENSG00000110680']",['ENSG']
66, CHAMP,"[' MOV10L1', 'CHAMP1']","[' ENSG00000073146', 'ENSG00000198824']",['HGNC']
67, CHED,"[' OVOL2', 'CDK13']","[' ENSG00000125850', 'ENSG00000065883']",['ENSG']
68, CHS1,"['LYST', ' VPS13B']","['ENSG00000143669', ' ENSG00000132549']",['ENSG']
69, CIA,"[' ASF1A', 'NCOA5']","[' ENSG00000111875', 'ENSG00000124160']",['HGNC']
70, CIB,"[' ABHD14B', 'CIB1']","[' ENSG00000114779', 'ENSG00000185043']",['HGNC']
71, CIR,"[' VIM2P', 'KCNJ5']","[' ENSG00000220548', 'ENSG00000120457']",['HGNC']
72, CKR-1,"['CCR1', ' CXCR1']","['ENSG00000163823', ' ENSG00000163464']",['ENSG']
73, CLA1,"['SCARB1', ' PMPCA']","['ENSG00000073060', ' ENSG00000165688']",['ENSG']
74, CLA20,"[' AP4S1', 'AP3M2']","['ENSG00000070718', ' ENSG00000100478']",['ENSG']
75, CLAMP,"[' PDZK1', 'SPEF1']","[' ENSG00000174827', 'ENSG00000101222']","['HGNC', 'ENSG']"
76, CLAN,"['NLRC4', ' LINC02577']","['ENSG00000091106', ' ENSG00000228742']","['HGNC', 'ENSG']"
77, CLF,"['CRNKL1', ' CRLF1']","['ENSG00000101343', ' ENSG00000006016']",['HGNC']
78, CLIP,"['CLIP2', ' CLIP1', ' POMC']","['ENSG00000106665', ' ENSG00000130779', ' ENSG00000115138']",['HGNC']
79, CMG1,"['IFT74', ' ZFP36L1']","[' ENSG00000185650', 'ENSG00000096872']",['ENSG']
80, CMPD2,"[' SCN5A', 'TNNT2']","['ENSG00000118194', ' ENSG00000183873']",['ENSG']
81, CN1,"[' NT5C1A', 'CNDP1']","[' ENSG00000116981', 'ENSG00000150656']",['HGNC']
82, CNIL,"['CNIH2', ' CNIH1']","['ENSG00000174871', ' ENSG00000100528']",['ENSG']
83, CO4,"['C4B', ' C4B', 'C4A', ' C4A']","['ENSG00000244731', ' ENSG00000206340', 'ENSG00000224389', ' ENSG00000224389']","['HGNC', 'ENSG']"
84, COD5,"['OPN1LW', ' OPN1MW']","['ENSG00000102076', ' ENSG00000268221']",['ENSG']
85, COQ8,"['COQ8A', ' COQ8B']","['ENSG00000163050', ' ENSG00000123815']",['ENSG']
86, CP27,"[' CYP27A1', 'CFDP1']","['ENSG00000153774', ' ENSG00000135929']",['HGNC']
87, CPX,"['CPOX', ' EBP', ' TBX22']","[' ENSG00000122145', 'ENSG00000080819', ' ENSG00000147155']",['ENSG']
88, CRD,"['CRX', ' RPGR']","['ENSG00000105392', ' ENSG00000156313']",['ENSG']
89, CRN,"['CRNKL1', ' CORIN']","['ENSG00000101343', ' ENSG00000145244']",['ENSG']
90, CRP2,"[' CSRP2', 'CEBPB']","['ENSG00000172216', ' ENSG00000175183']",['HGNC']
91, CRT,"['SLC6A8', ' CALR']","['ENSG00000130821', ' ENSG00000179218']",['HGNC']
92, CRYG5,"[' CRYGA', 'CRYGEP']","['ENSG00000229150', ' ENSG00000168582']",['ENSG']
93, CS-2,"['MYOZ1', ' CSH2']","[' ENSG00000213218', 'ENSG00000177791']",['HGNC']
94, CSB,"['ERCC6', ' CSH2']","[' ENSG00000213218', 'ENSG00000225830']",['ENSG']
95, CSL,"[' CSHL1', 'SMPX']","[' ENSG00000204414', 'ENSG00000091482']",['ENSG']
96, CSN1,"['GPS1', ' CSN1S1']","[' ENSG00000126545', 'ENSG00000169727']",['ENSG']
97, CT1,"[' SLC6A8', 'CTF1']","['ENSG00000150281', ' ENSG00000130821']","['HGNC', 'ENSG']"
98, CT90,"['MPHOSPH10', ' KIF20B']","['ENSG00000124383', ' ENSG00000138182']",['HGNC']
99, CTLA1,"[' GZMB', 'GZMH']","['ENSG00000100450', ' ENSG00000100453']",['ENSG']
100, CTR1,"[' SLC31A1', 'CCDC174']","[' ENSG00000136868', 'ENSG00000154781']",['ENSG']
101, CV2,"[' BMPER', 'DPYSL5']","[' ENSG00000164619', 'ENSG00000157851']",['ENSG']
102, CYP11B,"['CYP11B2', ' CYP11B1']","[' ENSG00000160882', 'ENSG00000179142']",['ENSG']
103, CYP2A,"[' CYP2A6', 'CYP2A13']","[' ENSG00000255974', 'ENSG00000197838']","['HGNC', 'ENSG']"
104, CYP2C,"['CYP2C18', ' CYP2C19']","[' ENSG00000165841', 'ENSG00000108242']",['ENSG']
105, CYPD,"[' PPIF', 'PPID']","[' ENSG00000108179', 'ENSG00000171497']",['ENSG']
106, CypD,"[' PPID', 'PPIF']","['ENSG00000108179', ' ENSG00000171497']",['HGNC']
107, DA2B,"[' TNNI2', ' TNNT3', 'TNNT3', 'TNNI2']","['ENSG00000130598', ' ENSG00000130595', ' ENSG00000130598', 'ENSG00000130595']","['HGNC', 'ENSG']"
108, DAP,"[' IAPP', 'DNPEP']","[' ENSG00000121351', 'ENSG00000123992']",['ENSG']
109, DBS,"[' MCF2L', 'LRP2']","[' ENSG00000126217', 'ENSG00000081479']",['HGNC']
110, DCR2,"['CCR6', ' TNFRSF10D']","['ENSG00000112486', ' ENSG00000173530']",['ENSG']
111, DEC1,"['DELEC1', ' BHLHE40']","['ENSG00000173077', ' ENSG00000134107']",['ENSG']
112, DEFB4,"[' DEFB104A', 'DEFB4A']","[' ENSG00000176782', 'ENSG00000171711']",['ENSG']
113, DELTA,"['YY1', ' PSMB6']","['ENSG00000100811', ' ENSG00000142507']",['HGNC']
114, DFNA3,"[' GJB2', 'GJB6']","['ENSG00000121742', ' ENSG00000165474']",['ENSG']
115, DGK,"['DGKB', 'DGKE', ' DGKE', ' DGKB']","[' ENSG00000136267', ' ENSG00000153933', 'ENSG00000153933', 'ENSG00000136267']","['HGNC', 'ENSG']"
116, DIA,"['DIAPH2', ' LIF']","[' ENSG00000128342', 'ENSG00000147202']",['HGNC']
117, DIA1,"['DIPK2A', ' CYB5R3']","['ENSG00000181744', ' ENSG00000100243']",['ENSG']
118, DIVA,"[' BCL2L10', 'COL6A4P1']","[' ENSG00000137875', 'ENSG00000230524']",['ENSG']
119, DJ760C5.1,"[' CFTR', 'CFTRP1']","['ENSG00000228593', ' ENSG00000001626']",['ENSG']
120, DK1,"['IGHD5-12', ' DOLK']","[' ENSG00000175283', 'ENSG00000211921']",['HGNC']
121, DKFZP547P234,"[' ATP6V1G1', 'TMEM268']","['ENSG00000157693', ' ENSG00000136888']",['ENSG']
122, DMC,"['DYM', ' CXCL17']","[' ENSG00000189377', 'ENSG00000141627']",['HGNC']
123, DMT1,"['SLC11A2', ' DMRT1']","[' ENSG00000137090', 'ENSG00000110911']",['ENSG']
124, DNF15S2,"[' APEH', 'MST1']","['ENSG00000173531', ' ENSG00000164062']",['ENSG']
125, DNM1DN11@,"['DNM1P38', ' DNM1P41']","['ENSG00000259637', ' ENSG00000280038']",['ENSG']
126, DNM1DN14@,"['DNM1P47', ' DNM1P46']","['ENSG00000259660', ' ENSG00000182397']",['ENSG']
127, DNM1DN3@,"[' DNM1P28', 'DNM1P30']","[' ENSG00000261792', 'ENSG00000260897']",['ENSG']
128, DNM1DN4@,"[' DNM1P31', ' DNM1P30', 'DNM1P32']","[' ENSG00000260897', 'ENSG00000261708', ' ENSG00000261491']",['ENSG']
129, DNM1DN8@,"['DNM1P34', ' DNM1P35']","[' ENSG00000246877', 'ENSG00000260357']",['ENSG']
130, DOC1,"['ANAPC10', ' CDK2AP1', 'CDK2AP1', ' ANAPC10']","[' ENSG00000111328', 'ENSG00000111328', 'ENSG00000164162', ' ENSG00000164162']","['HGNC', 'ENSG']"
131, DP1,"['TFDP1', ' PTGDR', ' REEP5']","[' ENSG00000168229', ' ENSG00000129625', 'ENSG00000198176']","['HGNC', 'ENSG']"
132, DP3,"['JUP', ' APC']","[' ENSG00000134982', 'ENSG00000173801']",['ENSG']
133, DPK,"['KCNK1', ' TAOK3']","['ENSG00000135750', ' ENSG00000135090']",['HGNC']
134, DRP1,"[' UTRN', 'UTRN', 'DENR', ' DENR']","['ENSG00000152818', 'ENSG00000139726', ' ENSG00000152818', ' ENSG00000139726']","['HGNC', 'ENSG']"
135, DRS1,"['ECI2', 'DDX27', ' ECI2', ' DDX27']","['ENSG00000124228', ' ENSG00000124228', 'ENSG00000198721', ' ENSG00000198721']","['HGNC', 'ENSG']"
136, DSK2,"[' UBQLN2', 'UBQLN1']","[' ENSG00000188021', 'ENSG00000135018']",['ENSG']
137, DXS648E,"[' RPL10', 'SNORA70']","[' ENSG00000147403', 'ENSG00000207165']",['HGNC']
138, E1,"[' ENOPH1', 'SNORA73A']","['ENSG00000274266', ' ENSG00000145293']",['HGNC']
139, E2,"[' DLAT', 'DLAT', 'CST12P', ' CST12P']","[' ENSG00000150768', 'ENSG00000226344', ' ENSG00000226344', 'ENSG00000150768']","['HGNC', 'ENSG']"
140, E3,"['ALDH9A1', ' DLD']","[' ENSG00000091140', 'ENSG00000143149']",['ENSG']
141, E4,"['UBE4A', ' UBE4B']","[' ENSG00000130939', 'ENSG00000110344']",['HGNC']
142, EAP1,"['EXOSC7', ' PTTG1']","['ENSG00000075914', ' ENSG00000164611']",['HGNC']
143, EBN,"['KCNQ2', ' CHRNA4']","[' ENSG00000101204', 'ENSG00000075043']",['ENSG']
144, EBN1,"[' KCNQ2', 'CHRNA4']","[' ENSG00000075043', 'ENSG00000101204']",['ENSG']
145, EDG1,"[' S1PR1', 'HEXIM1']","[' ENSG00000170989', 'ENSG00000186834']",['ENSG']
146, EDG2,"[' LPAR1', 'BUD31']","[' ENSG00000198121', 'ENSG00000106245']",['ENSG']
147, EDHB17,"['HSD17B1', ' HSD17B1P1']","['ENSG00000108786', ' ENSG00000108785']",['ENSG']
148, EEG1,"[' CAPRIN2', 'SLC43A3']","['ENSG00000134802', ' ENSG00000110888']",['ENSG']
149, EIF-2B,"['EIF2B3', ' EIF2B5', ' EIF2B1', ' EIF2B4']","[' ENSG00000111361', ' ENSG00000145191', ' ENSG00000115211', 'ENSG00000070785']",['HGNC']
150, EIF1A,"[' EIF1', 'EIF1AX']","['ENSG00000173674', ' ENSG00000173812']",['ENSG']
151, EIF2B,"[' EIF2B2', ' EIF2B4', 'EIF2B1']","[' ENSG00000115211', ' ENSG00000119718', 'ENSG00000111361']",['ENSG']
152, EIF4A,"['EIF4A1', ' EIF4A2']","[' ENSG00000156976', 'ENSG00000161960']",['ENSG']
153, EIF4F,"['EIF4E', ' EIF4A2']","[' ENSG00000156976', 'ENSG00000151247']",['ENSG']
154, EMA,"[' ETFA', 'MUC1']","[' ENSG00000140374', 'ENSG00000185499']",['HGNC']
155, EMAP-2,"['AIMP1', ' EML5', ' EML2']","[' ENSG00000125746', ' ENSG00000165521', 'ENSG00000164022']",['HGNC']
156, ERF1,"[' TFAP2C', 'TFAP2C', 'ZFP36L1', ' ZFP36L1', ' ETF1']","[' ENSG00000087510', ' ENSG00000185650', ' ENSG00000120705', 'ENSG00000185650', 'ENSG00000087510']","['HGNC', 'ENSG']"
157, ERIS,"[' STING1', 'CISD2']","[' ENSG00000184584', 'ENSG00000145354']",['HGNC']
158, ERV1,"['GFER', ' CMKLR1']","['ENSG00000127554', ' ENSG00000174600']","['HGNC', 'ENSG']"
159, ESA,"[' EPCAM', 'FLOT2']","['ENSG00000132589', ' ENSG00000119888']",['ENSG']
160, ESA1,"[' FLOT2', 'FLOT2', ' KAT5', 'KAT5']","[' ENSG00000172977', 'ENSG00000132589', ' ENSG00000132589', 'ENSG00000172977']","['HGNC', 'ENSG']"
161, ESG,"['TLE1', ' TLE4', ' TLE2']","['ENSG00000196781', ' ENSG00000106829', ' ENSG00000065717']",['HGNC']
162, ESO1,"['CTAG1A', ' CTAG1B', 'CTAG1B', ' ESCO1']","['ENSG00000268651', ' ENSG00000141446', 'ENSG00000184033', ' ENSG00000184033']","['HGNC', 'ENSG']"
163, ESP1,"['ESPL1', ' CRIP2']","['ENSG00000135476', ' ENSG00000182809']",['HGNC']
164, ETL1,"[' LGI1', 'SMARCAD1']","[' ENSG00000108231', 'ENSG00000163104']",['ENSG']
165, EVR1,"[' FZD4', 'LRP5']","['ENSG00000162337', ' ENSG00000174804']",['ENSG']
166, FACD,"[' BRCA2', 'FANCD2']","['ENSG00000144554', ' ENSG00000139618']",['ENSG']
167, FAD,"[' BRCA2', 'FANCD2', ' PSEN1']","[' ENSG00000080815', 'ENSG00000144554', ' ENSG00000139618']",['ENSG']
168, FAD1,"[' BRCA2', 'FLAD1']","['ENSG00000160688', ' ENSG00000139618']",['HGNC']
169, FAME,"[' FCMTE3', 'CCDC198']","[' nan', 'ENSG00000100557']",['HGNC']
170, FANCD,"[' BRCA2', 'FANCD2']","['ENSG00000144554', ' ENSG00000139618']",['ENSG']
171, FBL5,"['FBXL5', ' FBXL4']","['ENSG00000118564', ' ENSG00000112234']","['HGNC', 'ENSG']"
172, FBL7,"['KDM2A', ' KDM2A', 'FBXL7', ' FBXL7']","[' ENSG00000173120', ' ENSG00000183580', 'ENSG00000173120', 'ENSG00000183580']","['HGNC', 'ENSG']"
173, FBS1,"['FBRS', ' FBXO2']","['ENSG00000156860', ' ENSG00000116661']",['ENSG']
174, FBX30,"[' FBXO44', 'FBXW7']","[' ENSG00000132879', 'ENSG00000109670']",['ENSG']
175, FCG1,"[' FCGR1A', 'FCGR1BP']","[' ENSG00000150337', 'ENSG00000291135']",['ENSG']
176, FCG2,"[' FCGR2B', 'FCGR2A']","[' ENSG00000072694', 'ENSG00000143226']",['ENSG']
177, FCG3,"['FCGR3A', ' FCGR3B']","[' ENSG00000162747', 'ENSG00000203747']",['ENSG']
178, FCGR1,"[' FCGR1BP', 'FCGR1A']","[' ENSG00000291135', 'ENSG00000150337']",['ENSG']
179, FCGR2,"['FCGR2B', ' FCGR2A']","['ENSG00000072694', ' ENSG00000143226']",['ENSG']
180, FCGR3,"['FCGR3A', ' FCGR3B']","[' ENSG00000162747', 'ENSG00000203747']",['ENSG']
181, FDH,"['ADH5', ' ALDH1L1']","[' ENSG00000144908', 'ENSG00000197894']",['ENSG']
182, FE,"[' GTF2E1', 'GTF2E2']","[' ENSG00000153767', 'ENSG00000197265']",['HGNC']
183, FIG,"['DEPP1', ' GOPC', ' DEPP1', 'GOPC']","[' ENSG00000047932', 'ENSG00000165507', ' ENSG00000165507', 'ENSG00000047932']","['HGNC', 'ENSG']"
184, FLIP,"['CFLAR', ' FIRRM']","['ENSG00000003402', ' ENSG00000000460']","['HGNC', 'ENSG']"
185, FLJ43692,"[' ARHGEF35', 'CTAGE4']","['ENSG00000288370', ' ENSG00000213214']",['ENSG']
186, FOP,"[' CEP43', 'CHTOP']","[' ENSG00000213066', 'ENSG00000160679']",['ENSG']
187, FRA,"[' RABEP2', 'FOLR1']","[' ENSG00000177548', 'ENSG00000110195']",['ENSG']
188, FRAG1,"[' PGAP2', 'ATAD5']","[' ENSG00000148985', 'ENSG00000176208']",['ENSG']
189, FRG,"[' FOLR3', 'FARP2']","['ENSG00000006607', ' ENSG00000110203']",['ENSG']
190, FRITZ,"[' FRZB', 'WDPCP']","[' ENSG00000162998', 'ENSG00000143951']",['ENSG']
191, FSP1,"[' S100A4', ' AIFM2', 'AIFM2', 'S100A4', ' ATL1']","['ENSG00000042286', ' ENSG00000042286', 'ENSG00000196154', ' ENSG00000196154', ' ENSG00000198513']","['HGNC', 'ENSG']"
192, FSSV,"[' TNNT3', 'TNNI2']","['ENSG00000130598', ' ENSG00000130595']",['ENSG']
193, FUS1,"['TUSC2', ' FUS']","[' ENSG00000089280', 'ENSG00000114383']",['ENSG']
194, FY,"[' FUZ', 'ACKR1']","['ENSG00000213088', ' ENSG00000010361']",['ENSG']
195, G10,"['ZBTB12', ' BUD31']","[' ENSG00000106245', 'ENSG00000204366']",['ENSG']
196, G18,"[' CISH', 'GPSM3']","[' ENSG00000114737', 'ENSG00000213654', 'ENSG00000206314']","['HGNC', 'ENSG']"
197, G2,"[' CRYGEP', 'PRRC2A', ' KIAA1549L']","[' ENSG00000110427', 'ENSG00000204469', ' ENSG00000229150']",['ENSG']
198, GALNT15,"['GALNTL5', ' GALNT18']","['ENSG00000106648', ' ENSG00000110328']",['ENSG']
199, GARP,"['CNGB1', ' LRRC32']","[' ENSG00000137507', 'ENSG00000070729']",['ENSG']
200, GAS,"[' PAGR1', 'GALNS']","['ENSG00000141012', ' ENSG00000280789']",['ENSG']
201, GBP,"['PIAS1', ' TMEM132A']","[' ENSG00000006118', 'ENSG00000033800']",['ENSG']
202, GC1,"[' SOD2', 'OLFM4']","[' ENSG00000291237', 'ENSG00000102837']",['HGNC']
203, GCAP,"['ALPG', ' GUCA1A']","['ENSG00000163286', ' ENSG00000048545']",['ENSG']
204, GCD10,"[' CRLS1', 'TRMT6']","['ENSG00000089195', ' ENSG00000088766']",['ENSG']
205, GCP2,"['FOLH1', 'TUBGCP2', ' FOLH1', ' GOLGA4']","[' ENSG00000144674', ' ENSG00000086205', 'ENSG00000086205', 'ENSG00000130640']","['HGNC', 'ENSG']"
206, GDA,"[' PAEP', 'SLC25A16']","['ENSG00000122912', ' ENSG00000122133']",['ENSG']
207, GDN,"[' MAML3', 'SERPINE2']","['ENSG00000135919', ' ENSG00000196782']",['HGNC']
208, GEMIN1,"[' SMN2', ' SMN1', 'SMN2', 'SMN1']","['ENSG00000172062', ' ENSG00000172062', ' ENSG00000205571', 'ENSG00000205571']","['HGNC', 'ENSG']"
209, GID2,"['RMND5B', ' RMND5B', ' RMND5A', 'RMND5A']","[' ENSG00000145916', ' ENSG00000153561', 'ENSG00000145916', 'ENSG00000153561']","['HGNC', 'ENSG']"
210, GIG1,"[' ZNF704', 'CCN1']","[' ENSG00000164684', 'ENSG00000142871']",['ENSG']
211, GLP-1,"[' GCG', 'ZGLP1']","['ENSG00000220201', ' ENSG00000115263']",['HGNC']
212, GLP1,"[' GCG', 'ZGLP1']","['ENSG00000220201', ' ENSG00000115263']",['ENSG']
213, GLUC,"['GBA3', ' GBA1LP', ' GBA1']","[' ENSG00000291137', 'ENSG00000249948', ' ENSG00000177628']",['ENSG']
214, GLUT8,"[' SLC2A12', 'SLC2A8']","['ENSG00000136856', ' ENSG00000146411']",['HGNC']
215, GLYT1,"['SLC6A9', ' MGAT1']","['ENSG00000196517', ' ENSG00000131446']",['ENSG']
216, GLYT2,"['SLC6A5', ' GGTA1']","['ENSG00000165970', ' ENSG00000204136']",['ENSG']
217, GOT1,"['GOLT1A', 'GOLT1B', ' GOLT1A', ' GOLT1B']","[' ENSG00000111711', 'ENSG00000174567', ' ENSG00000174567', 'ENSG00000111711']","['HGNC', 'ENSG']"
218, GP110,"['CD68', ' ADRM1']","[' ENSG00000130706', 'ENSG00000129226']",['ENSG']
219, GPD,"[' GYPC', 'ACKR1']","['ENSG00000213088', ' ENSG00000136732']","['HGNC', 'ENSG']"
220, GRINL1A,"['POLR2M', ' GCOM1']","[' ENSG00000137878', 'ENSG00000255529']",['ENSG']
221, GS1,"['PUDP', ' MYO5A']","['ENSG00000130021', ' ENSG00000197535']",['HGNC']
222, GS2,"[' RAB27A', 'PNPLA4']","[' ENSG00000069974', 'ENSG00000006757']",['HGNC']
223, GSE,"[' CTLA4', 'CELIAC2']","[' ENSG00000163599', 'nan']",['HGNC']
