,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
8611,ENSG00000144891,AGTR1,336,185,"AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B, ATR1", ATR1,HGNC
7580,ENSG00000138079,SLC3A1,11025,6519,"CSNU1, D2H, RBAT, ATR1, NBAT", ATR1,HGNC
12751,ENSG00000170340,B3GNT2,15629,10678,"B3GNT-2, BETA3GNT, B3GN-T2, B3GN-T1", B3GN-T1,HGNC
13686,ENSG00000174684,B4GAT1,15685,11041,"IGnT, iGAT, BETA3GNTI, B3GN-T1", B3GN-T1,HGNC
3436,ENSG00000107738,VSIR,30085,64115,"SISP1, GI24, B7-H5, B7H5, VISTA, PD-1H, Dies1", B7-H5,HGNC
4280,ENSG00000114455,HHLA2,4905,11148,"B7H7, B7-H5, B7y, B7-H7", B7-H5,HGNC
15553,ENSG00000184113,CLDN5,2047,7122,"CPETRL1, BEC1", BEC1,HGNC
7080,ENSG00000135519,KCNH3,6252,23416,"Kv12.2, BEC1, elk2", BEC1,HGNC
309,ENSG00000012048,BRCA1,1100,672,"RNF53, BRCC1, PPP1R53, FANCS", BRCC1,HGNC
6067,ENSG00000128915,ICE2,29885,79664,"FLJ11896, BRCC1", BRCC1,HGNC
16561,ENSG00000188342,GTF2F2,4653,2963,"TFIIF, BTF4, RAP30", BTF4,HGNC
5669,ENSG00000125651,GTF2F1,4652,2962,"TFIIF, BTF4, RAP74, TF2F1", BTF4,HGNC
5530,ENSG00000124557,BTN1A1,1135,696,"BT, BTN1", BTN1,HGNC
16618,ENSG00000188603,CLN3,2074,1201,"JNCL, BTN1", BTN1,HGNC
2439,ENSG00000101132,PFDN4,8868,5203,"PFD4, C-1, C1", C1,HGNC
1852,ENSG00000089820,ARHGAP4,674,393,"KIAA0131, C1, p115, RhoGAP4, SrGAP4", C1,HGNC
17626,ENSG00000198610,AKR1C4,387,1109,"DD4, HAKRA, C11, 3-alpha-HSD, CDR, MGC22581", C11,HGNC
10629,ENSG00000161980,POLR3K,14121,51728,"RPC11, C11", C11,HGNC
3527,ENSG00000108465,CDK5RAP3,18673,80279,"MST016, FLJ13660, C53, IC53, HSF-27, OK/SW-cl.114, LZAP", C53,HGNC
12334,ENSG00000168495,POLR3D,1080,661,"TSBN51, RPC4, C53", C53,HGNC
12121,ENSG00000167670,CHAF1A,1910,10036,"CAF1P150, CAF1B, CAF-1, CAF1, P150, MGC71229", CAF-1,HGNC
10296,ENSG00000159259,CHAF1B,1911,8208,"CAF1P60, CAF-1, CAF1, CAF1A, MPP7, MPHOSPH7", CAF-1,HGNC
10296,ENSG00000159259,CHAF1B,1911,8208,"CAF1P60, CAF-1, CAF1, CAF1A, MPP7, MPHOSPH7", CAF1,HGNC
12121,ENSG00000167670,CHAF1A,1910,10036,"CAF1P150, CAF1B, CAF-1, CAF1, P150, MGC71229", CAF1,HGNC
10705,ENSG00000162458,FBLIM1,24686,54751,"FBLP-1, CAL, migfilin", CAL,HGNC
632,ENSG00000047932,GOPC,17643,57120,"dJ94G16.2, PIST, FIG, GOPC1, CAL", CAL,HGNC
8153,ENSG00000141867,BRD4,13575,23476,"HUNKI, MCAP, CAP, HUNK1, FSHRG4", CAP,HGNC
2035,ENSG00000095637,SORBS1,14565,10580,"FLJ12406, CAP, sh3p12, ponsin, KIAA1296", CAP,HGNC
5534,ENSG00000124570,SERPINB6,8950,5269,"PTI, CAP", CAP,HGNC
3111,ENSG00000105483,CARD8,17057,22900,"TUCAN, KIAA0955, CARDINAL, NDPP, Dakar", CARDINAL,HGNC
14548,ENSG00000179136,LINC00670,44338,284034,"FLJ34690, CARDINAL", CARDINAL,HGNC
9093,ENSG00000148677,ANKRD1,15819,27063,"C-193, ALRP, CARP, CVARP, MCARP", CARP,HGNC
9073,ENSG00000148481,MINDY3,23578,80013,"FLJ13397, CARP, my042, DERP5", CARP,HGNC
35501,ENSG00000257923,CUX1,2557,1523,"CDP, CDP1, CUX, CUT, Clox, CDP/Cut, CDP/Cux, Cux/CDP, CASP, GOLIM6", CASP,HGNC
4363,ENSG00000115165,CYTIP,9506,9595,"B3-1, HE, CYBR, CASP, CYTHIP", CASP,HGNC
92,ENSG00000005339,CREBBP,2348,1387,"RTS, CBP, KAT3A", CBP,HGNC
1349,ENSG00000076641,PAG1,30043,55824,"PAG, CBP", CBP,HGNC
12012,ENSG00000167207,NOD2,5331,64127,"BLAU, CD, PSORAS1, CLR16.3, NLRC2", CD,HGNC
11027,ENSG00000163599,CTLA4,2505,1493,"CD152, CD, GSE, CTLA-4", CD,HGNC
3012,ENSG00000104972,LILRB1,6605,10859,"LIR-1, ILT2, MIR-7, CD85, LIR1, CD85j, PIRB, PIR-B", CD85,HGNC
16288,ENSG00000187116,LILRA5,16309,353514,"ILT11, LIR9, CD85, CD85f", CD85,HGNC
2785,ENSG00000103257,SLC7A5,11063,8140,"LAT1, E16, D16S469E, MPE16, CD98", CD98,HGNC
12216,ENSG00000168003,SLC3A2,11026,6520,"4T2HC, 4F2, NACAE, CD98, CD98HC, 4F2HC", CD98,HGNC
32100,ENSG00000248333,CDK11B,1729,984,"CDK11-p110, CDK11-p58, CDK11-p46", CDK11-p46,HGNC
202,ENSG00000008128,CDK11A,1730,728642,"PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA", CDK11-p46,HGNC
202,ENSG00000008128,CDK11A,1730,728642,"PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA", CDK11-p58,HGNC
