,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol,collision,source
52644,19065,CLA3,0,,SCAR6,CLA3,HGNC
8471,17412,CLC,23529,ENSG00000175505,CLCF1,CLC,HGNC
10824,24627,CLCP1,131566,ENSG00000057019,DCBLD2,CLCP1,HGNC
8645,2065,CLIC5,54102,ENSG00000159212,CLIC6,CLIC5,HGNC
63610,12462,CLIP4,53347,ENSG00000160185,UBASH3A,CLIP4,HGNC
42210,9314,CNA1,5530,ENSG00000138814,PPP3CA,CNA1,HGNC
36527,7941,CNP,4880,ENSG00000163273,NPPC,CNP,HGNC
39355,8662,CNR1,56117,,PCDHA@,CNR1,HGNC
39359,8670,CNR1,56144,ENSG00000204967,PCDHA4,CNR1,HGNC
39367,8672,CNR2,56142,ENSG00000081842,PCDHA6,CNR2,HGNC
9041,18621,COD2,57511,ENSG00000133103,COG6,COD2,HGNC
5858,33701,COP,114769,ENSG00000204397,CARD16,COP,HGNC
5857,33701,COP1,114769,ENSG00000204397,CARD16,COP1,HGNC
9378,15740,CPA3,51200,ENSG00000128510,CPA4,CPA3,HGNC
10438,2610,CPA6,1548,ENSG00000255974,CYP2A6,CPA6,HGNC
20510,17513,CPD,9455,ENSG00000103942,HOMER2,CPD,HGNC
10548,2591,CPN1,1584,ENSG00000160882,CYP11B1,CPN1,HGNC
9419,2314,CPN1,8904,ENSG00000214078,CPNE1,CPN1,HGNC
9420,2315,CPN2,221184,ENSG00000140848,CPNE2,CPN2,HGNC
10550,2592,CPN2,1585,ENSG00000179142,CYP11B2,CPN2,HGNC
10568,2600,CPS1,1589,ENSG00000231852,CYP21A2,CPS1,HGNC
9528,18854,CREB3,148327,ENSG00000143578,CREB3L4,CREB3,HGNC
8956,24546,CRIP1,25927,ENSG00000119865,CNRIP1,CRIP1,HGNC
41848,9264,CRP,140913,ENSG00000224530,PPIAP10,CRP,HGNC
9187,30747,CSN2,9318,ENSG00000166200,COPS2,CSN2,HGNC
9189,2239,CSN3,8533,ENSG00000141030,COPS3,CSN3,HGNC
9795,2459,CSNK2A1,1459,ENSG00000070770,CSNK2A2,CSNK2A1,HGNC
9874,2482,CST6,1476,ENSG00000160213,CSTB,CST6,HGNC
9438,25632,CSTP1,55313,ENSG00000103381,CPPED1,CSTP1,HGNC
2659,33846,CTAGE4,445328,ENSG00000213214,ARHGEF35,CTAGE4,HGNC
64935,17149,CTH,23584,ENSG00000019102,VSIG2,CTH,HGNC
