gene_symbol,alias_symbol,ENSG_ID,collision,source
PDCD6IP,"Alix,AIP1,Hp95",ENSG00000170248,AIP1,HGNC
DAB2IP,"AF9Q34,DIP1/2,KIAA1743,AIP1",ENSG00000136848,AIP1,HGNC
ACTRT1,"AIP1,KIAA0705,ARIP1,Arp-T1",ENSG00000123165,AIP1,HGNC
CHD1L,ALC1,ENSG00000131778,ALC1,HGNC
MYL4,"ALC1,AMLC,GT1,PRO1957",ENSG00000198336,ALC1,HGNC
LINC00261,"bA216C10.1,HCCDR1,TCONS_00027846,ALIEN,DEANR1,onco-lncRNA-17,FALCOR,LCAL62",ENSG00000259974,ALIEN,HGNC
COPS2,"TRIP15,ALIEN,CSN2",ENSG00000166200,ALIEN,HGNC
ALK,"CD246,ALK1",ENSG00000171094,ALK1,HGNC
ACVRL1,"HHT2,ALK1,HHT",ENSG00000139567,ALK1,HGNC
SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,ALK1,HGNC
ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,ALP,HGNC
ATHS,ALP,,ALP,HGNC
ATRNL1,"KIAA0534,FLJ45344,ALP",ENSG00000107518,ALP,HGNC
PDLIM3,ALP,ENSG00000154553,ALP,HGNC
CCL27,"ALP,ILC,CTACK,skinkine,ESkine,PESKY,CTAK",ENSG00000213927,ALP,HGNC
SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,ALP,HGNC
ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,ALP1,HGNC
ASZ1,"Orf3,GASZ,ALP1,CT1.19",ENSG00000154438,ALP1,HGNC
GFER,"HSS,ERV1,ALR,HERV1,HPO1,HPO2",ENSG00000127554,ALR,HGNC
AKR1A1,"ALR,DD3",ENSG00000117448,ALR,HGNC
KMT2D,"ALR,MLL4,CAGL114",ENSG00000167548,ALR,HGNC
FPR2,"LXA4R,HM63,FPRH2,FMLPX,FPR2A,FMLP-R-II,ALXR,ALX",ENSG00000171049,ALX,HGNC
HSH2D,"ALX,HSH2,FLJ14886",ENSG00000196684,ALX,HGNC
ATF7IP,"FLJ10688,p621,ATF7IP1,MCAF1,MCAF,AM",ENSG00000171681,AM,HGNC
ADM,AM,ENSG00000148926,AM,HGNC
CCDC102B,"FLJ23594,HsT1731,AN",ENSG00000150636,AN,HGNC
PAX6,"D11S812E,AN,WAGR",ENSG00000007372,AN,HGNC
DIAPH3,"DRF3,FLJ34705,AN,NSDAN",ENSG00000139734,AN,HGNC
DANCR,"ANCR,AGU2,lncRNA-ANCR",ENSG00000226950,ANCR,HGNC
UBE3A,"AS,ANCR,E6-AP,FLJ26981",ENSG00000114062,ANCR,HGNC
TM7SF2,"ANG1,DHCR14A,NET47",ENSG00000149809,ANG1,HGNC
ANGPT1,"KIAA0003,Ang1,AGPT-1",ENSG00000154188,ANG1,HGNC
ANGPT2,Ang2,ENSG00000091879,ANG2,HGNC
VPS51,"ANG2,ANG3,FFR",ENSG00000149823,ANG2,HGNC
ANGPTL1,"ANG3,AngY,ARP1",ENSG00000116194,ANG3,HGNC
VPS51,"ANG2,ANG3,FFR",ENSG00000149823,ANG3,HGNC
AOX3P,AOH1,ENSG00000244301,AOH1,HGNC
AOX1,"AO,AOH1",ENSG00000138356,AOH1,HGNC
JUND,AP-1,ENSG00000130522,AP-1,HGNC
JUN,"c-Jun,AP-1",ENSG00000177606,AP-1,HGNC
FOS,"c-fos,AP-1",ENSG00000170345,AP-1,HGNC
FOSB,"G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZp686C0818",ENSG00000125740,AP-1,HGNC
FABP4,"A-FABP,aP2",ENSG00000170323,AP2,HGNC
GTF3A,"TFIIIA,AP2",ENSG00000122034,AP2,HGNC
ENPP4,"NPP4,KIAA0879,AP3Aase",ENSG00000001561,AP3AASE,HGNC
FHIT,"FRA3B,AP3Aase",ENSG00000189283,AP3AASE,HGNC
AP4S1,"CLA20,AP47B,SPG52",ENSG00000100478,AP47B,HGNC
AP3M2,"CLA20,AP47B",ENSG00000070718,AP47B,HGNC
SLC25A24,"DKFZp586G0123,APC1,SCAMC1,SCAMC-1",ENSG00000085491,APC1,HGNC
ANAPC1,"MCPR,TSG24,APC1",ENSG00000153107,APC1,HGNC
ANAPC2,"APC2,KIAA1406",ENSG00000176248,APC2,HGNC
SLC25A23,"FLJ30339,MGC2615,APC2",ENSG00000125648,APC2,HGNC
SLC25A41,"FLJ40442,MGC34725,APC4",ENSG00000181240,APC4,HGNC
ANAPC4,APC4,ENSG00000053900,APC4,HGNC
ANAPC7,APC7,ENSG00000196510,APC7,HGNC
SCARA3,"CSR1,CSR,MSLR1,APC7,MSRL1",ENSG00000168077,APC7,HGNC
APEX1,"APE,REF1,HAP1,APX,APEN,REF-1,APE-1",ENSG00000100823,APE,HGNC
CCDC88A,"FLJ10392,APE,GIV,HkRP1,GRDN",ENSG00000115355,APE,HGNC
ZDHHC16,APH2,ENSG00000171307,APH2,HGNC
NCSTN,"KIAA0253,APH2",ENSG00000162736,APH2,HGNC
TNFSF13,"APRIL,CD256",ENSG00000161955,APRIL,HGNC
ANP32B,"SSP29,PHAPI2,APRIL",ENSG00000136938,APRIL,HGNC
TOB2,"TOBL,TOB4,bK223H9,APRO5",ENSG00000183864,APRO5,HGNC
TOB1,"TOB,TROB,APRO5",ENSG00000141232,APRO5,HGNC
AKR1B1,AR,ENSG00000085662,AR,HGNC
AREG,"AR,CRDGF",ENSG00000109321,AR,HGNC
FDXR,"ADR,AR",ENSG00000161513,AR,HGNC
PPP1R8,"ard-1,NIPP-1,PRO2047,ARD1,NIPP1",ENSG00000117751,ARD1,HGNC
TRIM23,"ARD1,RNF46",ENSG00000113595,ARD1,HGNC
ABL2,ARG,ENSG00000143322,ARG,HGNC
RERE,"KIAA0458,ARP,ARG,DNB1,ATN2",ENSG00000142599,ARG,HGNC
ADPRHL1,ARH2,ENSG00000153531,ARH2,HGNC
LDLRAP1,"ARH,ARH2,FHCB1,FHCB2,MGC34705,DKFZp586D0624",ENSG00000157978,ARH2,HGNC
ACTRT1,"AIP1,KIAA0705,ARIP1,Arp-T1",ENSG00000123165,ARIP1,HGNC
MAGI2,"AIP1,ARIP1,KIAA0705,ACVRIP1,MAGI-2",ENSG00000187391,ARIP1,HGNC
RNF111,"ARK,Arkadia,FLJ38008,DKFZP761D081",ENSG00000157450,ARK,HGNC
AXL,"UFO,JTK11,Tyro7,ARK",ENSG00000167601,ARK,HGNC
RERE,"KIAA0458,ARP,ARG,DNB1,ATN2",ENSG00000142599,ARP,HGNC
MANF,ARP,ENSG00000145050,ARP,HGNC
CRISP1,"CRISP-1,ARP,HUMARP,HSCRISP1D,HSCRISP1G",ENSG00000124812,ARP,HGNC
ARFRP1,"ARP,Arp1,ARL18",ENSG00000101246,ARP,HGNC
ARFRP1,"ARP,Arp1,ARL18",ENSG00000101246,ARP1,HGNC
ACTR1A,"ARP1,Arp1A",ENSG00000138107,ARP1,HGNC
APOBEC2,"ARCD1,ARP1",ENSG00000124701,ARP1,HGNC
ANGPTL1,"ANG3,AngY,ARP1",ENSG00000116194,ARP1,HGNC
PITX2,"IGDS,RS,Brx1,Otlx2,ARP1",ENSG00000164093,ARP1,HGNC
ACTR10,"HARP11,ACTR11,Arp11,Arp10",ENSG00000131966,ARP10,HGNC
APOBEC3H,ARP10,ENSG00000100298,ARP10,HGNC
ACTR3C,ARP11,ENSG00000106526,ARP11,HGNC
ACTR10,"HARP11,ACTR11,Arp11,Arp10",ENSG00000131966,ARP11,HGNC
ACTR3B,"ARP11,ARP3beta",ENSG00000133627,ARP11,HGNC
ACTR2,ARP2,ENSG00000138071,ARP2,HGNC
AICDA,"HIGM2,CDA2,ARP2,AID",ENSG00000111732,ARP2,HGNC
ANGPTL2,"ARP2,HARP",ENSG00000136859,ARP2,HGNC
APOBEC3A,"ARP3,PHRBN",ENSG00000128383,ARP3,HGNC
ACTR3,ARP3,ENSG00000115091,ARP3,HGNC
ANGPTL4,"pp1158,PGAR,ARP4,HFARP,FIAF,NL2",ENSG00000167772,ARP4,HGNC
ACTL6A,"Actl6,BAF53A,Arp4,Baf53a,INO80K,SMARCN1",ENSG00000136518,ARP4,HGNC
ANGPTL6,"ARP5,AGF",ENSG00000130812,ARP5,HGNC
APOBEC3C,"APOBEC1L,PBI,bK150C2.3,ARDC2,ARDC4,ARP5",ENSG00000244509,ARP5,HGNC
ACTR5,"FLJ12785,Arp5,INO80M",ENSG00000101442,ARP5,HGNC
APOBEC3D,"ARP6,APOBEC3DE",ENSG00000243811,ARP6,HGNC
ACTR6,"ARP6,FLJ13433",ENSG00000075089,ARP6,HGNC
ACTR8,"INO80N,ARP8",ENSG00000113812,ARP8,HGNC
APOBEC3F,"ARP8,BK150C2.4.MRNA,KA6",ENSG00000128394,ARP8,HGNC
SLURP1,"ARS,ANUP,MDM,ArsB,LY6LS,LY6-MT",ENSG00000126233,ARS,HGNC
RIEG2,ARS,,ARS,HGNC
LINC00467,"MGC14801,ASAP",ENSG00000153363,ASAP,HGNC
MAP9,"ASAP,FLJ21159",ENSG00000164114,ASAP,HGNC
SLC7A10,asc-1,ENSG00000130876,ASC-1,HGNC
TRIP4,"HsT17391,ZC2HC5,ASC-1",ENSG00000103671,ASC-1,HGNC
NCOA6,"KIAA0181,RAP250,ASC2,AIB3,PRIP,TRBP,NRC",ENSG00000198646,ASC2,HGNC
PYDC1,"ASC2,POP1",ENSG00000169900,ASC2,HGNC
ARSF,ASF,ENSG00000062096,ASF,HGNC
SRSF1,"ASF,SF2,SRp30a,SF2p33,MGC5228",ENSG00000136450,ASF,HGNC
ASCL1,"ASH1,HASH1,bHLHa46",ENSG00000139352,ASH1,HGNC
ASH1L,"huASH1,ASH1,ASH1L1,KMT2H",ENSG00000116539,ASH1,HGNC
ASCL2,"ASH2,HASH2,bHLHa45",ENSG00000183734,ASH2,HGNC
ASH2L,"ASH2L2,ASH2,Bre2",ENSG00000129691,ASH2,HGNC
SMPD1,ASM,ENSG00000166311,ASM,HGNC
H19,"D11S813E,ASM,ASM1,NCRNA00008,LINC00008,MIR675HG",ENSG00000130600,ASM,HGNC
TMPRSS11D,"HAT,ASP",ENSG00000153802,ASP,HGNC
ROPN1L,"ASP,FLJ25776,RSPH11,RP11-1C1.7,TCONS_00009352",ENSG00000145491,ASP,HGNC
ATG5,"ASP,APG5,hAPG5",ENSG00000057663,ASP,HGNC
A1CF,"ACF,ASP,ACF64,ACF65,APOBEC1CF",ENSG00000148584,ASP,HGNC
ASPM,"Calmbp1,ASP,FLJ10517,FLJ10549",ENSG00000066279,ASP,HGNC
ASPA,"ASP,ACY2",ENSG00000108381,ASP,HGNC
ASIP,ASP,ENSG00000101440,ASP,HGNC
GOT1,"AST1,SGOT,AST",ENSG00000120053,AST,HGNC
SLC17A5,"AST,SD,ISSD,NSD,SIALIN,SLD",ENSG00000119899,AST,HGNC
SLC33A1,"AT-1,AT1",ENSG00000169359,AT1,HGNC
PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,AT1,HGNC
