,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
3636,VH,"['IGHV4-59', ' IGHV4-39', ' IGHV4-34', ' IGHV4-28', ' IGHV3-48', ' IGKV3-7', ' IGHV3-74', ' IGHV3-73', ' IGHV3-72', ' IGHV3-66', ' IGHV3-53', ' IGHV3-49', ' IGHV4-61', ' IGHV4-4', ' IGHV3-64', ' IGHV3-35', ' IGHV1-45', ' IGHV1-58', ' IGHV2-5', ' IGHV2-26', ' IGHV2-70', ' IGHV3-7', ' IGHV3-9', ' IGHV3-11', ' IGHV3-15', ' IGHV3-16', ' IGHV3-20', ' IGHV3-21', ' IGHV3-30', ' IGHV3-33', ' IGHM', ' IGHV3-38', ' IGHV3-43', ' IGHV1-24', ' IGHV6-1', ' IGHV5-51', ' SLC7A4']","ENSG00000224373, ENSG00000211959, ENSG00000211956, ENSG00000211952, ENSG00000211964, ENSG00000243063, ENSG00000224650, ENSG00000211976, ENSG00000225698, ENSG00000211972, ENSG00000211967, ENSG00000211965, ENSG00000211970, ENSG00000276775, ENSG00000223648, ENSG00000211957, ENSG00000211961, ENSG00000211968, ENSG00000211937, ENSG00000211951, ENSG00000274576, ENSG00000211938, nan, ENSG00000211941, ENSG00000211943, ENSG00000211944, ENSG00000211946, ENSG00000211947, ENSG00000270550, ENSG00000211955, ENSG00000211899, ENSG00000211958, ENSG00000232216, ENSG00000211950, ENSG00000211933, ENSG00000211966, ENSG00000099960",NCBI,37
1409,H4-16,"['H4C4', ' H4C8', ' H4C16', ' H4C3', ' H4C11', ' H4C5', ' H4C2', ' H4C13', ' H4C6', ' H4C15', ' H4C14', ' H4C1', ' H4C9', ' H4C12']","ENSG00000277157, ENSG00000158406, ENSG00000197837, ENSG00000197061, ENSG00000197238, ENSG00000276966, ENSG00000278705, ENSG00000275126, ENSG00000274618, ENSG00000270276, ENSG00000270882, ENSG00000278637, ENSG00000276180, ENSG00000273542",NCBI,14
1412,H4C12,"['H4C3', ' H4C16', ' H4C14', ' H4C13', ' H4C2', ' H4C9', ' H4C4', ' H4C15', ' H4C11', ' H4C6', ' H4C8', ' H4C5', ' H4C1']","ENSG00000197061, ENSG00000197837, ENSG00000270882, ENSG00000275126, ENSG00000278705, ENSG00000276180, ENSG00000277157, ENSG00000270276, ENSG00000197238, ENSG00000274618, ENSG00000158406, ENSG00000276966, ENSG00000278637",NCBI,13
1413,H4C13,"['H4C1', ' H4C15', ' H4C16', ' H4C9', ' H4C8', ' H4C4', ' H4C5', ' H4C3', ' H4C2', ' H4C11', ' H4C6', ' H4C12', ' H4C14']","ENSG00000278637, ENSG00000270276, ENSG00000197837, ENSG00000276180, ENSG00000158406, ENSG00000277157, ENSG00000276966, ENSG00000197061, ENSG00000278705, ENSG00000197238, ENSG00000274618, ENSG00000273542, ENSG00000270882",NCBI,13
1423,H4C9,"['H4C11', ' H4C6', ' H4C15', ' H4C16', ' H4C1', ' H4C5', ' H4C12', ' H4C13', ' H4C14', ' H4C3', ' H4C8', ' H4C2', ' H4C4']","ENSG00000197238, ENSG00000274618, ENSG00000270276, ENSG00000197837, ENSG00000278637, ENSG00000276966, ENSG00000273542, ENSG00000275126, ENSG00000270882, ENSG00000197061, ENSG00000158406, ENSG00000278705, ENSG00000277157",NCBI,13
1421,H4C6,"['H4C8', ' H4C14', ' H4C5', ' H4C9', ' H4C15', ' H4C3', ' H4C16', ' H4C2', ' H4C11', ' H4C4', ' H4C13', ' H4C12', ' H4C1']","ENSG00000158406, ENSG00000270882, ENSG00000276966, ENSG00000276180, ENSG00000270276, ENSG00000197061, ENSG00000197837, ENSG00000278705, ENSG00000197238, ENSG00000277157, ENSG00000275126, ENSG00000273542, ENSG00000278637",NCBI,13
1410,H4C1,"['H4C5', ' H4C8', ' H4C12', ' H4C6', ' H4C9', ' H4C4', ' H4C13', ' H4C14', ' H4C11', ' H4C16', ' H4C2', ' H4C15', ' H4C3']","ENSG00000276966, ENSG00000158406, ENSG00000273542, ENSG00000274618, ENSG00000276180, ENSG00000277157, ENSG00000275126, ENSG00000270882, ENSG00000197238, ENSG00000197837, ENSG00000278705, ENSG00000270276, ENSG00000197061",NCBI,13
1411,H4C11,"['H4C9', ' H4C1', ' H4C12', ' H4C3', ' H4C2', ' H4C5', ' H4C16', ' H4C8', ' H4C15', ' H4C14', ' H4C4', ' H4C6', ' H4C13']","ENSG00000276180, ENSG00000278637, ENSG00000273542, ENSG00000197061, ENSG00000278705, ENSG00000276966, ENSG00000197837, ENSG00000158406, ENSG00000270276, ENSG00000270882, ENSG00000277157, ENSG00000274618, ENSG00000275126",NCBI,13
1422,H4C8,"['H4C11', ' H4C15', ' H4C3', ' H4C6', ' H4C2', ' H4C1', ' H4C4', ' H4C5', ' H4C13', ' H4C16', ' H4C12', ' H4C14', ' H4C9']","ENSG00000197238, ENSG00000270276, ENSG00000197061, ENSG00000274618, ENSG00000278705, ENSG00000278637, ENSG00000277157, ENSG00000276966, ENSG00000275126, ENSG00000197837, ENSG00000273542, ENSG00000270882, ENSG00000276180",NCBI,13
1420,H4C5,"['H4C8', ' H4C12', ' H4C3', ' H4C9', ' H4C16', ' H4C11', ' H4C15', ' H4C14', ' H4C13', ' H4C2', ' H4C6', ' H4C1', ' H4C4']","ENSG00000158406, ENSG00000273542, ENSG00000197061, ENSG00000276180, ENSG00000197837, ENSG00000197238, ENSG00000270276, ENSG00000270882, ENSG00000275126, ENSG00000278705, ENSG00000274618, ENSG00000278637, ENSG00000277157",NCBI,13
1414,H4C14,"['H4C8', ' H4C13', ' H4C1', ' H4C16', ' H4C3', ' H4C4', ' H4C6', ' H4C11', ' H4C5', ' H4C2', ' H4C15', ' H4C12', ' H4C9']","ENSG00000158406, ENSG00000275126, ENSG00000278637, ENSG00000197837, ENSG00000197061, ENSG00000277157, ENSG00000274618, ENSG00000197238, ENSG00000276966, ENSG00000278705, ENSG00000270276, ENSG00000273542, ENSG00000276180",NCBI,13
1415,H4C15,"['H4C3', ' H4C6', ' H4C14', ' H4C8', ' H4C2', ' H4C12', ' H4C16', ' H4C4', ' H4C13', ' H4C1', ' H4C5', ' H4C11', ' H4C9']","ENSG00000197061, ENSG00000274618, ENSG00000270882, ENSG00000158406, ENSG00000278705, ENSG00000273542, ENSG00000197837, ENSG00000277157, ENSG00000275126, ENSG00000278637, ENSG00000276966, ENSG00000197238, ENSG00000276180",NCBI,13
1416,H4C16,"['H4C3', ' H4C1', ' H4C4', ' H4C2', ' H4C9', ' H4C11', ' H4C15', ' H4C14', ' H4C12', ' H4C5', ' H4C8', ' H4C6', ' H4C13']","ENSG00000197061, ENSG00000278637, ENSG00000277157, ENSG00000278705, ENSG00000276180, ENSG00000197238, ENSG00000270276, ENSG00000270882, ENSG00000273542, ENSG00000276966, ENSG00000158406, ENSG00000274618, ENSG00000275126",NCBI,13
1417,H4C2,"['H4C6', ' H4C11', ' H4C1', ' H4C5', ' H4C15', ' H4C16', ' H4C13', ' H4C4', ' H4C12', ' H4C14', ' H4C3', ' H4C9', ' H4C8']","ENSG00000274618, ENSG00000197238, ENSG00000278637, ENSG00000276966, ENSG00000270276, ENSG00000197837, ENSG00000275126, ENSG00000277157, ENSG00000273542, ENSG00000270882, ENSG00000197061, ENSG00000276180, ENSG00000158406",NCBI,13
1418,H4C3,"['H4C9', ' H4C1', ' H4C6', ' H4C12', ' H4C11', ' H4C16', ' H4C8', ' H4C2', ' H4C5', ' H4C4', ' H4C13', ' H4C15', ' H4C14']","ENSG00000276180, ENSG00000278637, ENSG00000274618, ENSG00000273542, ENSG00000197238, ENSG00000197837, ENSG00000158406, ENSG00000278705, ENSG00000276966, ENSG00000277157, ENSG00000275126, ENSG00000270276, ENSG00000270882",NCBI,13
1419,H4C4,"['H4C6', ' H4C11', ' H4C16', ' H4C14', ' H4C3', ' H4C13', ' H4C8', ' H4C12', ' H4C2', ' H4C15', ' H4C1', ' H4C5', ' H4C9']","ENSG00000274618, ENSG00000197238, ENSG00000197837, ENSG00000270882, ENSG00000197061, ENSG00000275126, ENSG00000158406, ENSG00000273542, ENSG00000278705, ENSG00000270276, ENSG00000278637, ENSG00000276966, ENSG00000276180",NCBI,13
2178,MT1,"['MT1B', ' MT1A', ' MT1L', ' MT1G', ' MT1JP', ' MT1F', ' MT1E', ' MT1IP', ' MT1H', ' MT1M', ' MTNR1A', ' MT1X']","ENSG00000169688, ENSG00000205362, ENSG00000291105, ENSG00000125144, ENSG00000290662, ENSG00000198417, ENSG00000169715, nan, ENSG00000205358, ENSG00000205364, ENSG00000168412, ENSG00000187193",NCBI,12
2498,P40,"['LANCL1', ' PSMD7', ' MAPK1', ' RPSA', ' IL9', ' H3P28', ' ARHGEF2', ' BRMS1L', ' RABEPK', ' ARMH1', ' EBNA1BP2', ' TP63']","ENSG00000115365, ENSG00000103035, ENSG00000100030, ENSG00000168028, ENSG00000145839, nan, ENSG00000116584, ENSG00000100916, ENSG00000136933, ENSG00000198520, ENSG00000117395, ENSG00000073282",NCBI,12
933,MT1,"['MT1A', ' MT1M', ' MT1B', ' MT1H', ' MT1G', ' MT1X', ' MT1JP', ' MT1F', ' MT1IP', ' MT1L', ' MT1E']","ENSG00000205362, ENSG00000205364, ENSG00000169688, ENSG00000205358, ENSG00000125144, ENSG00000187193, ENSG00000255986, ENSG00000198417, ENSG00000275691, ENSG00000260549, ENSG00000169715",ENSG,11
