,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID,intersect_point,source
15466,ENSG00000198824,CHAMP1,CAMP,20311,283489,CAMP,ENSG
15522,ENSG00000215483,LINC00598,TTL,42770,400123,TTL,ENSG
15612,ENSG00000283018,MRPS12,RPS12,10380,6183,RPS12,ENSG
15909,ENSG00000147586,MRPS28,MRPS35,14513,28957,MRPS35,ENSG
16004,ENSG00000182712,CMC4,MTCP1,35428,100272147,MTCP1,ENSG
16048,ENSG00000134762,DSC3,DSC1,3037,1825,DSC1,ENSG
16049,ENSG00000134762,DSC3,DSC2,3037,1825,DSC2,ENSG
16060,ENSG00000179277,MEIS3P1,MEIS3,7002,0,MEIS3,ENSG
17505,ENSG00000153339,TRAPPC8,GSG1,29169,22878,GSG1,ENSG
17538,ENSG00000156958,GALK2,GK2,4119,2585,GK2,ENSG
17800,ENSG00000074842,MYDGF,IL25,16948,56005,IL25,ENSG
17801,ENSG00000074842,MYDGF,IL27,16948,56005,IL27,ENSG
17837,ENSG00000139174,PRICKLE1,RILP,17019,144165,RILP,ENSG
18345,ENSG00000253299,UFM1P3,UFM1P1,55148,0,UFM1P1,ENSG
18421,ENSG00000166426,CRABP1,RBP5,2338,1381,RBP5,ENSG
18443,ENSG00000282712,DEAF1,SPN,14677,10522,SPN,ENSG
18527,ENSG00000285032,MTMR9,MTMR8,14596,66036,MTMR8,ENSG
18549,ENSG00000183960,KCNH8,ELK3,18864,131096,ELK3,ENSG
18574,ENSG00000206596,RNU1-27P,RNU1-7P,37497,124904613,RNU1-7P,ENSG
18605,ENSG00000206588,RNU1-28P,RNU1-8P,37498,124904613,RNU1-8P,ENSG
18679,ENSG00000114353,GNAI2,GIP,4385,2771,GIP,ENSG
18901,ENSG00000101412,E2F1,RBP3,3113,1869,RBP3,ENSG
19094,ENSG00000288673,DLC1,HP,2897,10395,HP,ENSG
19130,ENSG00000242372,EIF6,EIF3A,6159,3692,EIF3A,ENSG
19151,ENSG00000285136,DEFA6,DEF6,2765,1671,DEF6,ENSG
19161,ENSG00000103089,FA2H,FAAH,21197,79152,FAAH,ENSG
19318,ENSG00000100003,SEC14L2,TAP1,10699,23541,TAP1,ENSG
19351,ENSG00000199226,RNU6-50P,U6,10229,124900488,U6,ENSG
19767,ENSG00000285023,CHORDC1,CHP1,14525,26973,CHP1,ENSG
19872,ENSG00000102265,TIMP1,EPO,11820,7076,EPO,ENSG
19911,ENSG00000100012,SEC14L3,TAP2,18655,266629,TAP2,ENSG
20071,ENSG00000134758,RNF138,NARF,17765,51444,NARF,ENSG
20220,ENSG00000111371,SLC38A1,NAT2,13447,81539,NAT2,ENSG
20221,ENSG00000111371,SLC38A1,SAT1,13447,81539,SAT1,ENSG
20460,ENSG00000172939,OXSR1,OSR1,8508,9943,OSR1,ENSG
20523,ENSG00000171867,PRNP,GSS,9449,5621,GSS,ENSG
20781,ENSG00000112276,BVES,POP1,1152,11149,POP1,ENSG
21109,ENSG00000134294,SLC38A2,SAT2,13448,54407,SAT2,ENSG
21317,ENSG00000105141,CASP14,MICE,1502,23581,MICE,ENSG
21617,ENSG00000276238,NANOGP7,NANOGP3,23105,0,NANOGP3,ENSG
21952,ENSG00000100075,SLC25A1,CIC,10979,6576,CIC,ENSG
21958,ENSG00000160213,CSTB,CST6,2482,1476,CST6,ENSG
22060,ENSG00000103942,HOMER2,CPD,17513,9455,CPD,ENSG
22110,ENSG00000172172,MRPL13,RPL13,14278,28998,RPL13,ENSG
22149,ENSG00000163618,CADPS,CAPS,1426,8618,CAPS,ENSG
22294,ENSG00000161395,PGAP3,PER1,23719,93210,PER1,ENSG
22543,ENSG00000102743,SLC25A15,ORC1,10985,10166,ORC1,ENSG
22582,ENSG00000214078,CPNE1,CPN1,2314,8904,CPN1,ENSG
22681,ENSG00000102794,ACOD1,CAD,33904,730249,CAD,ENSG
22734,ENSG00000276234,TADA2A,ADA2,11531,6871,ADA2,ENSG
22750,ENSG00000069667,RORA,ROR1,10258,6095,ROR1,ENSG
22751,ENSG00000069667,RORA,ROR2,10258,6095,ROR2,ENSG
23100,ENSG00000175215,CTDSP2,SCP2,17077,10106,SCP2,ENSG
