,num_gene_records,num_alias_symbol,percent_alias_symbol
0,2,574,1.3114005026273703
1,3,70,0.15992689056431345
2,4,22,0.05026273703449851
3,5,3,0.006854009595613433
4,6,3,0.006854009595613433
5,8,1,0.002284669865204478
