,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
8219,10507,SEMA4D,A8|BB18|C9orf164|CD100|COLL4|GR3|M-sema-G|SEMAJ|coll-4,10732,ENSG00000187764,A8,NCBI
294,351,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4,620,ENSG00000142192,AAA,NCBI
6309,8086,AAAS,AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003,13666,ENSG00000094914,AAA,NCBI
33443,100329167,AAA1,AAA,,,AAA,NCBI
5151,6510,SLC1A5,AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC,10943,ENSG00000105281,AAAT,NCBI
5153,6512,SLC1A7,AAAT|EAAT5,10945,ENSG00000162383,AAAT,NCBI
244,291,SLC25A4,AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1,10990,ENSG00000151729,AAC1,NCBI
3,9,NAT1,AAC1|MNAT|NAT-1|NATI,7645,ENSG00000171428,AAC1,NCBI
4,10,NAT2,AAC2|NAT-2|PNAT,7646,ENSG00000156006,AAC2,NCBI
245,292,SLC25A5,2F1|AAC2|ANT2|T2|T3,10991,ENSG00000005022,AAC2,NCBI
16430,89876,CFAP91,AAT1|AAT1alpha|C3orf15|CaM-IP2|MAATS1|SPATA26|SPGF51,24010,ENSG00000183833,AAT1,NCBI
2323,2875,GPT,AAT1|ALT|ALT1|GPT1|SGPT,4552,ENSG00000167701,AAT1,NCBI
20888,284565,NBPF15,AB14|AG3|NBPF16,28791,ENSG00000266338,AB14,NCBI
12906,55672,NBPF1,AB13|AB14|AB23|AD2|NBG|NBPF,26088,ENSG00000219481,AB14,NCBI
13,19,ABCA1,ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD,29,ENSG00000165029,ABC1,NCBI
14004,63897,HEATR6,ABC1,24076,ENSG00000068097,ABC1,NCBI
12276,54784,ALKBH4,ABH4,21900,ENSG00000160993,ABH4,NCBI
13995,63874,ABHD4,ABH4,20154,ENSG00000100439,ABH4,NCBI
3567,4547,MTTP,ABL|MTP,7467,ENSG00000138823,ABL,NCBI
19,25,ABL1,ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl,76,ENSG00000097007,ABL,NCBI
39838,101928076,DSP-AS1,ABL,56039,ENSG00000261189,ABL,NCBI
20,26,AOC1,ABP|ABP1|DAO|DAO1|KAO|KDAO,80,ENSG00000002726,ABP,NCBI
5111,6462,SHBG,ABP|SBP|TEBG,10839,ENSG00000129214,ABP,NCBI
1862,2316,FLNA,ABP-280|ABPX|CSBS|CVD1|FGS2|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD,3754,ENSG00000196924,ABP-280,NCBI
1864,2318,FLNC,ABP-280|ABP280A|ABPA|ABPL|ARVC15|CMH26|FLN2|MFM5|MPD4|RCM5,3756,ENSG00000128591,ABP-280,NCBI
1863,2317,FLNB,ABP-278|ABP-280|AOI|FH1|FLN-B|FLN1L|LRS1|SCT|TABP|TAP,3755,ENSG00000136068,ABP-280,NCBI
20,26,AOC1,ABP|ABP1|DAO|DAO1|KAO|KDAO,80,ENSG00000002726,ABP1,NCBI
11079,28988,DBNL,ABP1|HIP-55|HIP55|SH3P7,2696,ENSG00000136279,ABP1,NCBI
27307,677885,SNORA59A,ACA59,32653,ENSG00000239149,ACA59,NCBI
27305,677882,SNORA59B,ACA59,32658,,ACA59,NCBI
880,1066,CES1,ACAT|CE-1|CEH|CES2|HMSE|HMSE1|PCE-1|REH|SES1|TGH|hCE-1,1863,ENSG00000198848,ACAT,NCBI
5274,6646,SOAT1,ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT,11177,ENSG00000057252,ACAT,NCBI
32,38,ACAT1,ACAT|MAT|T2|THIL,93,ENSG00000075239,ACAT,NCBI
1108,1370,CPN2,ACBP,2313,ENSG00000178772,ACBP,NCBI
1317,1622,DBI,ACBD1|ACBP|CCK-RP|EP,2690,ENSG00000155368,ACBP,NCBI
7602,9790,BMS1,ACC|BMS1L,23505,ENSG00000165733,ACC,NCBI
25,31,ACACA,ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1,84,ENSG00000278540,ACC,NCBI
486,597,BCL2A1,ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1,991,ENSG00000140379,ACC1,NCBI
25,31,ACACA,ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1,84,ENSG00000278540,ACC1,NCBI
486,597,BCL2A1,ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1,991,ENSG00000140379,ACC2,NCBI
26,32,ACACB,ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275,85,ENSG00000076555,ACC2,NCBI
2279,2827,GPR3,ACCA,4484,ENSG00000181773,ACCA,NCBI
25,31,ACACA,ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1,84,ENSG00000278540,ACCA,NCBI
936,1134,CHRNA1,ACHRA|ACHRD|CHRNA|CMS1A|CMS1B|CMS2A|FCCMS|SCCMS,1955,ENSG00000138435,ACHRD,NCBI
946,1144,CHRND,ACHRD|CMS2A|CMS3A|CMS3B|CMS3C|FCCMS|SCCMS,1965,ENSG00000135902,ACHRD,NCBI
22386,374654,KIF7,ACLS|AGBK|HLS2|JBTS12|MMEDF|UNQ340,30497,ENSG00000166813,ACLS,NCBI
2201,2737,GLI3,ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV,4319,ENSG00000106571,ACLS,NCBI
9038,22985,ACIN1,ACINUS|ACN|fSAP152,17066,ENSG00000100813,ACN,NCBI
3748,4771,NF2,ACN|BANF|SCH|SWNV|merlin-1,7773,ENSG00000186575,ACN,NCBI
13961,60502,CPAT1,ACP,,,ACP,NCBI
3701,4706,NDUFAB1,ACP|ACP1|FASN2A|SDAP,7694,ENSG00000004779,ACP,NCBI
7398,9552,SPAG7,ACRP|FSA-1,11216,ENSG00000091640,ACRP,NCBI
6767,8727,CTNNAL1,ACRP|CLLP|alpha-CATU,2512,ENSG00000119326,ACRP,NCBI
9569,23659,PLA2G15,ACS|GXVPLA2|LLPL|LPLA2|LYPLA3,17163,ENSG00000103066,ACS,NCBI
16068,84680,ACCS,ACS|PHACS,23989,ENSG00000110455,ACS,NCBI
13084,55902,ACSS2,ACAS2|ACECS|ACS|ACSA|AceCS1|dJ1161H23.1,15814,ENSG00000131069,ACS,NCBI
9294,23305,ACSL6,ACS2|FACL6|LACS 6|LACS2|LACS5,16496,ENSG00000164398,ACS2,NCBI
11891,51703,ACSL5,ACS2|ACS5|DIAR13|FACL5,16526,ENSG00000197142,ACS2,NCBI
5836,7291,TWIST1,ACS3|BPES2|BPES3|CRS|CRS1|CSO|SCS|SWCOS|TWIST|bHLHa38,12428,ENSG00000122691,ACS3,NCBI
