,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
11867,51657,STYXL1,DUSP24|MK-STYX|MKSTYX,18165,ENSG00000127952,DUSP24,NCBI
14421,78986,DUSP26,DSP-4|DUSP24|LDP-4|LDP4|MKP-8|MKP8|NATA1|NEAP|SKRP3,28161,ENSG00000133878,DUSP24,NCBI
21502,338599,DUSP29,DUPD1|DUSP27|FMDSP,23481,ENSG00000188716,DUSP27,NCBI
16698,92235,STYXL2,DUSP27,25034,ENSG00000198842,DUSP27,NCBI
54460,107987486,LOC107987486,DUX10|DUX4,,,DUX10,NCBI
70792,124906455,LOC124906455,DUX10,,,DUX10,NCBI
9016,22947,DUX4L1,DUX10|DUX4,3082,ENSG00000280757,DUX10,NCBI
24582,440013,DUX4L10,DUX10,31354,ENSG00000278664,DUX10,NCBI
54459,107987485,LOC107987485,DUX10|DUX4,,,DUX10,NCBI
54458,107987484,LOC107987484,DUX10|DUX4,,,DUX10,NCBI
54461,107987487,LOC107987487,DUX10|DUX4,,,DUX10,NCBI
54458,107987484,LOC107987484,DUX10|DUX4,,,DUX4,NCBI
70798,124906461,LOC124906461,DUX4,,,DUX4,NCBI
54460,107987486,LOC107987486,DUX10|DUX4,,,DUX4,NCBI
54461,107987487,LOC107987487,DUX10|DUX4,,,DUX4,NCBI
9016,22947,DUX4L1,DUX10|DUX4,3082,ENSG00000280757,DUX4,NCBI
27738,728410,DUX4L2,DUX4,37267,ENSG00000280457,DUX4,NCBI
54459,107987485,LOC107987485,DUX10|DUX4,,,DUX4,NCBI
1495,1855,DVL1,DRS2|DVL|DVL1L1|DVL1P1,3084,ENSG00000107404,DVL,NCBI
6374,8215,DVL1P1,DSH|DVL|DVL-22|DVL1|DVL1L1|DVL4,3085,,DVL,NCBI
6374,8215,DVL1P1,DSH|DVL|DVL-22|DVL1|DVL1L1|DVL4,3085,,DVL1L1,NCBI
1495,1855,DVL1,DRS2|DVL|DVL1L1|DVL1P1,3084,ENSG00000107404,DVL1L1,NCBI
4846,6134,RPL10,AUTSX5|DXS648|DXS648E|L10|MRXS35|NOV|QM|uL16,10298,ENSG00000147403,DXS648E,NCBI
10150,26778,SNORA70,DXS648E|RNU70|U70,10231,ENSG00000207165,DXS648E,NCBI
5630,7054,TH,DYT14|DYT5b|TYH,11782,ENSG00000180176,DYT14,NCBI
2127,2643,GCH1,DYT14|DYT5|DYT5a|GCH|GTP-CH-1|GTPCH1|HPABH4B,4193,ENSG00000131979,DYT14,NCBI
14050,63982,ANO3,C11orf25|DYT23|DYT24|GENX-3947|TMEM16C,14004,ENSG00000134343,DYT23,NCBI
630,774,CACNA1B,BIII|CACNL1A5|CACNN|Cav2.2|DYT23|NEDNEH,1389,ENSG00000148408,DYT23,NCBI
4806,6080,SNORA73A,E1|E1-7|E1b|RNE1|RNU17A|U17A,10115,ENSG00000274266,E1,NCBI
481,590,BCHE,BCHED|CHE1|CHE2|E1,983,ENSG00000114200,E1,NCBI
13850,58478,ENOPH1,E1|MASA|MST145|mtnC,24599,ENSG00000145293,E1,NCBI
1394,1737,DLAT,DLTA|E2|PBC|PDC-E2|PDCE2,2896,ENSG00000150768,E2,NCBI
48632,106478911,CST12P,Cst|Ctes4|E2,31920,ENSG00000226344,E2,NCBI
10137,26765,SNORD12C,E2|E2-1|E3|RNU106|SNORD106|U106,10105,ENSG00000209042,E2,NCBI
4777,6044,SNORA62,E2|E2-1|RNE2|RNU108,10107,ENSG00000202363,E2,NCBI
1322,1629,DBT,BCATE2|BCKAD-E2|BCKADE2|BCKDH-E2|BCOADC-E2|E2|E2B,2698,ENSG00000137992,E2,NCBI
10137,26765,SNORD12C,E2|E2-1|E3|RNU106|SNORD106|U106,10105,ENSG00000209042,E2-1,NCBI
4777,6044,SNORA62,E2|E2-1|RNE2|RNU108,10107,ENSG00000202363,E2-1,NCBI
4776,6043,SNORA63,E3|E3-2|RNE3|RNU107|SNORA63A|elF-4AII,10106,ENSG00000200320,E3,NCBI
189,223,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH,412,ENSG00000143149,E3,NCBI
1395,1738,DLD,DLDD|DLDH|E3|GCSL|LAD|OGDC-E3|PHE3,2898,ENSG00000091140,E3,NCBI
10137,26765,SNORD12C,E2|E2-1|E3|RNU106|SNORD106|U106,10105,ENSG00000209042,E3,NCBI
7234,9354,UBE4A,E4|NEDHMS|UBOX2|UFD2,12499,ENSG00000110344,E4,NCBI
8026,10277,UBE4B,E4|HDNB1|UBOX3|UFD2|UFD2A,12500,ENSG00000130939,E4,NCBI
6435,8327,GABPAP,E4TF1|E4TF1B|GABPB1,4072,,E4TF1,NCBI
2055,2553,GABPB1,BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4TF1B|GABPB|GABPB-1|GABPB2|NRF2B1|NRF2B2,4074,ENSG00000104064,E4TF1,NCBI
6435,8327,GABPAP,E4TF1|E4TF1B|GABPB1,4072,,E4TF1B,NCBI
2055,2553,GABPB1,BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4TF1B|GABPB|GABPB-1|GABPB2|NRF2B1|NRF2B2,4074,ENSG00000104064,E4TF1B,NCBI
3017,3736,KCNA1,AEMK|EA1|HBK1|HUK1|KV1.1|MBK1|MK1|RBK1,6218,ENSG00000111262,EA1,NCBI
797,969,CD69,AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3,1694,ENSG00000110848,EA1,NCBI
14118,64207,IRF2BPL,C14orf4|EAP1|NEDAMSS,14282,ENSG00000119669,EAP1,NCBI
7144,9232,PTTG1,EAP1|ECRAR|HPTTG|PTTG|TUTR1,9690,ENSG00000164611,EAP1,NCBI
9061,23016,EXOSC7,EAP1|RRP42|Rrp42p|hRrp42p|p8,28112,ENSG00000075914,EAP1,NCBI
1312,1616,DAXX,BING2|DAP6|EAP1|SMIM40,2681,ENSG00000204209,EAP1,NCBI
11818,51567,TDP2,AD022|EAP2|EAPII|TTRAP|dJ30M3.3|hTDP2,17768,ENSG00000111802,EAP2,NCBI
8885,11340,EXOSC8,CIP3|EAP2|OIP2|PCH1C|RRP43|Rrp43p|bA421P11.3|p9,17035,ENSG00000120699,EAP2,NCBI
8608,10982,MAPRE2,CSCSC2|EB1|EB2|RP1,6891,ENSG00000166974,EB1,NCBI
8995,22919,MAPRE1,EB1,6890,ENSG00000101367,EB1,NCBI
7096,9167,COX7A2L,COX7AR|COX7RP|EB1|SCAF1|SCAFI|SIG81,2289,ENSG00000115944,EB1,NCBI
13307,56899,ANKS1B,AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2,24600,ENSG00000185046,EB1,NCBI
3063,3785,KCNQ2,BFNC|DEE7|EBN|EBN1|ENB1|HNSPC|KCNA11|KV7.2,6296,ENSG00000075043,EBN,NCBI
939,1137,CHRNA4,BFNC|EBN|EBN1|NACHR|NACHRA4|NACRA4,1958,ENSG00000101204,EBN,NCBI
3063,3785,KCNQ2,BFNC|DEE7|EBN|EBN1|ENB1|HNSPC|KCNA11|KV7.2,6296,ENSG00000075043,EBN1,NCBI
939,1137,CHRNA4,BFNC|EBN|EBN1|NACHR|NACHRA4|NACRA4,1958,ENSG00000101204,EBN1,NCBI
2188,2720,GLB1,EBP|ELNR1|MPS4B,4298,ENSG00000170266,EBP,NCBI
18897,152503,SH3D19,EBP|EVE1|Eve-1|Kryn|SH3P19,30418,ENSG00000109686,EBP,NCBI
4210,5339,PLEC,EBS1|EBS5A|EBS5B|EBS5C|EBS5D|EBSMD|EBSND|EBSO|EBSOG|EBSPA|HD1|LGMD2Q|LGMDR17|PCN|PLEC1|PLEC1b|PLTN,9069,ENSG00000178209,EBS1,NCBI
3128,3861,KRT14,CK14|EBS1|EBS1A|EBS1B|EBS1C|EBS1D|EBS3|EBS4|K14|NFJ,6416,ENSG00000186847,EBS1,NCBI
3119,3852,KRT5,CK5|DDD|DDD1|EBS1|EBS2|EBS2A|EBS2B|EBS2C|EBS2D|EBS2E|EBS2F|K5|KRT5A,6442,ENSG00000186081,EBS1,NCBI
547,667,DST,BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBS3|EBSB2|HSAN6|MACF2,1090,ENSG00000151914,EBS3,NCBI
3128,3861,KRT14,CK14|EBS1|EBS1A|EBS1B|EBS1C|EBS1D|EBS3|EBS4|K14|NFJ,6416,ENSG00000186847,EBS3,NCBI
3128,3861,KRT14,CK14|EBS1|EBS1A|EBS1B|EBS1C|EBS1D|EBS3|EBS4|K14|NFJ,6416,ENSG00000186847,EBS4,NCBI
9116,23086,EXPH5,EBS4|SLAC2-B|SLAC2B,30578,ENSG00000110723,EBS4,NCBI
971,1181,CLCN2,CIC-2|CLC2|ECA2|ECA3|EGI11|EGI3|EGMA|EJM6|EJM8|FHA2|FHII|HALD2|LKPAT|clC-2,2020,ENSG00000114859,ECA2,NCBI
2068,2566,GABRG2,CAE2|DEE74|ECA2|EIEE74|FEB8|GEFSP3,4087,ENSG00000113327,ECA2,NCBI
1798,2246,FGF1,AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1,3665,ENSG00000113578,ECGF,NCBI
1518,1890,TYMP,ECGF|ECGF1|MEDPS1|MNGIE|MTDPS1|PDECGF|TP|hPD-ECGF,3148,ENSG00000025708,ECGF,NCBI
7782,9997,SCO2,CEMCOX1|ECGF1|Gliostatin|MC4DN2|MYP6|PD-ECGF|SCO1L|TP|TYMP|TdRPase,10604,ENSG00000284194,ECGF1,NCBI
1524,1901,S1PR1,CD363|CHEDG1|D1S3362|ECGF1|EDG-1|EDG1|S1P1,3165,ENSG00000170989,ECGF1,NCBI
1518,1890,TYMP,ECGF|ECGF1|MEDPS1|MNGIE|MTDPS1|PDECGF|TP|hPD-ECGF,3148,ENSG00000025708,ECGF1,NCBI
5750,7184,HSP90B1,ECGP|GP96|GRP94|HEL-S-125m|HEL35|TRA1,12028,ENSG00000166598,ECGP,NCBI
12532,55094,GPATCH1,ECGP|GPATC1,24658,ENSG00000076650,ECGP,NCBI
1572,1969,EPHA2,ARCC2|CTPA|CTPP1|CTRCT6|ECK,3386,ENSG00000142627,ECK,NCBI
8052,10306,CTPP,ARCC2|CPP|CTPA|CTPP1|ECK,,,ECK,NCBI
2469,3039,HBA1,ECYT7|HBA-T3|HBH|METHBA,4823,ENSG00000206172,ECYT7,NCBI
2470,3040,HBA2,ECYT7|HBA-T2|HBH,4824,ENSG00000188536,ECYT7,NCBI
17752,128178,EDARADD,CR|ECTD11A|ECTD11B|ED3|EDA3,14341,ENSG00000186197,ED3,NCBI
8549,10913,EDAR,DL|ECTD10A|ECTD10B|ED1R|ED3|ED5|EDA-A1R|EDA1R|EDA3|HRM1,2895,ENSG00000135960,ED3,NCBI
17752,128178,EDARADD,CR|ECTD11A|ECTD11B|ED3|EDA3,14341,ENSG00000186197,EDA3,NCBI
8549,10913,EDAR,DL|ECTD10A|ECTD10B|ED1R|ED3|ED5|EDA-A1R|EDA1R|EDA3|HRM1,2895,ENSG00000135960,EDA3,NCBI
2882,3567,IL5,EDF|IL-5|TRF,6016,ENSG00000113525,EDF,NCBI
2928,3624,INHBA,EDF|FRP,6066,ENSG00000122641,EDF,NCBI
1524,1901,S1PR1,CD363|CHEDG1|D1S3362|ECGF1|EDG-1|EDG1|S1P1,3165,ENSG00000170989,EDG1,NCBI
8310,10614,HEXIM1,CLP1|EDG1|HIS1|MAQ1,24953,ENSG00000186834,EDG1,NCBI
1525,1902,LPAR1,EDG2|Gpcr26|LPA1|Mrec1.3|VZG1|edg-2|rec.1.3|vzg-1,3166,ENSG00000198121,EDG2,NCBI
6908,8896,BUD31,Cwc14|EDG-2|EDG2|G10|YCR063W|fSAP17,29629,ENSG00000106245,EDG2,NCBI
2679,3292,HSD17B1,17-beta-HSD|20-alpha-HSD|E2DH|EDH17B2|EDHB17|HSD17|SDR28C1,5210,ENSG00000108786,EDH17B2,NCBI
2681,3294,HSD17B2,EDH17B2|HSD17|SDR9C2,5211,ENSG00000086696,EDH17B2,NCBI
25998,643646,HSD17B1P1,EDH17B1|EDHB17|HSD17|HSD17BP1|SDR28C1P1,5216,,EDHB17,NCBI
2679,3292,HSD17B1,17-beta-HSD|20-alpha-HSD|E2DH|EDH17B2|EDHB17|HSD17|SDR28C1,5210,ENSG00000108786,EDHB17,NCBI
8503,10861,SLC26A1,CAON|CAON1|EDM4|HYSULF|SAT-1|SAT1,10993,ENSG00000145217,EDM4,NCBI
1478,1836,SLC26A2,D5S1708|DTD|DTDST|EDM4|MST153|MSTP157,10994,ENSG00000155850,EDM4,NCBI
1042,1289,COL5A1,EDSC|EDSCL1|FMDMF,2209,ENSG00000130635,EDSC,NCBI
1030,1277,COL1A1,CAFYD|EDSARTH1|EDSC|OI1|OI2|OI3|OI4,2197,ENSG00000108821,EDSC,NCBI
1043,1290,COL5A2,EDSC|EDSCL2,2210,ENSG00000204262,EDSC,NCBI
1536,1915,EEF1A1,CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|EF1A1|EF1alpha1|GRAF-1EF|LENG7|PTI1|eEF1A-1,3189,ENSG00000156508,EEF-1,NCBI
1541,1934,EEF1B2P2,BETA-3|EEF-1|EEF-1BETA5A|EEF1B|EEF1B3,3209,ENSG00000213864,EEF-1,NCBI
34900,100421865,EEF1A1P3,EEF1AL|EEF1AL1,3194,ENSG00000232587,EEF1AL,NCBI
1537,1917,EEF1A2,DEE33|EEF1AL|EF-1-alpha-2|EF1A|EIEE33|HS1|MRD38|STN|STNL,3192,ENSG00000101210,EEF1AL,NCBI
1541,1934,EEF1B2P2,BETA-3|EEF-1|EEF-1BETA5A|EEF1B|EEF1B3,3209,ENSG00000213864,EEF1B,NCBI
1540,1933,EEF1B2,EEF1B|EEF1B1|EF1B,3208,ENSG00000114942,EEF1B,NCBI
1540,1933,EEF1B2,EEF1B|EEF1B1|EF1B,3208,ENSG00000114942,EEF1B1,NCBI
1539,1932,EEF1B2P1,EEF1B1|EF1B,3207,,EEF1B1,NCBI
11087,29015,SLC43A3,EEG1|ENBT1|FOAP-13|PRO1659|SEEEG-1,17466,ENSG00000134802,EEG1,NCBI
14396,65981,CAPRIN2,C1QDC1|EEG-1|EEG1|RNG140,21259,ENSG00000110888,EEG1,NCBI
1537,1917,EEF1A2,DEE33|EEF1AL|EF-1-alpha-2|EF1A|EIEE33|HS1|MRD38|STN|STNL,3192,ENSG00000101210,EF1A,NCBI
1536,1915,EEF1A1,CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|EF1A1|EF1alpha1|GRAF-1EF|LENG7|PTI1|eEF1A-1,3189,ENSG00000156508,EF1A,NCBI
1540,1933,EEF1B2,EEF1B|EEF1B1|EF1B,3208,ENSG00000114942,EF1B,NCBI
1539,1932,EEF1B2P1,EEF1B1|EF1B,3207,,EF1B,NCBI
13306,56898,BDH2,DHRS6|EFA6R|PRO20933|SDR15C1|UCPA-OR|UNQ6308,32389,ENSG00000164039,EFA6R,NCBI
9340,23362,PSD3,EFA6D|EFA6R|HCA67,19093,ENSG00000156011,EFA6R,NCBI
1593,1997,ELF1,EFTUD1|RIA1,3316,ENSG00000120690,EFTUD1,NCBI
14711,79631,EFL1,EFTUD1|FAM42A|HsT19294|RIA1|SDS2,25789,ENSG00000140598,EFTUD1,NCBI
3115,3848,KRT1,AEI2|CK1|EHK|EHK1|EPPK|K1|KRT1A|NEPPK,6412,ENSG00000167768,EHK,NCBI
3125,3858,KRT10,BCIE|BIE|CK10|EHK|EHK2|EHK2A|EHK2B|IHL|K10|KPP,6413,ENSG00000186395,EHK,NCBI
1637,2044,EPHA5,CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4,3389,ENSG00000145242,EHK1,NCBI
3115,3848,KRT1,AEI2|CK1|EHK|EHK1|EPPK|K1|KRT1A|NEPPK,6412,ENSG00000167768,EHK1,NCBI
20986,285220,EPHA6,EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066,19296,ENSG00000080224,EHK2,NCBI
3125,3858,KRT10,BCIE|BIE|CK10|EHK|EHK2|EHK2A|EHK2B|IHL|K10|KPP,6413,ENSG00000186395,EHK2,NCBI
1569,1965,EIF2S1,EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A,3265,ENSG00000134001,EIF-2A,NCBI
15709,83939,EIF2A,CDA02|EIF-2A|MST089|MSTP004|MSTP089,3254,ENSG00000144895,EIF-2A,NCBI
6902,8890,EIF2B4,EIF-2B|EIF2B|EIF2Bdelta|VWM4,3260,ENSG00000115211,EIF-2B,NCBI
6903,8891,EIF2B3,EIF-2B|EIF2Bgamma|VWM3,3259,ENSG00000070785,EIF-2B,NCBI
6905,8893,EIF2B5,CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM|VWM5,3261,ENSG00000145191,EIF-2B,NCBI
1582,1983,EIF5,EIF-5|EIF-5A,3299,ENSG00000100664,EIF-5A,NCBI
1583,1984,EIF5A,EIF-5A|EIF5A1|FABAS|eIF-4D|eIF5AI,3300,ENSG00000132507,EIF-5A,NCBI
7964,10209,EIF1,A121|EIF-1|EIF1A|ISO1|SUI1,3249,ENSG00000173812,EIF1A,NCBI
1568,1964,EIF1AX,EIF1A|EIF1AP1|EIF4C|eIF-1A|eIF-4C,3250,ENSG00000173674,EIF1A,NCBI
20506,280661,EIF1AXP1,EIF1AP1,19900,,EIF1AP1,NCBI
1568,1964,EIF1AX,EIF1A|EIF1AP1|EIF4C|eIF-1A|eIF-4C,3250,ENSG00000173674,EIF1AP1,NCBI
1569,1965,EIF2S1,EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A,3265,ENSG00000134001,EIF2,NCBI
6906,8894,EIF2S2,EIF2|EIF2B|EIF2beta|PPP1R67|eIF-2-beta,3266,ENSG00000125977,EIF2,NCBI
1571,1968,EIF2S3,EIF2|EIF2G|EIF2gamma|MEHMO|MRXSBRK|eIF-2gA|eIF2gX,3267,ENSG00000130741,EIF2,NCBI
6906,8894,EIF2S2,EIF2|EIF2B|EIF2beta|PPP1R67|eIF-2-beta,3266,ENSG00000125977,EIF2B,NCBI
1570,1967,EIF2B1,EIF2B|EIF2BA|EIF2Balpha|VWM1,3257,ENSG00000111361,EIF2B,NCBI
6904,8892,EIF2B2,EIF-2Bbeta|EIF2B|EIF2Bbeta|VWM2,3258,ENSG00000119718,EIF2B,NCBI
6902,8890,EIF2B4,EIF-2B|EIF2B|EIF2Bdelta|VWM4,3260,ENSG00000115211,EIF2B,NCBI
1574,1974,EIF4A2,BM-010|DDX2B|EIF4A|EIF4F|NEDHSS|eIF-4A-II|eIF4A-II,3284,ENSG00000156976,EIF4A,NCBI
1573,1973,EIF4A1,DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I,3282,ENSG00000161960,EIF4A,NCBI
1580,1981,EIF4G1,EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18,3296,ENSG00000114867,EIF4F,NCBI
1576,1977,EIF4E,AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E,3287,ENSG00000151247,EIF4F,NCBI
1574,1974,EIF4A2,BM-010|DDX2B|EIF4A|EIF4F|NEDHSS|eIF-4A-II|eIF4A-II,3284,ENSG00000156976,EIF4F,NCBI
30830,100188869,DEL15Q13.3,EIG7|MICRODEL15Q13.3|SCZD13,,,EIG7,NCBI
11356,50715,EJM2,EIG7|JME,,,EIG7,NCBI
36423,100529264,RAB4B-EGLN2,EGLN2|EIT-6|EIT6|HIF-PH1|HPH-1|HPH-3|PHD1|RERT-lncRNA,44465,,EIT-6,NCBI
16913,112398,EGLN2,EIT-6|EIT6|HIF-PH1|HIFPH1|HPH-1|HPH-3|PHD1,14660,ENSG00000269858,EIT-6,NCBI
36423,100529264,RAB4B-EGLN2,EGLN2|EIT-6|EIT6|HIF-PH1|HPH-1|HPH-3|PHD1|RERT-lncRNA,44465,,EIT6,NCBI
16913,112398,EGLN2,EIT-6|EIT6|HIF-PH1|HIFPH1|HPH-1|HPH-3|PHD1,14660,ENSG00000269858,EIT6,NCBI
2056,2554,GABRA1,DEE19|ECA4|EIEE19|EJM|EJM5,4075,ENSG00000022355,EJM,NCBI
641,785,CACNB4,CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6,1404,ENSG00000182389,EJM,NCBI
971,1181,CLCN2,CIC-2|CLC2|ECA2|ECA3|EGI11|EGI3|EGMA|EJM6|EJM8|FHA2|FHII|HALD2|LKPAT|clC-2,2020,ENSG00000114859,EJM6,NCBI
641,785,CACNB4,CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6,1404,ENSG00000182389,EJM6,NCBI
20249,255061,TAC4,EK|HK-1|HK1|PPT-C,16641,ENSG00000176358,EK,NCBI
924,1119,CHKA,CHK|CK|CKI|EK|NEDMIMS,1937,ENSG00000110721,EK,NCBI
925,1120,CHKB,CHETK|CHKL|CK|CKB|CKEKB|EK|EKB|MDCMC,1938,ENSG00000100288,EK,NCBI
17720,127534,GJB4,CX30.3|EKV|EKVP2,4286,ENSG00000189433,EKV,NCBI
2180,2707,GJB3,CX31|DFNA2|DFNA2B|EKV|EKVP1,4285,ENSG00000188910,EKV,NCBI
1640,2047,EPHB1,ELK|EPHT2|Hek6|NET,3392,ENSG00000154928,ELK,NCBI
17911,131096,KCNH8,ELK|ELK1|Kv12.1|elk3,18864,ENSG00000183960,ELK,NCBI
17911,131096,KCNH8,ELK|ELK1|Kv12.1|elk3,18864,ENSG00000183960,ELK1,NCBI
9383,23415,KCNH4,BEC2|ELK1|Kv12.3,6253,ENSG00000089558,ELK1,NCBI
9384,23416,KCNH3,BEC1|ELK2|Kv12.2,6252,ENSG00000135519,ELK2,NCBI
1599,2003,ELK2AP,ELK2|ELK2.1|ELK2P1,3323,,ELK2,NCBI
19209,162699,ELOA3P,ELOA3|ELOA3A|ELOA3AP|HsT829|TCEB3C|TCEB3L2,24617,,ELOA3,NCBI
27909,728929,ELOA3BP,ELOA3|ELOA3B|ELOA3CP|ELOA3L1|EloA3C|Elongin-A3|HsT828|TCEB3C|TCEB3CL|TCEB3L2|eloA3-like-1,31007,ENSG00000288607,ELOA3,NCBI
52426,107983955,ELOA3CP,ELOA3B|ELOA3C|TCEB3CL,52410,,ELOA3B,NCBI
27909,728929,ELOA3BP,ELOA3|ELOA3B|ELOA3CP|ELOA3L1|EloA3C|Elongin-A3|HsT828|TCEB3C|TCEB3CL|TCEB3L2|eloA3-like-1,31007,ENSG00000288607,ELOA3B,NCBI
3595,4582,MUC1,ADMCKD|ADMCKD1|ADTKD2|CA 15-3|CD227|Ca15-3|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM,7508,ENSG00000185499,EMA,NCBI
1683,2108,ETFA,EMA|GA2|MADD,3481,ENSG00000140374,EMA,NCBI
9638,24139,EML2,ELP70|EMAP-2|EMAP2,18035,ENSG00000125746,EMAP-2,NCBI
19173,161436,EML5,EMAP-2|EMAP-5|FAP16,18197,ENSG00000165521,EMAP-2,NCBI
7160,9255,AIMP1,EMAP2|EMAPII|HLD3|SCYE1|p43,10648,ENSG00000164022,EMAP2,NCBI
9638,24139,EML2,ELP70|EMAP-2|EMAP2,18035,ENSG00000125746,EMAP2,NCBI
5511,6922,SKP1P1,EMC19|OCP2|TCEB1L|TCEB1P|TCEB1P1,33696,,EMC19,NCBI
5142,6500,SKP1,EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A,10899,ENSG00000113558,EMC19,NCBI
5216,6581,SLC22A3,EMT|EMTH|OCT3,10967,ENSG00000146477,EMT,NCBI
2992,3702,ITK,EMT|LPFS1|LYK|PSCTK2,6171,ENSG00000113263,EMT,NCBI
14158,64375,IKZF4,EOS|ZNFN1A4,13179,ENSG00000123411,EOS,NCBI
20420,260429,PRSS33,EOS,30405,ENSG00000103355,EOS,NCBI
1317,1622,DBI,ACBD1|ACBP|CCK-RP|EP,2690,ENSG00000155368,EP,NCBI
1649,2056,EPO,DBAL|ECYT5|EP|MVCD2,3415,ENSG00000130427,EP,NCBI
8134,10407,SPAG11B,EDDM2B|EP2|EP2C|EP2D|HE2|HE2C|SPAG11|SPAG11A,14534,ENSG00000164871,EP2,NCBI
4529,5732,PTGER2,EP2,9594,ENSG00000125384,EP2,NCBI
8138,10411,RAPGEF3,CAMP-GEFI|EPAC|EPAC1|HSU79275|bcm910,16629,ENSG00000079337,EPAC,NCBI
8682,11069,RAPGEF4,CAMP-GEFII|CGEF2|EPAC|EPAC 2|EPAC2|Nbla00496,16626,ENSG00000091428,EPAC,NCBI
19458,171420,HSPE1P28,EPF5,49347,ENSG00000230081,EPF5,NCBI
10437,27338,UBE2S,E2-EPF|E2EPF|EPF5,17895,ENSG00000108106,EPF5,NCBI
5650,7076,TIMP1,CLGI|EPA|EPO|HCI|TIMP|TIMP-1,11820,ENSG00000102265,EPO,NCBI
6409,8288,EPX,EPO|EPP|EPX-PEN|EPXD,3423,ENSG00000121053,EPO,NCBI
6409,8288,EPX,EPO|EPP|EPX-PEN|EPXD,3423,ENSG00000121053,EPP,NCBI
1789,2235,FECH,EPP|EPP1|FCE,3647,ENSG00000066926,EPP,NCBI
3124,3857,KRT9,CK-9|EPPK|EPPK1|K9,6447,ENSG00000171403,EPPK,NCBI
3115,3848,KRT1,AEI2|CK1|EHK|EHK1|EPPK|K1|KRT1A|NEPPK,6412,ENSG00000167768,EPPK,NCBI
277,332,BIRC5,API4|EPR-1,593,ENSG00000089685,EPR-1,NCBI
1595,1999,ELF3,EPR-1|ERT|ESE-1|ESX,3318,ENSG00000163435,EPR-1,NCBI
7592,9780,PIEZO1,DHS|ER|FAM38A|LMPH3|LMPHM6|Mib,28993,ENSG00000103335,ER,NCBI
1660,2069,EREG,EPR|ER|Ep,3443,ENSG00000124882,ER,NCBI
1677,2099,ESR1,ER|ESR|ESRA|ESTRR|Era|NR3A1,3467,ENSG00000091831,ER,NCBI
5600,7022,TFAP2C,AP2-GAMMA|ERF1|TFAP2G|hAP-2g,11744,ENSG00000087510,ERF1,NCBI
556,677,ZFP36L1,BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1,1107,ENSG00000185650,ERF1,NCBI
1682,2107,ETF1,D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1,3477,ENSG00000120705,ERF1,NCBI
11341,50624,CUZD1,ERG-1|ERG1|ITMAP1|UO-44,17937,ENSG00000138161,ERG-1,NCBI
3037,3757,KCNH2,ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1,6251,ENSG00000055118,ERG-1,NCBI
3037,3757,KCNH2,ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1,6251,ENSG00000055118,ERG1,NCBI
11341,50624,CUZD1,ERG-1|ERG1|ITMAP1|UO-44,17937,ENSG00000138161,ERG1,NCBI
16463,90134,KCNH7,ERG3|HERG3|Kv11.3,18863,ENSG00000184611,ERG3,NCBI
4986,6309,SC5D,ERG3|S5DES|SC5DL,10547,ENSG00000109929,ERG3,NCBI
21665,340061,STING1,ERIS|MITA|MPYS|NET23|SAVI|STING|STING-beta|TMEM173|hMITA|hSTING,27962,ENSG00000184584,ERIS,NCBI
25272,493856,CISD2,ERIS|Miner1|NAF-1|WFS2|ZCD2,24212,ENSG00000145354,ERIS,NCBI
1641,2048,EPHB2,BDPLT22|CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5,3393,ENSG00000133216,ERK,NCBI
