,ambiguous symbol,number of abstracts with a match
1350,LNCRNA-GIHCG,10
1351, LY117,0
1352,IFI-4,7
1353, RPL32P,0
1354, P19,5404
1355,H3C10,1
1356,NCRNA00087,1
1357,p42,13954
1358,ARC20,2
1359, EST349056,0
1360,PP4,478
1361,KIAA1110,1
1362,ME2,1527
1363,ETL1,12
1364, MLTNG,0
1365,EDF,1633
1366,CRIPTO,488
1367,HEN1,167
1368,P42,13954
1369,HTF6,0
1370,HOX1D,3
1371, ENB1,35
1372,MRCL2,0
1373,SRBC,4431
1374,MIF2,119
1375, KIR3DS2P,0
1376,IGLV(I)-38,0
1377,FADS,1777
1378, NKR,785
1379,CCL4L,10
1380,BA748L13.4,0
1381,WSS,2904
1382,CD,275874
1383,EWSR2,3
1384,RCP,4488
1385,GOLGA6L21P,0
1386, MGC40108,0
1387, IGHD727,2
1388, OR93,1
1389, FLJ21230,0
1390, MGC14421,0
1391,HCNP,120
1392, MGC43306,0
1393,KAP3.3,0
1394,RNU36A,0
1395,DPDE1,2
1396,NSPLII,0
1397, MGC39265,0
1398,LPP2,34
1399,ROC2,51
1400,GARI-L1,0
1401, UPLC1,1
1402, ICIS,8972
1403, U1F,4
1404,FLJ00086,0
1405, BAP1,1978
1406, RNU1G4,0
1407, TCRBV5S6A3N2T,0
1408,OR7E71P,0
1409,AP3AASE,5
1410,CKMT1,32
1411,FLJ32198,0
1412, ZNRD1-AS,1
1413,RN5S252,0
1414, TDRD19C,0
1415, RASA5,1
1416, PTP,6207
1417,CAT1,1044
1418,HCCAT2,1
1419, DKFZP434E0519,0
1420, CSF2R,11
1421,J1,4479
1422,BCL-G,41
1423,ADN,3011
1424, GAGED2,4
1425,PRH,1061
1426,C21ORF10,0
1427, FLJ25168,0
1428, DJ621N11.3,0
1429,RNTMI2,0
1430,PIG6,9
1431, TPRX3P,0
1432,ROC1,264
1433,AGS2,42
1434, ESP1,161
1435,EFTUD1,6
1436, LIR3,14
1437, IAP,9640
1438,GCAP,306
1439,FLJ20045,0
1440,OLF1,50
1441, OR2T9,0
1442, RXN3,2
1443,ARMD14,0
1444,IMP5,35
1445,C14ORF48,0
1446, TRAP2,43
1447,IDD,4569
1448, C53,441
1449,CYP2C,1013
1450, LINC01835,0
1451, HTF1,24
1452, PMS5,9
1453,721P,4
1454,RPT5,66
1455,PRR20A,1
1456,ADAMTS-2,36
1457,HAST3,7
1458, OR7E68P,0
1459, HSA-MIR-3690-2,0
1460, MY0876G05,0
1461,C21ORF123,0
1462,D6S53E,0
1463,PZI,64
1464,CINAP,171
1465, MRP,5905
1466, GLYT2,369
1467,PARF,73
1468, P28,1699
1469,MGC43537,0
1470,SNT2,18
1471, PI1,640
1472,SOLO,6173
1473,TTY6,2
1474,FLJ00060,0
1475, FLJ11171,0
1476, TIM22,124
1477,HM1,869
1478, LY6-D,0
1479,PSF2,71
1480,ERF1,610
1481,WRS,1061
1482,SPS2,90
1483, G6,6450
1484,DESC1,21
1485,BMH,520
1486,BOLA2A,0
1487,CMS1A,1
1488, MIRN675,125
1489, PCDH-ALPHA10,0
1490,3-alpha-HSD,100
1491, SKIV2L,94
1492,ARP3,350
1493, TRBV41,8
1494, MTR1,51
1495,KRTHA3A,0
1496, CYP2D7P1,3
1497, ILT2,264
1498, SLC57A1,0
1499,RIF1,890
1500,CKB1,32
1501,MTX1P,0
1502,HGPS,727
1503,3'HEXO,19
1504,C22ORF16,1
1505, RNU73A,0
1506, Z3CXXC1,0
1507, CDKN7,0
1508,TSK4,7
1509,GLUR7,100
1510,GJA9,436
1511, FLRN,5
1512,AEZ,98
1513, SIP,4959
1514,CAM3,45
1515,C14SR,4
1516,MRG,1152
1517,D15F37S1,0
1518, HIP9,1
1519,C2ORF85,0
1520,Ses2,53
1521,CT5.4,0
1522,PAP1,621
1523,PLP,7044
1524, DNM1DN4@,0
1525,MRP-L22,0
1526, GSE,3600
1527, TRBV62,0
1528,CT47.6,0
1529,CRABP-II,412
1530,PM5,325
1531,CTA,17290
1532, MRS,34333
1533,LPH,1354
1534, HL9,14
1535,GAPDP14,0
1536,CACCLNC,1
1537,TDO,686
1538,OP-2,220
1539, PPNAD3,0
1540,CAMC,430
1541,FLJ33360,2
1542, SKD2,6
1543,TCRBV13S3,0
1544,FPRH2,3
1545,MED24,49
1546,ATP-PFK,33
1547,FLJ22251,0
1548, TPPT,41
1549, TCRBV7S4,0
1550,NPHL2,41
1551,IGHD22,4
1552,FACD,9661
1553,SMAP2,32
1554,HSA-MIR-1302-10,0
1555,AIP1,281
1556,G16,533
1557,MASA,3843
1558,NDR,1572
1559,OR19-12,0
1560,CCYC,9
1561, MAGE3B,1
1562,FAP216,1
1563,GCP,2694
1564,PFM1,15
1565, SGK071,0
1566,NIP1,88
1567, IGKV127,2
1568,CD66F,1
1569, CROCCL2,0
1570,THC2,52
1571,rpL7a,73
1572, LIR-3,3
1573, FBX30,0
1574,DRS,32907
1575,NAC,32941
1576,HS6M1-18,1
1577, RNU12P,0
1578,CT123,1
1579, OCT-4,2027
1580, C10orf103,0
1581, RPPH1-1,0
1582,DEF6,69
1583,MKP-L,3
1584,HCG3,3
1585, SDR14E1P,0
1586, PRO1048,0
1587, IL28C,0
1588, p8,7811
1589, SHMT,532
1590,TEF3,38
1591,HLA-80,3
1592,F10,4764
1593, ORP150,139
1594, NHE3,1561
1595,FLJ37433,0
1596,IGHV4-3,0
1597, HPS,6018
1598, TS,57397
1599, FLJ34272,2
1600, NTRK4,2
1601,AU,403850
1602,OR7-3,1
1603, BPG309N1.1,0
1604, KIR44,0
1605,ABC50,11
1606,TRB1,41
1607,DSPA3,0
1608, CTM-1,18
1609,MRD63,0
1610, MIX17A,0
1611, INI-1,248
1612,PWCR1,8
1613,TAFII105,16
1614,HCI,4510
1615, FIG,13422
1616, SLSN7,0
1617,TR,1117605
1618,POTE-15,0
1619, METAP1L,0
1620, TP1,866
1621,MOB1,232
1622,p65,26576
1623,ZAC1,123
1624,CD306,7
1625,GUCY2B,0
1626, FLJ31153,1
1627, XA,20734
1628,CNAP1,66
1629,STAG3L3,2
1630,CRN,2170
1631,C8ORFK29,0
1632,CPX1,33
1633, HRAS1,226
1634, SIT,27353
1635,LST-1,56
1636,GalNAc-T5L,1
1637,HST17563,0
1638,CD85G,7
1639, T2R15,0
1640, p75,6762
1641, AWMS2,1
1642,SEA,131229
1643,IAN6,1
1644,H2BFL,0
1645,RAGE,10008
1646,RNU1-6,0
1647,Zfp27,1
1648, POM121,109
1649, FLJ23501,0
1650, HPF9,1
1651, NE,127118
1652,CAB1,113
1653,PRG2,92
1654, CGM10,1
1655, FCGAMMARIIIB,272
1656, MGC20579,0
1657,HZF3,5
1658,HE,580395
1659,SCP,5623
1660, DEFB107,2
1661, TCTE5,1
1662,C3ORF55,0
1663, S6,22764
1664,P84,245
1665,HSPCAL2,3
1666,ARRESTIN,7201
1667, ISWI,509
1668,RNF3,2
1669, CRNR4,0
1670, TNXB1,1
1671,B17,1501
1672,SDHAL1,0
1673,BT2.1,1
1674,RH,655203
1675,CGI-87,0
1676,U7.73,0
1677,PAR3,998
1678, HMRP-2B,0
1679, PC4,760
1680,DIR1,44
1681, CI-B14,1
1682,HSA-MIR-27A,97
1683, CHP1,144
1684, NADHB14,0
1685,TCRAV17S1,0
1686,LIP2,163
1687,LOH12CR1,4
1688,SERPINA13,3
1689,ARAP,745
1690,C6ORF23,0
1691,T2D,19281
1692, DAP2,46
1693,M130,137
1694,HOKPP,1157
1695,GRINL1A,13
1696, TLCD6,0
1697,CBF-B,38
1698, MAGE9,3
1699, PEBP2A2,0
1700,EMS1,139
1701, PMS,11135
1702, PPD,13868
1703,CFAP172,0
1704,CLECL1,49
1705,IDDM1,93405
1706,CIB,3863
1707,HSA-MIR-6719,0
1708,GLCC,27
1709,ACA26,0
1710,EPILYSIN,27
1711,PJCG6,0
1712,MD1,791
1713,JCG1,5
1714,V35,401
1715,C15orf38,0
1716,CD20,18648
1717,G2,95882
1718,MTF,4066
1719, THEMIS1,7
1720,HERF1,9
1721, LYPLA2L,0
1722, ZNF37B,3
1723, LAIR-1,163
1724, DQB3,19
1725,C3ORF46,0
1726,GS2,505
1727,SAR1,1656
1728,ALDA,1332
1729,HC10-II,0
1730,SGOL1-AS1,2
1731,HCF2,38
1732, TCRBV6S4,0
1733, RDCVF2,7
1734, NCRNA00021,0
1735,HSP70-1,444
1736, PIG6,9
1737,EIF1AP1,0
1738, MTBT2,2
1739,PERB11.1,11
1740,PABPL1,0
1741,TCRAV30S1,0
1742, DEFB102,0
1743,CLP1,198
1744,FB,18020
1745,PE-1,588
1746, BTF4,2
1747,PIN1L,3
1748, OR3.2,1
1749,SCP1,298
1750,CYP11A,281
1751,RBM,4643
1752,ESP1,161
1753, IF,0
1754,KIAA0700,1
1755,BFD,433
1756,SIK1B,2
1757,HSA238520,0
1758, TI-VAMP,62
1759,Protease,698754
1760,AIRP,120
1761, H2-BF,2
1762, PM5,325
1763, SAD-A,226
1764,PDA2,39
1765,SSX9,1
1766, NG3,162
1767,MK3,201
1768,FMO6,9
1769,GDH2,116
1770,MGC16279,0
1771,REP-2,141
1772, DC13,46
1773,NP1,1303
1774,OR8J2P,0
1775, DHRSXY,1
1776, TCONS_00024290,266
1777, P34,1543
1778,KAP1.4,3
1779, FLJ37131,0
1780,DCP1,557
1781,CPN2,42
1782, SWI2,415
1783,P150,1217
1784,PS8,59
1785, FLJ46727,0
1786,RN5S15,0
1787, FLJ20047,0
1788,IGHV(III)-11-1,1
1789, CLIP,55258
1790, TAK1L,2
1791,ZNF705C,0
1792,ABCC13P,0
1793, DFNA20,24
1794,ESA,6473
1795,SWS,4687
1796, HFL3,2
1797,SCP-2,180
1798,TIRAP3,0
1799, NLG1,75
1800,GP40,127
1801,SDR25C4,0
1802,DNM1DN3@,0
1803, HELG,99
1804,PCDH22,0
1805,ACCN5,0
1806, RSC8,14
1807, SNRNP61,0
1808,IGHV(II)-30-1,0
1809, TAMO,202
1810,APY,361
1811,K12,43781
1812,FAM90A20P,0
1813,PCDH-BETA8,1
1814,cPLA2-beta,2
1815, DPB2,79
1816, KIAA1447,1
1817, KIAA1571,0
1818, DUSP27,16
1819, GASP2,13
1820, 2F1,1175
1821, MIRN598,2
1822,AGP1,154
1823,p220,278
1824, UCRP,64
1825, DKFZP686I1842,0
1826, OR2AD1,0
1827,PRR20E,0
1828, PP2CALPHA,78
1829, RNVU1-13,0
1830, WWP4,0
1831,C1orf175,0
1832, FLJ14346,0
1833, FLJ40123,0
1834, Z3CXXC4,0
1835, ALK1,1278
1836,BRAL1,11
1837, KIR,6253
1838, FBS1,34
1839,p51,10429
1840,ARG134,46
1841, NEUROPSIN,158
1842,TRY2P,0
1843, ARP5,38
1844,C21ORF49,0
1845, C11,4969
1846,CAT,165382
1847, PDAM,67
1848, ZIP7,96
1849, KIAA0470,0
1850,FAM197Y7P,0
1851,CDH7,61
1852, MGC2832,0
1853, ONCO-LNCRNA-3,2
1854, OR7E80P,0
1855,GCP-2,160
1856,PPIEP1,0
1857,RP11-462G22.1,0
1858,CHRNA7-DR1,0
1859, MGC16471,0
1860,HNRPL,5
1861,HCC-4,134
1862, THC2,52
1863,ANT,16087
1864, SCCA1,241
1865, P600,876
1866,CAMKIII,7
1867, CRNR2,1
1868,ACTL6,0
1869, DAND1,3
1870,OR5BU1,0
1871, FLJ20249,0
1872, MGC18257,0
1873,BRCC2,9523
1874,NT5,79
1875,AIP-1,74
1876, TRBV72,7
1877,LOXL,139
1878, KIAA0705,1
1879,DVL1L1,0
1880, SCAMC1,8
1881,CSR,11701
1882, RING2,127
1883, ARP1,273
1884,DEF4,9
1885,ATD,2840
1886, NCC-2,18
1887,DISP,311
1888,p110,1436
1889, TMEM179A,0
1890, MIRN767,0
1891, ZAC,684
1892,HSET,111
1893,CYB560,0
1894, HSP60P3,0
1895, PIP1,278
1896, ZNF452,2
1897,APT,10307
1898,RBP,7681
1899,U3,2999
1900, SMCC,512
1901,CYB5P3,0
1902, SNT3,2
1903,AZ2,55
1904, FLJ12150,0
1905,MM-1,14185
1906, FLJ20736,0
1907,C19ORF72,0
1908, LACS2,43
1909, SEP2,162
1910, CDHJ,1
1911,CSA,29342
1912,FLJ16537,0
1913,RN5S1,0
1914,NAT3,51
1915,AF,113105
1916,EPF5,2
1917,D6S586E,0
1918,AT,0
1919, KRTHA3A,0
1920,PHR1,333
1921,ADRA1,22
1922, NL1,1244
1923,PYPAF7,10
1924,GPHR,41
1925, OR5G6P,0
1926,CYP1,713
1927,VR1,822
1928,NCRNA00145,0
1929,H4C15,1
1930,TCRBV6S6A2T,0
1931, PROX,744
1932,BRD2-IT1,0
1933,HIP,204931
1934,DC47,1
1935,SCYA2,28
1936,CORD5,7
1937, LIM1,293
1938,DP1,8463
1939, FAM92A3,0
1940, FLJ33590,0
1941, p17,2997
1942, TSG7,0
1943,GPRK7,2
1944, SCYL4,0
1945,LINC01330,0
1946,CS1,1650
1947,CL1,1624
1948, HHM,450
1949,AAVR,47
1950,GSTT2P,1
1951, PMS6,5
1952, KIAA0821,0
1953,AMAC-1,19
1954,p120,2091
1955, PRR2,58
1956,CSN1S2A,3
1957,ATASE2,17
1958, PRAMEL,4
1959, IL1RA,6821
1960,GOLGA8D,0
1961,CAST,38015
1962, SAPAP2,6
1963,XLOC_000303,2
1964, FLJ38036,0
1965,TRB2,33
1966,LQT5,57
1967, REN,119366
1968,TAT1,575
1969, VU1.18,0
1970, CT61,5
1971,KRTAP4.7,0
1972, PTENPG1,2
1973,KIR2DL5,132
1974,AC02278.4,2
1975,PERB11.3,1
1976,OR5G3P,0
1977, RDBP,69
1978,TCRGC1,2
1979,ERP1,28
1980,ATX,1818
1981,S2,51687
1982,DS,66375
1983, DJ102H19.2,0
1984,JM4,23
1985,PSP2,56
1986,HIF-PH1,0
1987,DHS2,30
1988, DREF,248
1989, TRBV111,1
1990, MAK3,39
1991,A2AP,29
1992,USP6P2,0
1993, RBP56,11
1994, MIRN105-1,0
1995,UGT,3458
1996, TCRBV8S4P,0
1997,AAT1,140
1998,AF-1,914
1999, FAM2A,0
2000, DHRS5Y,0
2001,PIRB,349
2002,OR2W5,2
2003,CDM,2900
2004,STAP,453
2005,TCEB3L2,0
2006,ES25,28
2007,OR25,16
2008,RING2,127
2009,HSA-MIR-1201,2
2010, OST008,0
2011,ALR,1309
2012, MEC17,32
2013,TCRAV15S1,0
2014, P2RY7,0
2015, SGV,207
2016,PIG2,18
2017, SYNG,65
2018,PEPP-2,1
2019, PPP1R2P,0
2020,MLZE,6
2021, HIST3H2A,11
2022,LENG5,0
2023,OR10AC1P,0
2024, RRP7B,1
2025, ZFP105,3
2026,H3C7,1
2027,HGL,503
2028, DCR2,379
2029,AMP,197455
2030,OR4Q2P,0
2031, D17S376,1
2032,PLAP-1,43
2033, UBE2QP1,0
2034,D6S205,0
2035, MAP-1,459
2036, OR2H8,0
2037,FLJ14005,0
2038,FHL1,542
2039,CT45A5,0
2040,MAT1,864
2041,PBEF,187
2042, CDC10L,0
2043,MAK3,39
2044,RHBDL4,21
2045, HBD-1,451
2046, ISG12,45
2047,HCA4,15
2048,CCR10,491
2049,POST,1317884
2050, Vma10,15
2051,ECA2,63
2052,OB1,119
2053, HERV1,6
2054, YDR084C,0
2055,HPF4,98
2056, PRAGMIN,17
2057,RN28S1,2
2058,BA453N3.6,0
2059, P67,1380
2060,H3.1,451
2061, EM:AB023052.2,600323
2062, RNVU1-5,0
2063,NOS2B,17
2064,DEFB109P1B,0
2065, TCRBV27S1,0
2066,ACS2,280
2067, PC2,3052
2068,HIST1H2BI,3
2069,CD45,22211
2070,OR6-6,1
2071,CD300D,3
2072, INI1,1096
2073,SYT,1122
2074,IGKV,125
2075,CSS1,48
2076,eIF-2gA,0
2077, LZK1,0
2078, TCRBV12S1A1N2,0
2079,TAL-H,176
2080,FAM10A4,4
2081, CRML-1,3
2082,DKFZP686A10121,0
2083,FSGS1,8871
2084, LNCGM1082,2
2085,NP,76067
2086, PA28ALPHA,120
2087,SAG,4900
2088,TC2,910
2089, TN-X,33
2090, NG2,2519
2091, RNU2AF1,0
2092, RPL7AL4,0
2093,ATP6V1GP1,0
2094,KRTAP5-9,1
2095,AHH,1270
2096, GPR172A,6
2097,EDM4,2
2098,ARP1B,0
2099, LIN-10,58
2100, VAMP-7,34
2101, CPX,2003
2102,GGF2,57
2103, KIAA1622,1
2104,PRG3,32
2105,HRG1,47
2106, GLUT9,354
2107,CT4.7,0
2108,RN5S458,0
2109, PFIC2,131
2110,NCRNA00328-2P,0
2111,BV05S1J2.2,0
2112,FAME,3354
2113, SGT2,61
2114,LOC440905,1
2115,CD279,143
2116,DJ372B18.1,0
2117,ALMS1L,0
2118, MU,122375
2119,BING1,4
2120,TR-1,437
2121,COX11P,7
2122,NK3,1286
2123, VARSL,0
2124,EF1B,31
2125, HUMNRDR,0
2126,ST1A4,2
2127,NIRF,1133
2128,CDK11-p58,31
2129,IGVPB,0
2130,FLI,5356
2131, MAK11,17
2132,C8ORF71,0
2133,HSDJ0798C17,0
2134, NKB1,58
2135,GPXP3,0
2136,HB1,461
2137,Tmp-21-I,0
2138, CXYORF2,0
2139,DEF3,27
2140, TCRGC2,2
2141, ZNF297,1
2142, LINC00021,1
2143, BQB90C11.3,0
2144, GRASP-1,20
2145,TRNAG34P,0
2146,ACT,393159
2147,MUC3,327
2148,C1DELp36,0
2149,MIG12,18
2150,ATR1,242
2151,MGC27434,1
2152, FOR20,14
2153, PNUTL3,0
2154, FRU,1406
2155, NOS3,9667
2156, PDI2,95
2157,CYP4F-SE7[6:7:8],0
2158,EDS4A,0
2159,ECGF,432
2160, MGC3102,0
2161, HUPAR-1,6
2162, KIAA0055-HOM,0
2163,ESA1,151
2164, YT521-B,122
2165, IRC1,9
2166, LCA,10648
2167, CCCAP,9
2168,FLJ22865,0
2169,AOMS4,0
2170,DAGK5,0
2171, EEN-B2,1
2172, KIRX,1
2173, BRCC1,12797
2174, DVWA,22
2175, D6S114E,2
2176,HSA-MIR-3972,1
2177, HPO1,13
2178,CYP2D,428
2179,MAFIPL,0
2180, KAP4.6,0
2181, SKI,5175
2182,HMSNR,11
2183,HSA-MIR-6849,0
2184, TAU,77578
2185,KIAA1501,1
2186,KIAA0711,1
2187, KIAA0021,0
2188,T2R59,0
2189,FLJ35785,0
2190,PAP-II,60
2191,DFNB6,22
2192,ATP1A1,600
2193, OCT4,9365
2194,BAT5,19
2195,OI12,6
2196, MGC23214,0
2197,TER,50627
2198,DIP2,40
2199,GOP,788
2200, U36B,1
2201,MCD,6600
2202,TRNAN-GUU,0
2203,IGHV(III)-51-1,0
2204,VPS24,57
2205, ALPHA2AP,173
2206,OF,0
2207,PORMIN,0
2208,KAP1.6,0
2209,TCRBV30S1P,0
2210, ZNF39L1,0
2211, OR6-2,3
2212,C10ORF101,0
2213,TCRBJ1S1,0
2214,LAG1,454
2215, FAM25D,0
2216, DFNA8,35
2217, KKA3,1
2218, ELK2P1,0
2219,BDPLT1,794
2220,GS,51790
2221,PRKAR2,5
2222, TCRBV6S1,10
2223, SKN,1330
2224,BD-6,65
2225, IGSF13,1
2226,THRA1,490
2227,IDH,6416
2228,ALS2CR3,3
2229,IMP2,184
2230,SEC18,185
2231,GCP3,51
2232,SFTP1,6
2233,CLEC4O,0
2234,GSTTP1,3
2235, KS,65472
2236, WEE1B,23
2237,ARH2,137
2238, TCRBV27S1P,0
2239,ACVRLK4,0
2240, SARAP1,1
2241,ADA2,613
2242,PCTAIRE,97
2243,GXPLA2,1
2244, TRBV112,13
2245,FAM91A2,0
2246,SSF1,36
2247,ASC-1,161
2248, RNU1-5,0
2249,APC2,263
2250, VARTUL,7
2251, MGC26684,0
2252,KCIP-1,3
2253, H4,30294
2254, VMA5,26
2255, CSTN3,1
2256,NOV,3555926
2257, LPAAT-EPSILON,0
2258,FLJ43692,0
2259,SAP2,254
2260,OR11-1,1
2261, KIAA1315,0
2262,BTN4,0
2263,P52,1820
2264,NSE1,57
2265,HRG4,29
2266,hUG-BR1,12
2267, ASM1,164
2268, ZBED9,5
2269,KIAA1409,2
2270,U84,62
2271,C14ORF55,0
2272, tamo,202
2273,DOC2BL,0
2274,HSA-MIR-8055,0
2275,RACO-1,6
2276,SDHAL2,0
2277,C12orf2,2
2278,p40,15523
2279,TAF2C,0
2280, TCRBV7S3A2T,0
2281,PAGE-1,159
2282,HMN5,5
2283,C21ORF4,3
2284,EFSEC,22
2285, OX2R,421
2286,DJ994E9.3,0
2287,C15orf1,0
2288, FLJ37114,0
2289,CNR5,5
2290, ZNF66P,0
2291,DFNA52,3
2292,RBMY2,1
2293,H2A.1,92
2294, TCRBV26S1P,0
2295,H2-ALPHA,18
2296,CAK,759
2297, WDR84,0
2298,HSA-MIR-548K,4
2299,C14ORF110,0
2300,DBM,4869
2301,HSA-MIR-6859-3,0
2302,NET6,8
2303,TBC1D3C,2
2304,FLJ40434,0
2305,AGS1,92
2306,KAR,15124
2307,PRAMEF3L,0
2308, CL-39,48
2309,DM2,2972
2310,P80,1500
2311,ACPA,2140
2312, KIAA1519,0
2313,ACS,179268
2314,ZNT8,433
2315,ESO1,46
2316,TSPY,242
2317,DEFB109,6
2318,UBE2Q2L,1
2319,IGKV1/OR10-1,0
2320,BRD7P,0
2321,CXYORF8,0
2322,AMB11,4
2323,RDP,1491
2324,GM2AP,66
2325,ARGS,5786
2326, DNM1DN11-8,0
2327, CLA20,4
2328,H3C1,7
2329,CAS2,258
2330,PAC-1,1037
2331,IGHV(III)-13-1,1
2332,TRN1,39
2333,EIT6,1
2334,LINC00888,3
2335,OR7-21,0
2336,ASC1,255
2337,GP110,939
2338, MBT,3073
2339, TRBV55,1
2340, URG7,10
2341,NUDR,20
2342,MGC15548,0
2343,SRC1,1190
2344, CD98,1917
2345, TPC,6450
2346,AOS1,47
2347,FAM128B,0
2348, EB6ACTII,0
2349,BPG126D10.10,0
2350, FLJ13158,1
2351,ULG4,0
2352,MRX31,2
2353,RNU6-55,0
2354,RNVU1.2A,0
2355,CLNS1B,2
2356, MIRN181C,0
2357, LOC728008,0
2358,CCL,11390
2359,LH2,1900
2360,MCS,17748
2361,SSAO,492
2362,GR3,202
2363,RN5S498,0
2364,H4C5,9
2365, SS,109303
2366,T2R51,0
2367,AZ1,130
2368,SSS1,43
2369, OLF4P,0
2370, UNR,3314
2371,AZAMP,18
2372,KAP16.1,0
2373,CT11.3,0
2374,IL1RA,6821
2375,GAGE-9,0
2376,E3,44025
2377, G7B,8
2378,CHED,232
2379, TRBV101,2
2380,BA430N14.2,0
2381,bA537A6.3,0
2382,DAP4,27
2383,DYT14,7
2384,FAN,140891
2385, KRTHA3B,0
2386,NEDF,10
2387,DOM3L,0
2388,CYORF16,0
2389,HSF2L,0
2390,APO-M,49
2391,C2orf47,5
2392, LIPRIN,213
2393,FAST,499969
2394, MGC15229,0
2395,FCE1A,0
2396, AUTL1,0
2397,CAK1,61
2398,DEFB4P,0
2399, SEPT9,391
2400, OST-PTP,10
2401,ISGF-3,55
2402, D6S52E,0
2403,SCN1,42
2404,beta4GalNAcT,13
2405,SCYA3L,1
2406,p58,705
2407,P39,845
2408,EPO,13587
2409,APR,3621352
2410,CCDC49,2
2411, JSP1,17
2412, CIR,33762
2413,METTL2,6
2414,7B2,361
2415,MADH6,5
2416,FLJ44037,0
2417,FLJ20300,0
2418,GR,88957
2419,FLJ25430,0
2420,AMF,4987
2421, CKB7,0
2422,IGLV,94
2423,KRTAP2.4,1
2424,TCONS_00011425,266
2425, PTX1,111
2426,APP1,87
2427,EPR-1,76
2428, POLR2LP,1
2429,DJ667H12.2,0
2430,NY-ESO-1,1002
2431,FLJ59185,0
2432, DAT1,853
2433,FIT1,134
2434, KRTHA4,0
2435,UGT-1A,56
2436,ANT1,428
2437,C18ORF4,1
2438,CSAG3B,0
2439, TRB6,0
2440,TCBA1,7
2441, MGC39681,0
2442,HOX3,140
2443,S31I125,0
2444,DIA1,119
2445,SIMP,149
2446,CHK,800
2447, TSSC3,122
2448,CSRP,61
2449,EM:AF129756.18,600323
2450, MGC:14091,0
2451,HLA-D0-ALPHA,0
2452,AIS,20065
2453,MCT3,79
2454, NKAT2,8
2455, TSH2,79
2456, RNF47,0
2457,ETK,438
2458,RIG1,235
2459,MRF1,51
2460,CLEC13B,0
2461, MAD2,1396
2462,PSMD5-AS1,1
2463,ILERS,104
2464,GCFX,2
2465,ARM1,82
2466, FLJ25550,0
2467,60B8AG,0
2468, OLF1,50
2469,LINC00046,1
2470,ILWEQ,14
2471,PNR,953
2472,TSSK1,27
2473,CTG26,0
2474,CYP2D6,8868
2475, HNE,5092
2476,C14ORF122,0
2477,HSD17,14
2478,HMP70,2
2479,GPRK1,2
2480,CAT56,4
2481, FLJ34716,0
2482, CNRS7,0
2483,RNF23,2
2484,B18,2214
2485, ZNF173,4
2486,GBBB2,0
2487,OX2R,421
2488,RP11-325I22.2,0
2489,L14,2234
2490,SDH1,118
2491,PN1,2413
2492, PS2,2974
2493, ML-1,65827
2494,MIR-129b,2
2495,U7.29,0
2496, LEC,3362
2497,PN-I,89
2498,PSPA,836
2499,PTE2,84
2500, PLAC1L,0
2501,NANOS1L,0
2502, SFRS17A,2
2503, TRBJ24,0
2504, TRBV121,2
2505, YKLK1,0
2506, KRTAP9L1,0
2507,STAG3L1,2
2508,Oct-4,2027
2509,KRTAP5.6,2
2510,p25,6441
2511,C16DELp11.2,0
2512,NCA,3045
2513,CRYB2B,0
2514, FLJ39417,0
2515,LRH-1,437
2516, CTAGE,12
2517, MGC23130,0
2518,RIG-E,8
2519,CD277,36
2520,FLJ00382,0
2521, SRB5,27
2522, GLUC,1599
2523,ADCAD2,0
2524,p19,5404
2525,D16S2531E,0
2526, XRCC6BP1,3
2527,KRT121P,0
2528,KRT19P5,0
2529, CTSL1P2,0
2530,KAP9A,0
2531, EM:AC004181.3,600323
2532,NIF,2656
2533,XAGE1,44
2534,DJ631M13.3,0
2535,T2,134647
2536,DLD,3624
2537,KIAA0150,1
2538, CD158E2,0
2539, CS-2,3072
2540, MOZART2B,0
2541,KAT,3230
2542, RNU7P4,0
2543,XAP3,3
2544,G6F-LY6G6D,1
2545,UGT1C,0
2546,UGT1A,588
2547, CT104.5,0
2548, MRG,1152
2549, DXS648E,0
2550, HSNFS,5
2551,MIMECAN,110
2552,PAAT,147
2553, PRR28,0
2554,TOF,48780
2555,LEURS,3823
2556,TCRBV6S5A1N1,0
2557,FAAP16,0
2558, PRSS5,0
2559, MGC45036,0
2560,AUGA,213
2561,E4TF1,27
2562,PBI,5102
2563, OR2I3P,0
2564, CMAR,287
2565,SSB2,92
2566, G6PT3,0
2567,U62,778
2568,TCP10,42
2569, TCRBC1,3
2570,SRA1,257
2571,POF,2349
2572,BHD,1999
2573,BAP29,12
2574, SCAD-SRL,0
2575,FJHN,71
2576,MPD6,1
2577, SERS,13398
2578, NAT3,51
2579,TCRBJ2S1,2
2580,OFD1P1,0
2581,AD-004,2
2582,C13ORF45,1
2583,OR7-1,1
2584,TCRBV5S1,2
2585,XPE,169
2586, NZF2,4
2587,GRP170,102
2588,T2R8,2
2589, XTP6,2
2590,LPLAT,33
2591, UQCRHP5,0
2592,PKR1,159
2593, PSP,10541
2594,L23,3168
2595, KIAA0963,0
2596,FLJ35107,0
2597, P62B,0
2598,DEFB-22,0
2599, MRXS3,21
2600,HBP-3,20
2601,GT1,2092
2602,PRL3,310
2603,DEFB-6,0
2604, CPETRL2,0
2605, PARC,21397
2606, PCDHB17,1
2607, SCAR1,66
2608,MRG2,13
2609, U73B,1
2610, DIF3,37
2611,GCCD2,0
2612,CCP2,353
2613, ALPHA-2-PI,123
2614,TC1,2678
2615, TRBV31,8
