,ambiguous symbol,number of abstracts with a match
319,FAM21A,1
320, BA325O24.4,0
321, TRIP,11622
322,ANK,1216
323,PAMP,3308
324, KIAA1267,11
325,RNA5-8S5,2
326,SPANX,42
327,XGPY,1
328, OTF3,64
329,HCA2,119
330, PSBG1,4
331,BA421M1.3,0
332,PGDH,732
333,LRRC37F,0
334, TSBP,24
335, HIST3H2BB,3
336,NP2,872
337, NYD-SP9,0
338, ZFP403,3
339,ERIS,654
340,TCRBV10S2,0
341,TCRD,399
342, CSDA3,0
343,FAPP2,33
344,C8ORF79,2
345,NOL1,36
346,RPS26,102
347, TLP1,56
348,SDR16C6,5
349,MIG2,102
350, FLJ23480,0
351, IL27,2142
352,OCT3,1919
353,TSPY9P,0
354, ILT8,3
355, OR5U1,0
356,SET7,339
357,P58,705
358, RAB11-FIP3,33
359, RHAU,85
360, FUP1,16
361,OI6,5
362,FLJ31644,0
363,CT47.13,0
364,C6ORF22,0
365, RHOK,49
366,BGP,1555
367, LAS1,36
368,CRP2,153
369, MFTL,1
370, RNH,468
371,ZIP2,125
372,GST1,211
373,IGHV(II)-74-1,0
374,SUP,7059
375, MOP3,58
376,HSJ-2,0
377,DRP3,22
378,PGR1,41
379, CAP37,303
380, MUCDHL,10
381,IMP3,432
382,CCDC84,2
383, SURF3,16
384,BT,33370
385, MRT3,11
386,MCM,7277
387, HSPDP3,1
388, SLRR2C,0
389, FANCD,9528
390, FATP3,14
391, NDR1,298
392, CEP5,7
393,RIP1,1570
394,PSS1,112
395,GFAT,207
396,COD1,102
397,FLJ20375,0
398,BRF-1,9
399, MOX2,97
400,HSPG,10728
401,LD,46889
402, MRP1,3905
403, MGC22679,0
404, IEX-1,104
405, MITA,5030
406, PCD,11640
407,C17ORF96,7
408,RhoGAP2,1
409,S3,33264
410, TCRBV5S1A1T,0
411, HINAC,2
412, DDX6-LP,0
413, MRP7,98
414, TNXBS,0
415,FAM2B,0
416, COAS3,6
417,WBSCR20B,2
418,CAS,183037
419,TGT,1436
420, CMIR,107
421, NCRNA00242,0
422,RMD1,15
423,DHX40P,0
424, NUT2,30
425, MIR675HG,0
426, DKFZP686N1651,0
427,MIFR-1,0
428,GAGE-8,1
429, NSUN5C,1
430, TCRBV9S1,0
431, MIRN1234,0
432, PUNP,11
433,DOC1,117
434,HRCA1,3
435,MRP1,3905
436, CHD2-52,0
437,CT44,1
438,JM5,3
439,EM:D84394.5,600323
440, ALP1,149
441,R51H3,2
442, TNX,259
443,DEFA7,1
444,BTF2,44
445, NCRNA00061,0
446, ZINS4,0
447,ADPN,220
448, SUP45L2,0
449, GS2,505
450,BFR2,12
451,CL2,4831
452,TCRBV12S2,0
453, BTKI,335
454, NDE,1101
455,CDA11,6
456, HMFT1638,0
457,IPS,16486
458,CT47.10,0
459, SNT2B2,0
460,VRP,671
461,RTA,4681
462, TDRD16A,0
463, C4B3,17
464,ACP,16522
465,C7orf55,2
466,IP3R,1900
467, ZRC1,52
468, OSGEP1,0
469,C14ORF137,0
470,PBMUCL2,1
471,SYM1,66
472,DIA,14182
473,C14ORF21,0
474, FLJ21919,0
475,TCRBJ1S4,1
476, GOLGIN-67,6
477,ATP5A1P9,0
478, FLJ25205,0
479, CMPD2,5
480,FAM90A7P,1
481, FLJ20756,0
482, ITGA4L,1
483,GATD6,0
484, PSMAL,4
485,CAR,51786
486,REF1,422
487, CD158E1,3
488,MST,8784
489, A3GALT1,0
490,S10,49889
491,BV07S1J2.7,0
492,UBC6,65
493, FOPNL,26
494,EIF-2B,653
495, CESR,154
496,CT1.12,4
497,FAM86D,1
498, MSF,3068
499, DERP6,3
500,DYSFIP1,0
501, TAS2R48,1
502,p68,734
503,STK22D,1
504,GRP,6096
505,C6ORF122,0
506,NRM29,0
507,FAM90A3P,0
508,H2,195814
509,FAM90A19P,0
510,MGC13061,1
511, ILT9,1
512, ERK8,37
513,NABC1,16
514,IBD1,79
515,CMYA2,1
516,MGC10442,0
517, TMEM122,1
518,KIAA0563,1
519,TAK1,2501
520, OR7-141,0
521,RED,434967
522,TMSB15B,3
523,TCRBV5S4,0
524, CBP,9321
525,C-MIR,187
526, GAMM1,2
527,UDPGT 1-1,21
528,BHLHB38,0
529,HLA-DP1A,1
530, PYNOD,12
531,FAT10,200
532, MIRN564,15
533,CCBL1,19
534, IGNT,48
535,RIA1,48
536,GUCA2,1
537,H2AC13,1
538,MAGEE1,28
539,G7,3715
540, SYN,18400
541,MORF4LP4,0
542, P50,116545
543,TBL1,91
544,DNM1DN14@,0
545, ZSCAN39,0
546,BS-63,11
547, OCC1,78
548,H3F3AP1,0
549,CAF-1,355
550,NS3TP1,2
551, AMDPX,0
552,CD85A,7
553,CARK,16
554, PAN1,153
555,FGD2,28
556,C8orf68,0
557, SNT1,38
558, E1,75408
559,LAD,14985
560,AMDD,102
561,KAP2.1A,0
562,CSD,5470
563, RPNII,2
564, DKFZP434K171,0
565,C21ORF66,1
566, SELENOX,0
567,V1RL5,0
568, TRIMLESS,0
569, LOH12CR3,1
570,C11orf5,2
571,HSA-MIR-3159,0
572,MGC17211,0
573, EM:AB014085.3,600323
574, XAGE1,44
575,P2X5,272
576,PCP,16494
577,RN,44701
578, CIRHIN,9
579,SDR25C1,0
580,ASB,2577
581, LISTERIN,32
582, BLTR2,5
583, P29,872
584,ZNF422,0
585,TYRO4,4
586,C11orf2,3
587,CD238,1
588, NCRNA00008,0
589,B9,5706
590, G18.2,1
591, DGAT,811
592, PQLC2L,0
593, WDR30,0
594,CD85D,7
595,CD16A,238
596,KIAA0068,1
597, FAP88,0
598,BRWD2,3
599,KRTAP18.1,1
600, GOLGA6,2
601,PHE5,274
602,TRYP2,15
603,FLJ11323,0
604,HSA-MIR-1234,2
605, MRP-L32,0
606,MOX2,97
607, MGC133289,0
608, FLJ25222,0
609,ARS,44601
610,TARG1,29
611,FBL9,0
612, FCG3,23549
613, VU1.4,0
614,FPRH1,3
615,IGKV1/OR2-6,0
616, GATD9B,0
617, MN,256175
618,DSK2,96
619,ICR2,1427
620,p70,4527
621,SNO,5667
622,PP18,22
623, ITM,2629
624,FAM25C,0
625, LINC00202-1,0
626,SEMAL,125
627,NTN,930
628,IHG1,12
629,TDGF2,2
630,GNG5P,0
631, CTR1,902
632,TSH1,58
633,DC7,35
634,ML1,59266
635, PDZX,0
636, UT2,147
637,WBS,1833
638,Rh4,333
639,FCP1,123
640,FLJ10120,0
641, IRP60,9
642,HIS1,372
643, ATPIF1,43
644, C4A6,34
645,RN5S14,0
646,IPOA8,0
647,HLA-DXA,0
648,ADPRTL2,3
649,TBC1D3,28
650,CAF1,909
651,UBC4,222
652, FLJ36980,0
653, HCGIV.9,0
654, TDGF2,2
655,C17ORF98,0
656, MINT2,120
657, UGD,170
658,HPS2,132
659, P15,6824
660,TAF2A,0
661, T2R53,0
662, RPA12,26
663,LAGE-2,5
664,DKFZP686M05161,0
665,ARP1,273
666,CEH,2285
667,CPX2,12
668,CD158F,3
669,IPP1,34
670, HIST3H2BA,0
671,PI3K,70775
672,RRP2,61
673,PCL1,104
674,KCP1,4
675,p85,3306
676, CAF1,909
677,REX1,656
678, TCAG_1781704,138
679, MLP,4873
680, URP,400
681, SLRR3A,0
682,FLJ20313,0
683, UTP7,2
684,CNR1,1089
685, POF,2349
686,ATG8,1589
687, FLJ31598,0
688, HVEA,52
689,U1P2A,0
690,FLJ43808,0
691,FLJ35171,0
692,TRP2,1049
693,MCMP,66
694,UCMD1,2
695,AR,256155
696, DVB,1368
697, GPR1AS,2
698, G6PT2,0
699, HTPCRX12,0
700, ZNRD1,61
701, LINC00694,1
702,MRP,5905
703,CMS2A,3
704, HCP,8713
705,XKRY1,0
706, NBS1,1564
707,KAT1,249
708, MT1NP,1
709, CDH12P,0
710,CKB12,3
711, TEX292,2
712,OR2R1,0
713,ARP,3217
714,NOC4,13
715, GP110,939
716, MK,46593
717, DJ570F3.5,0
718,TOP,205970
719,B3GNT1,18
720, TRS23,4
721, PH2A/F,1
722,MGC21981,0
723,UBE2Q2P3,0
724, IGHD512,0
725,GGR,472
726,ACRP,48
727,FADS4,2
728, TRBV66,1
729,RPS27AP,0
730, CAF-1,355
731, C21ORF98,0
732, TKAL754,0
733, PFD,2006
734,CYP2D7AP,1
735, GBP,2630
736, INO80D-AS2,0
737,CT1.3,96
738,C16ORF63,1
739, ANKRD36BL1,0
740,HSA-MIR-3649,0
741,TFI,1266
742,FAME3,12
743,CAMB,67268
744,IDDM20,1
745,KAP4.5,0
746,LCA10,19
747, MIA1,10
748,p14,5540
749,KIAA1934,0
750, NOT3H,0
751,AK3L1,10
752,H4C11,3
753,EHK1,9
754,IGKV2/OR2-10,0
755, FLJ75407,0
756, TRBV57,3
757, OR5BU1P,0
758,p34,1543
759,FCG3,23549
760, PADI5,0
761,N2N,1600
762, PRP,22355
763,FLJ21934,0
764, ICLN,95
765, CL-11,304
766, 60B8AG,0
767, PRP4,102
768,IGHD625,1
769, SP17,252
770,CAB,5596
771,C18orf2,3
772,PKB,6413
773,HDMX,80
774,CYP2D8P1,1
775,C9orf2,1
776,EJM,727
777, HM18,33
778,MAPTIT,0
779,TCRAV5S1,2
780,PST,5869
781, OBGH2,1
782, C6ORF37,5
783,IgA,70110
784, mu2,1976
785, FSSV,1
786, ZNT8,433
787, TAFII130,25
788, TNXB2,1
789,TIM1,486
790,CAC,9637
791,HSTF1,28
792,IGHD1B,5
793,HRPE773,2
794, NKAT6,0
795, ZPI,114
796, p36,1492
797, TMDCIII,0
798,IBP,4053
799,AMCD2B,0
800,JKAP,30
801,C1ORF213,0
802, SOSS-A,2
803, P150,1217
804,TCRBV34S1,0
805,HO-2,1985
806,S12,7550
807,C12ORF10,3
808,ARF1P2,0
809,EA1,790
810,ALDRP,29
811, CYP2DP1,0
812,PAB1,235
813, P62,11729
814,HMAT1,27
815,9G8,87
816, ZNF64,2
817, PP13842,0
818,FLJ12614,0
819,TRF,3589
820,OR4F18,0
821,PPK,1465
822, TRB5,4
823, BA145L22.2,0
824,CD158K,34
825, IL-27R,120
826,TCRAV22S1,1
827, MGC5067,0
828, TIM1,486
829, P39,845
830,C6ORF31,1
831,CT45A9,0
832, G4,21543
833,AP1GBP1,0
834,H2BU2P,0
835, Z3CXXC5,0
836,dJ221C16.8,0
837,PSK,1285
838,E1,75408
839,OTF-3,1071
840,C82,462
841,TP53TG3B,2
842, MGC14613,0
843, ZDHHC8P1,3
844,AIBP,70
845, HLA92,2
846, MAM-1,23
847, DKFZP564D1864,0
848, TCRBV25S1A2PT,0
849, SPC7,32
850,TP1,866
851,MIP,20143
852, SEP,3631120
853, FLJ11798,0
854,KOX5,1
855,HEP,39176
856,dJ388M5,0
857,UCRP,64
858,MUC-6,44
859, VARS2L,2
860,KIAA1528,0
861, HLA70,2
862, TMEM55B,17
863, TAS2R62,2
864,OR2A25P,0
865, TCCR,65
866,CONTRIN,11
867,KUB3,10
868, DJ377H14.3,0
869, RPL23AL1,0
870,SMN,4176
871, FAM189B,4
872,FLJ45909,0
873,UBC2,93
874,C9orf36A,0
875, B7RP-1,68
876, PRO1567,0
877, CNIL,212
878, MKP-7,26
879,ADIR2,2
880,CKS1,249
881,HIG1,32
882,EVA,13382
883, GWT1,52
884,GGT2,35
885, OCC-1,27
886,UBCH8,79
887, TRBV81,0
888,DEFB-5,0
889,DA2B,25
890,RHA,5053
891,P54,811
892, p40,15523
893,SAE2,263
894,OR2T4Q,0
895, MPYS,39
896, LPPR1,8
897, KIAA0111,2
898,TFIIH,2288
899,JTK5,2
900, TCRBV21S1,0
901, TCRBV16S1A1N1,0
902,CLDNL,0
903,HSP60P2,0
904, SRAGE,1256
905, CRAC1,19
906,KAP4.9,0
907,AGPG,10
908,SAST,188
909, U73A,1
910, MTMR15,5
911,BAT1P1,0
912,L17,736
913, CIP,7498
914,AN2,325
915, HNRBP2,1
916,HSA-MIR-1976,13
917, U36A,1
918,PXYLT1,0
919,T6,12388
920,DCDC4B,0
921, KOX27,0
922,HOX4,106
923, RBP,7681
924,HS3ST5,10
925,HSA-MIR-1229,17
926,RNU1-7,0
927,HSJ2,8
928,TRY5,13
929,PGCP1,5
930,CGI-105,1
931,C6ORF46,1
932, TCEB1L,2
933,ARH1,66
934,TCRAV11S1,0
935, LIR2,28
936,POTE,696
937, OTX3,19
938, MIF2,119
939,CPEB,358
940, HS.84359,0
941, FCRIIIB,5
942,LAP,9485
943,U86,47
944, PPIAL4B,0
945,HLA-30,4
946, NPIPL2,0
947, KRTAP4-13,0
948, TRBV52,0
949, LRP9,6
950,U3b2,0
951,H3C14,1
952,RP1,1113
953,ATP6C,6
954, JCLN2,0
955, NET23,2
956, MIR1233,17
957, ZNF49,0
958,TCRAV26S1,0
959,MP44,5
960,ELK2.2,0
961,GPR1-AS,1
962, p105,1093
963,BA150A6.3,0
964, KIP2,538
965, WEX1,4
966, LIGHTR,9
967, E3,44025
968, NCAG1,1
969,SH2B,121
970,ECGP,13
971, MGC35136,1
972,TSH2,79
973, HTEX-6,0
974, G6B-B,26
975, PSEUDO-ICE,9
976,PCDH-psi2,0
977,FLJ43580,0
978,LINC01373,0
979, DKFZP686L2452,0
980,AVP,11179
981, FAL1,41
982,NCRNA00102,0
983,PTD009,0
984, SCYA15,1
985,MCAF,239
986,CD158G,0
987,PEP-19,75
988,D15F37S4,0
989,RSS,5781
990,KOR-3,19
991, METTL2,6
992,UGT2B8,8
993,FKBP9L,0
994,TCRBJ1S6,1
995, PPP1R144,0
996,RN5S266,0
997,SIGLECP1,0
998,MGC45441,0
999,CAUXIN,21
1000, ICAAR,16
1001, NM15,15
1002, TCRBV12S2,0
1003, QKF,17
1004, IMAGE:4942737,3070114
1005, MIRN1245,0
1006,COAS3,6
1007,DLK,808
1008,PP2CA,64
1009,MEL,11087
1010, NKB1B,0
1011, EEG1,15
1012,GPATC5,0
1013, DJ266L20.3,0
1014,OR4G7P,0
1015, CRYGEP1,1
1016,MOR2,25
1017, LINCRNA-ENST00000515084,1
1018,LARP,172
1019, NG23,8
1020,GLUT8,181
1021,GAGE7B,4
1022,FA3,90
1023, NCRNA00254,0
1024,EM:AB023049.6,600323
1025, SCYA16,4
1026, SOLO,6173
1027, PHKD,6
1028, MIP-5,49
1029, MIR-10,170
1030,TCRAV1S1,0
1031,ZC2HC5,0
1032,CYPIIIA7,0
1033, BC030336,0
1034,ST1A3/ST1A4,1
1035,STP,3749
1036, PPP1R166,0
1037, LD78,46
1038,APOAL,39
1039, KCNA9,5
1040,OR6-31,0
1041, SCYL2,23
1042,RCK,544
1043,TCRAV16S1,0
1044,p21,56680
1045, TERA,787
1046, PTB,9692
1047, MIRN27A,0
1048, RP42,14
1049,MGC72001,0
1050,SN,3596492
1051,HIST1H2BF,5
1052,RPML3,0
1053,MRE11B,1
1054,MGC4172,0
1055,TRIM49D2P,0
1056, NG37,3
1057,L3,35245
1058,CYPL1,1
1059,LPCAT,127
1060, SAT3,91
1061,CIRH1A,11
1062, MGC8898,0
1063, IGSF16,0
1064,VCF,1617
1065, DDDD,122
1066, MPMGP800B12492Q3,0
1067,RNU1-8,0
1068, TAFII135,8
1069, XE7Y,0
1070, ZC2HC5,0
1071,DOC-1,118
1072,GO,195525
1073, OR6-3,2
1074,HOD,3877
1075, FLJ32021,0
1076,L23MRP,6
1077,TNRC14,0
1078, FLIL,108
1079,EDSC,10
1080,T1,163227
1081,BR,743166
1082,PN-II,125
1083,LINCR-0001,0
1084,IGHV(III)-47-1,1
1085,TRFP,14
1086,OCT1,2282
1087, MIZ,405
1088, D6S54E,0
1089,HSA-MIR-767,29
1090,ZIP4,274
1091,SRA,11569
1092,DKFZP434F076,0
1093,CTAGE15P,0
1094, LPAP,91
1095,OCC1,78
1096, SNF7-1,2
1097, MGC138321,0
1098,FLJ20989,1
1099,NAT1,899
1100,IFNAN,3
1101,HSP70.2,309
1102,LIM1,293
1103, MINT1,175
1104,MSH,12123
1105,FRG2A,0
1106,FAM195B,1
1107, S14,3555
1108, TCRBV5S7P,0
1109,PRC17,2
1110, DNM1DN3@,0
1111,OR2H6,0
1112,NEM1,1811
1113,HS6M1-22,0
1114, TAC2-N,7
1115, SEPT2,151
1116,GGTA1P,6
1117,LOC440348,0
1118, FLJ31547,0
1119, RNF221,0
1120, CRNR7,0
1121,SIL,9270
1122,OR19-18,0
1123, HTRM9L,2
1124, RPL12-L,0
1125,RLP1,28
1126, NG22,9
1127, WBP15,0
1128, RP1,1113
1129,IGHV(III)-38-1,0
1130, YIP6A,1
1131, NCC-3,20
1132,Vph1,62
1133,ADAM21P,0
1134,CFM1,1349
1135, SDR48A1,0
1136,UGT1A1,3366
1137, AAP,5790
1138, APRO5,0
1139,GAGE8,2
1140,TE2,727
1141,SMG,4575
1142,SHSF3,0
1143, XB,3135
1144, FBL7,2
1145, NOX5B,0
1146, FAM101B,7
1147,C16ORF32,0
1148,HMG17L3,0
1149,CCPG,155
1150,HS6M1-12,1
1151,TCF6L1,0
1152,KMS,2852
1153, DNM1DN11@,0
1154, KE3,39
1155, MGC17164,0
1156,PARS,29275
1157,CP27,22
1158,PRSS47,0
1159, TCRBV24S1,1
1160, P35B,16
