,alias_symbol,gene_symbol,ENSG_ID,source,gene_symbol_count
2455,PR,"ERVK-9, ERVK-19, ERVK-24, PGR, ERVK-25, TMEM37, ERVK-10, ERVK-18, ERVK-8, ERVK-21","nan, nan, nan, ENSG00000082175, nan, ENSG00000171227, nan, nan, nan, nan",NCBI Info,81
1288,H4C13,"H4C4, H4C5, H4C9, H4C12, H4C15, H4C8, H4C14, H4C1, H4C2, H4C11, H4C6, H4C3, H4C16","ENSG00000277157, ENSG00000276966, ENSG00000276180, ENSG00000273542, ENSG00000270276, ENSG00000158406, ENSG00000270882, ENSG00000278637, ENSG00000278705, ENSG00000197238, ENSG00000274618, ENSG00000197061, ENSG00000197837",NCBI Info,81
1286,H4C11,"H4C13, H4C3, H4C6, H4C8, H4C14, H4C4, H4C1, H4C2, H4C5, H4C9, H4C12, H4C16, H4C15","ENSG00000275126, ENSG00000197061, ENSG00000274618, ENSG00000158406, ENSG00000270882, ENSG00000277157, ENSG00000278637, ENSG00000278705, ENSG00000276966, ENSG00000276180, ENSG00000273542, ENSG00000197837, ENSG00000270276",NCBI Info,81
1289,H4C14,"H4C1, H4C9, H4C12, H4C5, H4C4, H4C6, H4C3, H4C8, H4C16, H4C13, H4C2, H4C15, H4C11","ENSG00000278637, ENSG00000276180, ENSG00000273542, ENSG00000276966, ENSG00000277157, ENSG00000274618, ENSG00000197061, ENSG00000158406, ENSG00000197837, ENSG00000275126, ENSG00000278705, ENSG00000270276, ENSG00000197238",NCBI Info,81
1287,H4C12,"H4C15, H4C11, H4C13, H4C1, H4C8, H4C5, H4C2, H4C16, H4C14, H4C4, H4C9, H4C3, H4C6","ENSG00000270276, ENSG00000197238, ENSG00000275126, ENSG00000278637, ENSG00000158406, ENSG00000276966, ENSG00000278705, ENSG00000197837, ENSG00000270882, ENSG00000277157, ENSG00000276180, ENSG00000197061, ENSG00000274618",NCBI Info,81
3111,TP53TG3F,"LOC102723655, TP53TG3E, TP53TG3D, TP53TG3B, LOC102723713, TP53TG3C, TP53TG3","nan, ENSG00000275034, ENSG00000205456, ENSG00000261509, ENSG00000275869, ENSG00000205457, ENSG00000183632",NCBI Info,75
3110,TP53TG3E,"TP53TG3, LOC102723713, TP53TG3D, TP53TG3F, TP53TG3B, LOC102723655, TP53TG3C","ENSG00000183632, ENSG00000275869, ENSG00000205456, ENSG00000278848, ENSG00000261509, nan, ENSG00000205457",NCBI Info,75
1958,MT1,"MT1A, MT1B, MT1E, MT1M, MTNR1A, MT1H, MT1JP, MT1L, MT1X, MT1G, MT1IP, MT1F","ENSG00000205362, ENSG00000169688, ENSG00000169715, ENSG00000205364, ENSG00000168412, ENSG00000205358, ENSG00000255986, ENSG00000260549, ENSG00000187193, ENSG00000125144, nan, ENSG00000198417",NCBI Info,74
4319,HOX1,"HOXA4, HOXA13, HOXA11, HOXA9, HOXA7, HOXA6, HOXA5, HOXA1, HOXA10, HOXA3","ENSG00000197576, ENSG00000106031, ENSG00000005073, ENSG00000078399, ENSG00000122592, ENSG00000106006, ENSG00000106004, ENSG00000105991, ENSG00000253293, ENSG00000105997",ENSG,71
1442,HOX1,"HOXA3, HOXA4, HOXA5, HOXA6, HOXA7, HOXA13, HOXA11, HOXA9, HOXA10, HOXA1","ENSG00000105997, ENSG00000197576, ENSG00000106004, ENSG00000106006, ENSG00000122592, ENSG00000106031, ENSG00000005073, ENSG00000078399, ENSG00000253293, ENSG00000105991",NCBI Info,71
