gene_symbol,ENSG_ID,alias_symbol,source
ZBTB18,ENSG00000179456,RP58,HGNC
ZNF513,ENSG00000163795,RP58,HGNC
PDCD2,ENSG00000071994,RP8,HGNC
MT-TS2,ENSG00000210184,RP8,HGNC
HDAC2,ENSG00000196591,RPD3,HGNC
HDAC8,ENSG00000147099,RPD3,HGNC
HDAC3,ENSG00000171720,RPD3,HGNC
RPLP2,ENSG00000177600,RPP2,HGNC
POP7,ENSG00000172336,RPP2,HGNC
PSMC3,ENSG00000165916,RPT5,HGNC
PSMC6,ENSG00000100519,RPT5,HGNC
NOL12,ENSG00000273899,RRP17,HGNC
RASL10B,ENSG00000270885,RRP17,HGNC
PITX2,ENSG00000164093,RS,HGNC
REG1CP,ENSG00000204787,RS,HGNC
DCDC2,ENSG00000146038,RU2,HGNC
HPS5,ENSG00000110756,RU2,HGNC
KAAG1,ENSG00000146049,RU2,HGNC
CHN1,ENSG00000128656,RhoGAP2,HGNC
ARHGAP22,ENSG00000128805,RhoGAP2,HGNC
SMARCD2,ENSG00000108604,Rsc6p,HGNC
SMARCD3,ENSG00000082014,Rsc6p,HGNC
SMARCD1,ENSG00000066117,Rsc6p,HGNC
SMARCC1,ENSG00000173473,Rsc8,HGNC
SMARCC2,ENSG00000139613,Rsc8,HGNC
RPS10,ENSG00000124614,S10,HGNC
PSMD6,ENSG00000163636,S10,HGNC
PSMD7,ENSG00000103035,S12,HGNC
HTR1B,ENSG00000135312,S12,HGNC
RPS12,ENSG00000112306,S12,HGNC
PSMD8,ENSG00000099341,S14,HGNC
THRSP,ENSG00000151365,S14,HGNC
RPS14,ENSG00000164587,S14,HGNC
RPS2,ENSG00000140988,S2,HGNC
PSMD2,ENSG00000175166,S2,HGNC
PSMD3,ENSG00000108344,S3,HGNC
RPS3,ENSG00000149273,S3,HGNC
RPS4Y1,ENSG00000129824,S4,HGNC
RPS4X,ENSG00000198034,S4,HGNC
PSMC1,ENSG00000100764,S4,HGNC
PSMC4,ENSG00000013275,S6,HGNC
RPS6,ENSG00000137154,S6,HGNC
PSMC2,ENSG00000161057,S7,HGNC
RPS7,ENSG00000171863,S7,HGNC
RPS8,ENSG00000142937,S8,HGNC
PSMC5,ENSG00000087191,S8,HGNC
RPS9,ENSG00000170889,S9,HGNC
PSMD11,ENSG00000108671,S9,HGNC
ACSM3,ENSG00000005187,SA,HGNC
RPSA,ENSG00000168028,SA,HGNC
MCM3AP,ENSG00000160294,SAC3,HGNC
FIG4,ENSG00000112367,SAC3,HGNC
APCS,ENSG00000132703,SAP,HGNC
SH2D1A,ENSG00000183918,SAP,HGNC
DEFB4A,ENSG00000171711,SAP1,HGNC
ELK4,ENSG00000158711,SAP1,HGNC
PPP6R3,ENSG00000110075,SAP190,HGNC
PPP6R1,ENSG00000105063,SAP190,HGNC
PPP6R2,ENSG00000100239,SAP190,HGNC
PPP6R3,ENSG00000110075,SAPL,HGNC
NUSAP1,ENSG00000137804,SAPL,HGNC
IQGAP1,ENSG00000140575,SAR1,HGNC
SAR1A,ENSG00000079332,SAR1,HGNC
OLAH,ENSG00000152463,SAST,HGNC
MAST1,ENSG00000105613,SAST,HGNC
SNX25,ENSG00000109762,SBBI31,HGNC
SNX24,ENSG00000064652,SBBI31,HGNC
CENPJ,ENSG00000151849,SCKL4,HGNC
PCNT,ENSG00000160299,SCKL4,HGNC
SCLY,ENSG00000132330,SCL,HGNC
TAL1,ENSG00000162367,SCL,HGNC
KRT7,ENSG00000135480,SCL,HGNC
SYCP1,ENSG00000198765,SCP1,HGNC
CTDSP1,ENSG00000144579,SCP1,HGNC
SYCP2,ENSG00000196074,SCP2,HGNC
CTDSP2,ENSG00000175215,SCP2,HGNC
SARDH,ENSG00000123453,SDH,HGNC
SDS,ENSG00000135094,SDH,HGNC
SNX9,ENSG00000130340,SDP1,HGNC
SCAND1,ENSG00000171222,SDP1,HGNC
NPTN,ENSG00000156642,SDR1,HGNC
DHRS3,ENSG00000162496,SDR1,HGNC
PLXNB1,ENSG00000164050,SEP,HGNC
MMEL1,ENSG00000142606,SEP,HGNC
SEPTIN8,ENSG00000164402,SEP2,HGNC
SEPTIN6,ENSG00000125354,SEP2,HGNC
SARS2,ENSG00000104835,SERS,HGNC
SARS1,ENSG00000031698,SERS,HGNC
CES1,ENSG00000198848,SES1,HGNC
PHETA1,ENSG00000198324,SES1,HGNC
PHETA2,ENSG00000177096,SES2,HGNC
SESN2,ENSG00000130766,SES2,HGNC
HGF,ENSG00000019991,SF,HGNC
KITLG,ENSG00000049130,SF,HGNC
SUGT1,ENSG00000165416,SGT1,HGNC
SGTA,ENSG00000104969,SGT1,HGNC
ELOC,ENSG00000154582,SIII,HGNC
ELOB,ENSG00000103363,SIII,HGNC
ELOA,ENSG00000011007,SIII,HGNC
EFS,ENSG00000100842,SIN,HGNC
POLR3E,ENSG00000058600,SIN,HGNC
TSACC,ENSG00000163467,SIP,HGNC
TP53INP1,ENSG00000164938,SIP,HGNC
RBM14,ENSG00000239306,SIP,HGNC
CACYBP,ENSG00000116161,SIP,HGNC
ZEB2,ENSG00000169554,SIP-1,HGNC
SLC9A3R2,ENSG00000065054,SIP-1,HGNC
ZEB2,ENSG00000169554,SIP1,HGNC
SCAF11,ENSG00000139218,SIP1,HGNC
VPS4A,ENSG00000132612,SKD2,HGNC
NSF,ENSG00000073969,SKD2,HGNC
INPP5K,ENSG00000132376,SKIP,HGNC
SPHKAP,ENSG00000153820,SKIP,HGNC
SNW1,ENSG00000100603,SKIP,HGNC
TAF1C,ENSG00000103168,SL1,HGNC
TAF1A,ENSG00000143498,SL1,HGNC
TAF1B,ENSG00000115750,SL1,HGNC
SLA,ENSG00000155926,SLAP,HGNC
SLMAP,ENSG00000163681,SLAP,HGNC
SYTL1,ENSG00000142765,SLP1,HGNC
SUCO,ENSG00000094975,SLP1,HGNC
SMN1,ENSG00000172062,SMA3,HGNC
GUSBP14,ENSG00000253816,SMA3,HGNC
GUSBP2,ENSG00000241549,SMA3-L,HGNC
GUSBP4,ENSG00000239650,SMA3-L,HGNC
KIFAP3,ENSG00000075945,SMAP,HGNC
C11orf58,ENSG00000110696,SMAP,HGNC
BRD8,ENSG00000112983,SMAP,HGNC
UNC45A,ENSG00000140553,SMAP-1,HGNC
SMAP1,ENSG00000112305,SMAP-1,HGNC
TAGLN,ENSG00000149591,SMCC,HGNC
CNN1,ENSG00000130176,SMCC,HGNC
SNRPN,ENSG00000128739,SMN,HGNC
STMN1,ENSG00000117632,SMN,HGNC
SMARCA2,ENSG00000080503,SNF2,HGNC
SMARCA4,ENSG00000127616,SNF2,HGNC
SMARCA1,ENSG00000102038,SNF2LB,HGNC
SMARCA4,ENSG00000127616,SNF2LB,HGNC
RNPC3,ENSG00000185946,SNRNP65,HGNC
USP39,ENSG00000168883,SNRNP65,HGNC
CCDC54,ENSG00000138483,SP17,HGNC
SPA17,ENSG00000064199,SP17,HGNC
FTSJ1,ENSG00000068438,SPB1,HGNC
FTSJ3,ENSG00000108592,SPB1,HGNC
SPCS1,ENSG00000114902,SPC1,HGNC
FURIN,ENSG00000140564,SPC1,HGNC
PCSK1,ENSG00000175426,SPC3,HGNC
SPCS3,ENSG00000129128,SPC3,HGNC
PBK,ENSG00000168078,SPK,HGNC
SYMPK,ENSG00000125755,SPK,HGNC
LPO,ENSG00000167419,SPO,HGNC
SYNPR,ENSG00000163630,SPO,HGNC
SPRING1,ENSG00000111412,SPRING,HGNC
TRIM9,ENSG00000100505,SPRING,HGNC
SRM,ENSG00000116649,SPS1,HGNC
SEPHS1,ENSG00000086475,SPS1,HGNC
SRP68P3,ENSG00000237911,SRPSMCR,HGNC
SRP68P2,ENSG00000227689,SRPSMCR,HGNC
GYPB,ENSG00000250361,SS,HGNC
SHOX,ENSG00000185960,SS,HGNC
SEC61G,ENSG00000132432,SSS1,HGNC
SCN5A,ENSG00000183873,SSS1,HGNC
TMED1,ENSG00000099203,ST2L,HGNC
IL1RL1,ENSG00000115602,ST2L,HGNC
CDK7,ENSG00000134058,STK1,HGNC
FLT3,ENSG00000122025,STK1,HGNC
PKN2,ENSG00000065243,STK7,HGNC
AURKA,ENSG00000087586,STK7,HGNC
RBPJL,ENSG00000124232,SUH,HGNC
RBPJ,ENSG00000168214,SUH,HGNC
ITSN2,ENSG00000198399,SWAP,HGNC
SFSWAP,ENSG00000061936,SWAP,HGNC
SMARCA2,ENSG00000080503,SWI2,HGNC
SMARCA4,ENSG00000127616,SWI2,HGNC
SPAG9,ENSG00000008294,SYD1,HGNC
SYDE1,ENSG00000105137,SYD1,HGNC
FYN,ENSG00000010810,SYN,HGNC
SYNM,ENSG00000182253,SYN,HGNC
SBNO2,ENSG00000064932,Sno,HGNC
SBNO1,ENSG00000139697,Sno,HGNC
ATP6V0A2,ENSG00000185344,Stv1,HGNC
ATP6V0A4,ENSG00000105929,Stv1,HGNC
ATP6V0A1,ENSG00000033627,Stv1,HGNC
SLC25A4,ENSG00000151729,T1,HGNC
IL1RL1,ENSG00000115602,T1,HGNC
TRAPPC9,ENSG00000167632,T1,HGNC
CD5,ENSG00000110448,T1,HGNC
PAPPA-AS1,ENSG00000256040,TAFII105,HGNC
TAF4B,ENSG00000141384,TAFII105,HGNC
TAOK2,ENSG00000149930,TAO1,HGNC
TAOK1,ENSG00000160551,TAO1,HGNC
USO1,ENSG00000138768,TAP,HGNC
NXF1,ENSG00000162231,TAP,HGNC
FLNB,ENSG00000136068,TAP,HGNC
SEC14L2,ENSG00000100003,TAP,HGNC
TBP,ENSG00000112592,TBP1,HGNC
PSMC3,ENSG00000165916,TBP1,HGNC
TCIM,ENSG00000176907,TC1,HGNC
TCN1,ENSG00000134827,TC1,HGNC
TRAV23DV6,ENSG00000211803,TCRAV17S1,HGNC
TRAV17,ENSG00000211797,TCRAV17S1,HGNC
TRAV41,ENSG00000211820,TCRAV19S1,HGNC
TRAV19,ENSG00000211799,TCRAV19S1,HGNC
TRAV35,ENSG00000211814,TCRAV25S1,HGNC
TRAV25,ENSG00000211806,TCRAV25S1,HGNC
TRAV40,ENSG00000211819,TCRAV31S1,HGNC
TRAV31,ENSG00000249048,TCRAV31S1,HGNC
TRAV26-2,ENSG00000211812,TCRAV4S1,HGNC
TRAV4,ENSG00000211778,TCRAV4S1,HGNC
TRBV10-1,ENSG00000211717,TCRBV12S2,HGNC
TRBV12-2,ENSG00000211739,TCRBV12S2,HGNC
TRBV10-2,ENSG00000229769,TCRBV12S3,HGNC
TRBV12-3,ENSG00000274752,TCRBV12S3,HGNC
TRBV13,ENSG00000276405,TCRBV13S1,HGNC
TRBV6-5,ENSG00000211721,TCRBV13S1,HGNC
TRBV14,ENSG00000275743,TCRBV14S1,HGNC
TRBV27,ENSG00000211752,TCRBV14S1,HGNC
TRBV15,ENSG00000276819,TCRBV15S1,HGNC
TRBV24-1,ENSG00000211750,TCRBV15S1,HGNC
TRBV11-1,ENSG00000211720,TCRBV21S1,HGNC
TRBV21-1,ENSG00000251578,TCRBV21S1,HGNC
TRBV20-1,ENSG00000211747,TCRBV2S1,HGNC
TRBV2,ENSG00000226660,TCRBV2S1,HGNC
TRBV3-1,ENSG00000237702,TCRBV3S1,HGNC
TRBV28,ENSG00000211753,TCRBV3S1,HGNC
ETV7,ENSG00000010030,TEL2,HGNC
TELO2,ENSG00000100726,TEL2,HGNC
TERC,ENSG00000270141,TER,HGNC
TECR,ENSG00000099797,TER,HGNC
SINHCAF,ENSG00000139146,TERA,HGNC
VCP,ENSG00000165280,TERA,HGNC
GTF2A2,ENSG00000140307,TFIIA,HGNC
GTF2A1,ENSG00000165417,TFIIA,HGNC
GTF2F1,ENSG00000125651,TFIIF,HGNC
GTF2F2,ENSG00000188342,TFIIF,HGNC
GTF2F2P1,ENSG00000251254,TFIIF,HGNC
GTF2H3,ENSG00000111358,TFIIH,HGNC
GTF2H4,ENSG00000213780,TFIIH,HGNC
GTF2H2,ENSG00000145736,TFIIH,HGNC
GTF2H1,ENSG00000110768,TFIIH,HGNC
GTF2H5,ENSG00000272047,TFIIH,HGNC
BDP1,ENSG00000145734,TFIIIB90,HGNC
BRF1,ENSG00000185024,TFIIIB90,HGNC
TCEA2,ENSG00000171703,TFIIS,HGNC
TCEA1,ENSG00000187735,TFIIS,HGNC
USP14,ENSG00000101557,TGT,HGNC
QTRT1,ENSG00000213339,TGT,HGNC
GPRC5A,ENSG00000013588,TIG1,HGNC
RARRES1,ENSG00000118849,TIG1,HGNC
RUVBL1,ENSG00000175792,TIH1,HGNC
PHLDA3,ENSG00000174307,TIH1,HGNC
TIMELESS,ENSG00000111602,TIM,HGNC
ARHGEF5,ENSG00000050327,TIM,HGNC
HAVCR1,ENSG00000113249,TIM1,HGNC
ARHGEF5,ENSG00000050327,TIM1,HGNC
TIMELESS,ENSG00000111602,TIM1,HGNC
ITFG1,ENSG00000129636,TIP,HGNC
METTL8,ENSG00000123600,TIP,HGNC
PTH2,ENSG00000142538,TIP39,HGNC
TFIP11,ENSG00000100109,TIP39,HGNC
CRIP3,ENSG00000146215,TLP,HGNC
TBPL1,ENSG00000028839,TLP,HGNC
PYCARD,ENSG00000103490,TMS-1,HGNC
SERINC3,ENSG00000132824,TMS-1,HGNC
CLEC3B,ENSG00000163815,TN,HGNC
TNC,ENSG00000041982,TN,HGNC
C16orf82,ENSG00000234186,TNT,HGNC
TNNT1,ENSG00000105048,TNT,HGNC
LCN1,ENSG00000160349,TP,HGNC
TMPO,ENSG00000120802,TP,HGNC
TERT,ENSG00000164362,TP2,HGNC
TNP2,ENSG00000178279,TP2,HGNC
SLC25A19,ENSG00000125454,TPC,HGNC
CCDC6,ENSG00000108091,TPC,HGNC
PDSS1,ENSG00000148459,TPT,HGNC
SHH,ENSG00000164690,TPT,HGNC
TERC,ENSG00000270141,TR,HGNC
TMEFF2,ENSG00000144339,TR,HGNC
F2R,ENSG00000181104,TR,HGNC
TXNRD2,ENSG00000184470,TR,HGNC
TNFRSF11B,ENSG00000164761,TR1,HGNC
TAS1R1,ENSG00000173662,TR1,HGNC
TAS1R2,ENSG00000179002,TR2,HGNC
TNFRSF14,ENSG00000157873,TR2,HGNC
TXNRD3,ENSG00000197763,TR2,HGNC
NR4A1,ENSG00000123358,TR3,HGNC
TXNRD2,ENSG00000184470,TR3,HGNC
TNFRSF25,ENSG00000215788,TR3,HGNC
TICAM2,ENSG00000243414,TRAM,HGNC
TRAM1,ENSG00000067167,TRAM,HGNC
ZBED1,ENSG00000214717,TRAMP,HGNC
TRAM1,ENSG00000067167,TRAMP,HGNC
TNFRSF25,ENSG00000215788,TRAMP,HGNC
CD40LG,ENSG00000102245,TRAP,HGNC
ACP5,ENSG00000102575,TRAP,HGNC
SCYL1,ENSG00000142186,TRAP,HGNC
TAS2R14,ENSG00000212127,TRB1,HGNC
TRIB1,ENSG00000173334,TRB1,HGNC
TRIB2,ENSG00000071575,TRB2,HGNC
TAS2R10,ENSG00000121318,TRB2,HGNC
TRIB3,ENSG00000101255,TRB3,HGNC
TAS2R13,ENSG00000212128,TRB3,HGNC
TARBP2P1,,TRBP,HGNC
NCOA6,ENSG00000198646,TRBP,HGNC
TERF1,ENSG00000147601,TRF,HGNC
IL5,ENSG00000113525,TRF,HGNC
TERF2,ENSG00000132604,TRF2,HGNC
TBPL1,ENSG00000028839,TRF2,HGNC
TRAIP,ENSG00000183763,TRIP,HGNC
LRRFIP1,ENSG00000124831,TRIP,HGNC
NTRK1,ENSG00000198400,TRK,HGNC
TPM3,ENSG00000143549,TRK,HGNC
PRSS3,ENSG00000010438,TRY3,HGNC
PRSS3P3,ENSG00000277083,TRY3,HGNC
CACNA1C,ENSG00000151067,TS,HGNC
TBXAS1,ENSG00000059377,TS,HGNC
CTR9,ENSG00000198730,TSBP,HGNC
TSBP1,ENSG00000204296,TSBP,HGNC
TWSG1,ENSG00000128791,TSG,HGNC
RASEF,ENSG00000165105,TSG,HGNC
TSHZ1,ENSG00000179981,TSH1,HGNC
THNSL1,ENSG00000185875,TSH1,HGNC
TSHZ2,ENSG00000182463,TSH2,HGNC
THNSL2,ENSG00000144115,TSH2,HGNC
LMO1,ENSG00000166407,TTG1,HGNC
ODR4,ENSG00000157181,TTG1,HGNC
ADAMTS13,ENSG00000160323,TTP,HGNC
ZFP36,ENSG00000128016,TTP,HGNC
TTTY12,ENSG00000237048,TTY11,HGNC
TTTY11,ENSG00000180910,TTY11,HGNC
SNORD13P3,ENSG00000239128,U13,HGNC
SNORD13P2,,U13,HGNC
SNORD13P1,ENSG00000238498,U13,HGNC
SNORD13,ENSG00000239039,U13,HGNC
SNORD14A,ENSG00000272034,U14,HGNC
SNORD14B,ENSG00000201403,U14,HGNC
SNORA74A,ENSG00000200959,U19,HGNC
EAF2,ENSG00000145088,U19,HGNC
RNU2-1,ENSG00000274585,U2,HGNC
RNU2-4P,ENSG00000277084,U2,HGNC
RNU2-3P,ENSG00000222076,U2,HGNC
RNU2-2P,ENSG00000222328,U2,HGNC
RNU2-5P,ENSG00000222465,U2,HGNC
SNORD3P1,ENSG00000200318,U3,HGNC
SNORD3P4,,U3,HGNC
SNORD3P3,,U3,HGNC
SNORD3A,ENSG00000263934,U3,HGNC
SNORD3F,,U3,HGNC
SNORD3B-1,ENSG00000265185,U3b2,HGNC
SNORD3B-2,ENSG00000262074,U3b2,HGNC
RNU4-1,ENSG00000200795,U4,HGNC
RNU4-3P,,U4,HGNC
RNU4-8P,ENSG00000201806,U4,HGNC
RNU4-7P,ENSG00000201628,U4,HGNC
RNU4-6P,ENSG00000222736,U4,HGNC
RNU4-5P,ENSG00000272160,U4,HGNC
RNU4-4P,ENSG00000201458,U4,HGNC
RNU5A-1,ENSG00000199568,U5B1,HGNC
RNU5B-1,ENSG00000200156,U5B1,HGNC
RNU6-1,ENSG00000206625,U6,HGNC
RNU6-50P,ENSG00000199226,U6,HGNC
SNORD62A,ENSG00000235284,U62,HGNC
SNORD62B,ENSG00000231587,U62,HGNC
SCARNA5,ENSG00000252010,U87,HGNC
SNORD87,ENSG00000254341,U87,HGNC
UBE2B,ENSG00000119048,UBC2,HGNC
UBE2A,ENSG00000077721,UBC2,HGNC
UBE2G1,ENSG00000132388,UBC7,HGNC
UBE2G2,ENSG00000184787,UBC7,HGNC
UBXN1,ENSG00000162191,UBXD10,HGNC
NSFL1C,ENSG00000088833,UBXD10,HGNC
ISG15,ENSG00000187608,UCRP,HGNC
CLRN1-AS1,ENSG00000239265,UCRP,HGNC
UBE4B,ENSG00000130939,UFD2,HGNC
UBE4A,ENSG00000110344,UFD2,HGNC
SLC35A2,ENSG00000102100,UGT,HGNC
UGT1A,,UGT,HGNC
SIL1,ENSG00000120725,ULG5,HGNC
LHCGR,ENSG00000138039,ULG5,HGNC
UNG,ENSG00000076248,UNG2,HGNC
CCNO,ENSG00000152669,UNG2,HGNC
CSDE1,ENSG00000009307,UNR,HGNC
P2RY4,ENSG00000186912,UNR,HGNC
UPK2,ENSG00000110375,UP2,HGNC
UPP2,ENSG00000007001,UP2,HGNC
PRAP1,ENSG00000165828,UPA,HGNC
PLAU,ENSG00000122861,UPA,HGNC
UCN2,ENSG00000145040,URP,HGNC
UNC50,ENSG00000115446,URP,HGNC
UTS2B,ENSG00000188958,URP,HGNC
ZRSR2,ENSG00000169249,URP,HGNC
ARMH4,ENSG00000139971,UT2,HGNC
SLC14A2,ENSG00000132874,UT2,HGNC
TRGV5P,ENSG00000228668,V1S5P,HGNC
TRGV6,ENSG00000226212,V1S5P,HGNC
ATP6V1B2,ENSG00000147416,VATB,HGNC
ATP6V1B1,ENSG00000116039,VATB,HGNC
TBC1D8,ENSG00000204634,VRP,HGNC
VEGFC,ENSG00000150630,VRP,HGNC
CAMK1G,ENSG00000008118,VWS1,HGNC
IRF6,ENSG00000117595,VWS1,HGNC
ATP6V1G1,ENSG00000136888,Vma10,HGNC
ATP6V1G2,ENSG00000213760,Vma10,HGNC
ATP6V1G3,ENSG00000151418,Vma10,HGNC
ATP6V1B1,ENSG00000116039,Vma2,HGNC
ATP6V1B2,ENSG00000147416,Vma2,HGNC
ATP6V0A4,ENSG00000105929,Vph1,HGNC
ATP6V0A1,ENSG00000033627,Vph1,HGNC
ATP6V0A2,ENSG00000185344,Vph1,HGNC
WT1,ENSG00000184937,WAGR,HGNC
PAX6,ENSG00000007372,WAGR,HGNC
NSUN5P1,ENSG00000223705,WBSCR20B,HGNC
NSUN5P2,ENSG00000106133,WBSCR20B,HGNC
RBCK1,ENSG00000125826,XAP4,HGNC
POLR2E,ENSG00000099817,XAP4,HGNC
LINC02663,ENSG00000228636,XLOC_008466,HGNC
LINC02633,ENSG00000224265,XLOC_008466,HGNC
TVP23B,ENSG00000171928,YDR084C,HGNC
TVP23A,ENSG00000166676,YDR084C,HGNC
GOLT1A,ENSG00000174567,YMR292W,HGNC
GOLT1B,ENSG00000111711,YMR292W,HGNC
ZACN,ENSG00000186919,ZAC,HGNC
PLAGL1,ENSG00000118495,ZAC,HGNC
YLPM1,ENSG00000119596,ZAP,HGNC
ZC3HAV1,ENSG00000105939,ZAP,HGNC
TRIP4,ENSG00000103671,ZC2HC5,HGNC
KAT5,ENSG00000172977,ZC2HC5,HGNC
STRN4,ENSG00000090372,ZIN,HGNC
RNF216,ENSG00000011275,ZIN,HGNC
DAPK3,ENSG00000167657,ZIP,HGNC
ZGPAT,ENSG00000197114,ZIP,HGNC
SLC39A4,ENSG00000147804,ZIP4,HGNC
TEX11,ENSG00000120498,ZIP4,HGNC
ZNF22,ENSG00000165512,ZNF422,HGNC
PHF8,ENSG00000172943,ZNF422,HGNC
SLC30A8,ENSG00000164756,ZNT8,HGNC
SLC30A10,ENSG00000196660,ZNT8,HGNC
SLC30A1,ENSG00000170385,ZRC1,HGNC
SLC30A10,ENSG00000196660,ZRC1,HGNC
ZNF585B,ENSG00000245680,Zfp27,HGNC
ZNF585A,ENSG00000196967,Zfp27,HGNC
AGAP13P,ENSG00000243289,bA548K23.1,HGNC
C10orf62,ENSG00000203942,bA548K23.1,HGNC
CFTR,ENSG00000001626,dJ760C5.1,HGNC
CFTRP1,ENSG00000228593,dJ760C5.1,HGNC
AP2M1,ENSG00000161203,mu2,HGNC
AP1M2,ENSG00000129354,mu2,HGNC
KLK8,ENSG00000129455,neuropsin,HGNC
OPN5,ENSG00000124818,neuropsin,HGNC
SND1,ENSG00000197157,p100,HGNC
TPX2,ENSG00000088325,p100,HGNC
NFKB2,ENSG00000077150,p105,HGNC
NFKB1,ENSG00000109320,p105,HGNC
USO1,ENSG00000138768,p115,HGNC
ARHGAP4,ENSG00000089820,p115,HGNC
H3P5,ENSG00000231712,p12,HGNC
POLE4,ENSG00000115350,p12,HGNC
POLD4,ENSG00000175482,p12,HGNC
RASA1,ENSG00000145715,p120,HGNC
NOP2,ENSG00000111641,p120,HGNC
CTNND1,ENSG00000198561,p120,HGNC
BRD8,ENSG00000112983,p120,HGNC
H3P6,ENSG00000235655,p13,HGNC
EXOSC1,ENSG00000171311,p13,HGNC
LAMTOR2,ENSG00000116586,p14,HGNC
CDKN2A,ENSG00000147889,p14,HGNC
H3P8,ENSG00000270915,p14,HGNC
CDK2AP2,ENSG00000167797,p14,HGNC
SUB1,ENSG00000113387,p14,HGNC
H3P9,ENSG00000227430,p15,HGNC
MRPL28,ENSG00000086504,p15,HGNC
SUB1,ENSG00000113387,p15,HGNC
ANPEP,ENSG00000166825,p150,HGNC
PIK3R4,ENSG00000196455,p150,HGNC
ABL1,ENSG00000097007,p150,HGNC
CDKN2A,ENSG00000147889,p16,HGNC
H3P10,ENSG00000229421,p16,HGNC
RPL29P31,,p17,HGNC
FAM72A,ENSG00000196550,p17,HGNC
H3P11,ENSG00000230111,p17,HGNC
POLE3,ENSG00000148229,p17,HGNC
CDKN2C,ENSG00000123080,p18,HGNC
H3P12,ENSG00000230618,p18,HGNC
ATRAID,ENSG00000138085,p18,HGNC
TPPP2,ENSG00000179636,p18,HGNC
LAMTOR1,ENSG00000149357,p18,HGNC
RRBP1,ENSG00000125844,p180,HGNC
POLA1,ENSG00000101868,p180,HGNC
H3P13,ENSG00000243977,p19,HGNC
CDKN2A,ENSG00000147889,p19,HGNC
CDKN2D,ENSG00000129355,p19,HGNC
TPPP3,ENSG00000159713,p20,HGNC
H3P14,ENSG00000250966,p20,HGNC
ARFGEF1,ENSG00000066777,p200,HGNC
HEATR5B,ENSG00000008869,p200,HGNC
CDKN1A,ENSG00000124762,p21,HGNC
TCEAL1,ENSG00000172465,p21,HGNC
H3P16,ENSG00000178458,p21,HGNC
CHP1,ENSG00000187446,p22,HGNC
PHB2,ENSG00000215021,p22,HGNC
DYNC1H1,ENSG00000197102,p22,HGNC
EIF4G1,ENSG00000114867,p220,HGNC
NPAT,ENSG00000149308,p220,HGNC
H3P17,ENSG00000248205,p23,HGNC
PTGES3,ENSG00000110958,p23,HGNC
TMED10,ENSG00000170348,p23,HGNC
NRSN1,ENSG00000152954,p24,HGNC
H3P19,ENSG00000271296,p24,HGNC
CHP1,ENSG00000187446,p24,HGNC
DCTN5,ENSG00000166847,p25,HGNC
TPPP,ENSG00000171368,p25,HGNC
PSMD9,ENSG00000110801,p27,HGNC
ZNRD2,ENSG00000173465,p27,HGNC
H3P23,ENSG00000250705,p27,HGNC
PSMD10,ENSG00000101843,p28,HGNC
IL27,ENSG00000197272,p28,HGNC
H3P24,ENSG00000251118,p28,HGNC
PRDX6,ENSG00000117592,p29,HGNC
SYF2,ENSG00000117614,p29,HGNC
PSMD8,ENSG00000099341,p31,HGNC
USE1,ENSG00000053501,p31,HGNC
ING1,ENSG00000153487,p33,HGNC
LTB,ENSG00000227507,p33,HGNC
CCNH,ENSG00000134480,p34,HGNC
AAGAB,ENSG00000103591,p34,HGNC
CDK5R1,ENSG00000176749,p35,HGNC
IL12A,ENSG00000168811,p35,HGNC
UPK3B,ENSG00000243566,p35,HGNC
H3C9P,ENSG00000220875,p36,HGNC
NT5C3A,ENSG00000122643,p36,HGNC
CCNH,ENSG00000134480,p37,HGNC
UBXN2B,ENSG00000215114,p37,HGNC
AIMP2,ENSG00000106305,p38,HGNC
AHSA1,ENSG00000100591,p38,HGNC
MAPK14,ENSG00000112062,p38,HGNC
ARMH1,ENSG00000198520,p40,HGNC
RPSA,ENSG00000168028,p40,HGNC
TP63,ENSG00000073282,p40,HGNC
H3P28,ENSG00000220347,p40,HGNC
LANCL1,ENSG00000115365,p40,HGNC
H3P30,ENSG00000227443,p42,HGNC
CDK20,ENSG00000156345,p42,HGNC
PSMC6,ENSG00000100519,p42,HGNC
AIMP1,ENSG00000164022,p43,HGNC
H3P31,ENSG00000232466,p43,HGNC
GTF2H2,ENSG00000145736,p44,HGNC
IFI44,ENSG00000137965,p44,HGNC
H3P33,ENSG00000255492,p44,HGNC
WDR77,ENSG00000116455,p44,HGNC
SKP2,ENSG00000145604,p45,HGNC
PSMC5,ENSG00000087191,p45,HGNC
H3P37,ENSG00000270433,p47,HGNC
NSFL1C,ENSG00000088833,p47,HGNC
ING1,ENSG00000153487,p47,HGNC
PTF1A,ENSG00000168267,p48,HGNC
H3P38,ENSG00000259389,p48,HGNC
H3P39,ENSG00000259338,p49,HGNC
SRFBP1,ENSG00000151304,p49,HGNC
ASCC1,ENSG00000138303,p50,HGNC
NFKB1,ENSG00000109320,p50,HGNC
CD40,ENSG00000101017,p50,HGNC
H3P40,ENSG00000258570,p50,HGNC
H3P41,ENSG00000265541,p51,HGNC
TP63,ENSG00000073282,p51,HGNC
PSIP1,ENSG00000164985,p52,HGNC
NFKB2,ENSG00000077150,p52,HGNC
H3P42,ENSG00000271626,p52,HGNC
SRSF11,ENSG00000116754,p54,HGNC
H3P43,ENSG00000226436,p54,HGNC
ERG,ENSG00000157554,p55,HGNC
