gene_symbol,ENSG_ID,alias_symbol,source
CRISP1,ENSG00000124812,ARP,HGNC
MANF,ENSG00000145050,ARP,HGNC
ANGPTL1,ENSG00000116194,ARP1,HGNC
PITX2,ENSG00000164093,ARP1,HGNC
APOBEC2,ENSG00000124701,ARP1,HGNC
ACTR1A,ENSG00000138107,ARP1,HGNC
ACTR3B,ENSG00000133627,ARP11,HGNC
ACTR3C,ENSG00000106526,ARP11,HGNC
AICDA,ENSG00000111732,ARP2,HGNC
ACTR2,ENSG00000138071,ARP2,HGNC
ANGPTL2,ENSG00000136859,ARP2,HGNC
APOBEC3A,ENSG00000128383,ARP3,HGNC
ACTR3,ENSG00000115091,ARP3,HGNC
APOBEC3C,ENSG00000244509,ARP5,HGNC
ANGPTL6,ENSG00000130812,ARP5,HGNC
ACTR6,ENSG00000075089,ARP6,HGNC
APOBEC3D,ENSG00000243811,ARP6,HGNC
ACTR8,ENSG00000113812,ARP8,HGNC
APOBEC3F,ENSG00000128394,ARP8,HGNC
LINC02605,ENSG00000261618,AS,HGNC
UBE3A,ENSG00000114062,AS,HGNC
PYDC1,ENSG00000169900,ASC2,HGNC
NCOA6,ENSG00000198646,ASC2,HGNC
ASH1L,ENSG00000116539,ASH1,HGNC
ASCL1,ENSG00000139352,ASH1,HGNC
ASH2L,ENSG00000129691,ASH2,HGNC
ASCL2,ENSG00000183734,ASH2,HGNC
SMPD1,ENSG00000166311,ASM,HGNC
H19,ENSG00000130600,ASM,HGNC
A1CF,ENSG00000148584,ASP,HGNC
ATG5,ENSG00000057663,ASP,HGNC
ROPN1L,ENSG00000145491,ASP,HGNC
TMPRSS11D,ENSG00000153802,ASP,HGNC
ASPM,ENSG00000066279,ASP,HGNC
ASPA,ENSG00000108381,ASP,HGNC
ASIP,ENSG00000101440,ASP,HGNC
PGR-AS1,ENSG00000282728,AT1,HGNC
AGTR1,ENSG00000144891,AT1,HGNC
SLC33A1,ENSG00000169359,AT1,HGNC
PGR-AS1,ENSG00000282728,AT2,HGNC
AGTR2,ENSG00000180772,AT2,HGNC
ANTXR1,ENSG00000169604,ATR,HGNC
SERPINA2,ENSG00000258597,ATR,HGNC
ENPP2,ENSG00000136960,ATX,HGNC
SMG1,ENSG00000157106,ATX,HGNC
OAZ1,ENSG00000104904,AZ1,HGNC
CEP131,ENSG00000141577,AZ1,HGNC
MS4A1,ENSG00000156738,B1,HGNC
BBS9,ENSG00000122507,B1,HGNC
NDUFB3,ENSG00000119013,B12,HGNC
TNFAIP1,ENSG00000109079,B12,HGNC
NDUFB6,ENSG00000165264,B17,HGNC
DONSON,ENSG00000159147,B17,HGNC
NDUFB7,ENSG00000099795,B18,HGNC
EVA1C,ENSG00000166979,B18,HGNC
MRO,ENSG00000134042,B29,HGNC
CD79B,ENSG00000007312,B29,HGNC
ATN1,ENSG00000111676,B37,HGNC
C21orf62,ENSG00000205929,B37,HGNC
B3GNT2,ENSG00000170340,B3GN-T1,HGNC
B4GAT1,ENSG00000174684,B3GN-T1,HGNC
HHLA2,ENSG00000114455,B7-H5,HGNC
VSIR,ENSG00000107738,B7-H5,HGNC
NDUFA3,ENSG00000170906,B9,HGNC
B9D1,ENSG00000108641,B9,HGNC
SMARCA2,ENSG00000080503,BAF190,HGNC
SMARCA4,ENSG00000127616,BAF190,HGNC
MAGI1,ENSG00000151276,BAP1,HGNC
RNF2,ENSG00000121481,BAP1,HGNC
BFAR,ENSG00000103429,BAR,HGNC
ADRB2,ENSG00000169252,BAR,HGNC
ARL2BP,ENSG00000102931,BART,HGNC
BSND,ENSG00000162399,BART,HGNC
MBOAT7,ENSG00000125505,BB1,HGNC
NMBR,ENSG00000135577,BB1,HGNC
ICAM1,ENSG00000090339,BB2,HGNC
GRPR,ENSG00000126010,BB2,HGNC
PIK3AP1,ENSG00000155629,BCAP,HGNC
PHF11,ENSG00000136147,BCAP,HGNC
SMN2,ENSG00000205571,BCD541,HGNC
SMN1,ENSG00000172062,BCD541,HGNC
ARID3B,ENSG00000179361,BDP,HGNC
PPM1K,ENSG00000163644,BDP,HGNC
KCNH3,ENSG00000135519,BEC1,HGNC
CLDN5,ENSG00000184113,BEC1,HGNC
DUSP13,ENSG00000079393,BEDP,HGNC
APOBEC1,ENSG00000111701,BEDP,HGNC
KCNQ2,ENSG00000075043,BFNC,HGNC
CHRNA4,ENSG00000101204,BFNC,HGNC
DMD,ENSG00000198947,BMD,HGNC
BEST1,ENSG00000167995,BMD,HGNC
RTL10,ENSG00000215012,BOP,HGNC
OPN1SW,ENSG00000128617,BOP,HGNC
SMYD1,ENSG00000115593,BOP,HGNC
ICE2,ENSG00000128915,BRCC1,HGNC
BRCA1,ENSG00000012048,BRCC1,HGNC
BLID,ENSG00000259571,BRCC2,HGNC
BRCA2,ENSG00000139618,BRCC2,HGNC
AKAP13,ENSG00000170776,BRX,HGNC
CHIC1,ENSG00000204116,BRX,HGNC
ERCC3,ENSG00000163161,BTF2,HGNC
GTF2H1,ENSG00000110768,BTF2,HGNC
GTF2H2,ENSG00000145736,BTF2,HGNC
BTN2A2,ENSG00000124508,BTF2,HGNC
GTF2H3,ENSG00000111358,BTF2,HGNC
GTF2F1,ENSG00000125651,BTF4,HGNC
GTF2F2,ENSG00000188342,BTF4,HGNC
BTN1A1,ENSG00000124557,BTN1,HGNC
CLN3,ENSG00000188603,BTN1,HGNC
TRGC1,ENSG00000211689,C1,HGNC
ARHGAP4,ENSG00000089820,C1,HGNC
PFDN4,ENSG00000101132,C1,HGNC
POLR3K,ENSG00000161980,C11,HGNC
AKR1C4,ENSG00000198610,C11,HGNC
CRCP,ENSG00000241258,C17,HGNC
CYTL1,ENSG00000170891,C17,HGNC
