HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:11022	UGAT	7355	ENSG00000102100	SLC35A2
HGNC:11022	UGT	7355	ENSG00000102100	SLC35A2
HGNC:11022	UGT1	7355	ENSG00000102100	SLC35A2
HGNC:11022	UGT2	7355	ENSG00000102100	SLC35A2
HGNC:11022	UGTL	7355	ENSG00000102100	SLC35A2
HGNC:11022	UDP-Gal-Tr	7355	ENSG00000102100	SLC35A2
HGNC:11023		23443	ENSG00000117620	SLC35A3
HGNC:20753		113829	ENSG00000176087	SLC35A4
HGNC:20792	FLJ20730	55032	ENSG00000138459	SLC35A5
HGNC:20798	UGTREL1	10237	ENSG00000121073	SLC35B1
HGNC:20798	AXER	10237	ENSG00000121073	SLC35B1
HGNC:16872	UGTrel4	347734	ENSG00000157593	SLC35B2
HGNC:21601	CGI-19	51000	ENSG00000124786	SLC35B3
HGNC:21601	dJ453H5.1	51000	ENSG00000124786	SLC35B3
HGNC:21601	PAPST2	51000	ENSG00000124786	SLC35B3
HGNC:20584	FLJ14697	84912	ENSG00000205060	SLC35B4
HGNC:20584	YEA4	84912	ENSG00000205060	SLC35B4
HGNC:20197	FUCT1	55343	ENSG00000181830	SLC35C1
HGNC:20197	FLJ11320	55343	ENSG00000181830	SLC35C1
HGNC:17117	CGI-15	51006	ENSG00000080189	SLC35C2
HGNC:17117	bA394O2.1	51006	ENSG00000080189	SLC35C2
HGNC:54894		100129483	ENSG00000223498	SLC35C2P1
HGNC:20800	UGTREL7	23169	ENSG00000116704	SLC35D1
HGNC:20800	KIAA0260	23169	ENSG00000116704	SLC35D1
HGNC:20799	UGTrel8	11046	ENSG00000130958	SLC35D2
HGNC:20799	SQV7L	11046	ENSG00000130958	SLC35D2
HGNC:15621		340146	ENSG00000182747	SLC35D3
HGNC:20803	FLJ14251	79939	ENSG00000127526	SLC35E1
HGNC:42046		727991	ENSG00000238286	SLC35E1P1
HGNC:20863	KIAA0447	9906	ENSG00000215790	SLC35E2A
HGNC:20863	SLC35E2AP	9906	ENSG00000215790	SLC35E2A
HGNC:20863	SLC35E2P	9906	ENSG00000215790	SLC35E2A
HGNC:33941		728661	ENSG00000189339	SLC35E2B
HGNC:20864	BLOV1	55508	ENSG00000175782	SLC35E3
HGNC:17058		339665	ENSG00000100036	SLC35E4
HGNC:21483	dJ230I3.1	222553	ENSG00000196376	SLC35F1
HGNC:23615	FLJ13018	54733	ENSG00000110660	SLC35F2
HGNC:23616	FLJ37712	148641	ENSG00000183780	SLC35F3
HGNC:41027		102724100	ENSG00000236244	SLC35F3-AS1
HGNC:19845	FLJ37712	341880	ENSG00000151812	SLC35F4
HGNC:23617	FLJ22004	80255	ENSG00000115084	SLC35F5
HGNC:26055	FLJ20555	54978	ENSG00000213699	SLC35F6
HGNC:26055	ANT2BP	54978	ENSG00000213699	SLC35F6
HGNC:26055	TANGO9	54978	ENSG00000213699	SLC35F6
HGNC:26607	FLJ33990	159371	ENSG00000176273	SLC35G1
HGNC:26607	C10orf60	159371	ENSG00000176273	SLC35G1
HGNC:26607	POST	159371	ENSG00000176273	SLC35G1
HGNC:28480	MGC3295	80723	ENSG00000168917	SLC35G2
HGNC:28480	DKFZp564K2464	80723	ENSG00000168917	SLC35G2
HGNC:26848	FLJ40154	146861	ENSG00000164729	SLC35G3
HGNC:31043		646000	ENSG00000236396	SLC35G4
HGNC:15546		83650	ENSG00000177710	SLC35G5
HGNC:31351		643664	ENSG00000259224	SLC35G6
HGNC:18761	LYAAT-1	206358	ENSG00000123643	SLC36A1
HGNC:18761	PAT1	206358	ENSG00000123643	SLC36A1
HGNC:18761	TRAMD3	206358	ENSG00000123643	SLC36A1
HGNC:18762	PAT2	153201	ENSG00000186335	SLC36A2
HGNC:18762	tramdorin	153201	ENSG00000186335	SLC36A2
