HGNC ID	Approved symbol	Gene group ID
HGNC:87	ACAD8	974|2258
HGNC:21497	ACAD9	2258|974|1387
HGNC:56086	ACAD9-DT	1990
HGNC:21597	ACAD10	2258|974
HGNC:30211	ACAD11	2258|974
HGNC:88	ACADL	2258|974
HGNC:89	ACADM	974|2258
HGNC:90	ACADS	2258|974
HGNC:91	ACADSB	974|2258
HGNC:92	ACADVL	2258|974
HGNC:319	ACAN	1298|590|1179|574
HGNC:16467	ACAP1	1291|403|395
HGNC:16469	ACAP2	1291|403|395
HGNC:41426	ACAP2-IT1	1989
HGNC:16754	ACAP3	1291|403|1691|395
HGNC:93	ACAT1	
HGNC:94	ACAT2	
HGNC:15453	ACBD3	396
HGNC:40701	ACBD3-AS1	1987
HGNC:23337	ACBD4	
HGNC:23338	ACBD5	
HGNC:23339	ACBD6	403|1691
HGNC:17715	ACBD7	
HGNC:96	ACBP	
HGNC:97	ACC	
HGNC:98	ACCN	
HGNC:14594	ACCPN	
HGNC:23989	ACCS	
HGNC:34391	ACCSL	
HGNC:56899	ACCSLP1	
HGNC:25070	ACD	1334
HGNC:2707	ACE	471
HGNC:13557	ACE2	
HGNC:56255	ACE2-DT	1990
HGNC:44365	ACE3P	
HGNC:18356	ACER1	400
HGNC:23675	ACER2	400
HGNC:54674	ACER2P1	
HGNC:16066	ACER3	400
HGNC:58067	ACER3-AS1	1987
HGNC:106	ACH	
HGNC:107	ACHAP	
HGNC:108	ACHE	454
HGNC:109	ACHM1	
HGNC:110	ACHM2	
HGNC:111	ACHM3	
HGNC:112	ACHRD	
HGNC:113	ACHRG	
HGNC:17066	ACIN1	1236
HGNC:4035	ACKR1	471|454|1090
HGNC:1565	ACKR2	1090
HGNC:23692	ACKR3	1090
HGNC:1611	ACKR4	1090
HGNC:21142	ACKR4P1	
HGNC:114	ACLS	
HGNC:115	ACLY	
HGNC:116	ACMG	
HGNC:19288	ACMSD	1691
HGNC:34504	ACNATP	
HGNC:117	ACO1	
HGNC:118	ACO2	
HGNC:56989	ACO2P1	
HGNC:56990	ACO2P2	
HGNC:33904	ACOD1	
HGNC:33128	ACOT1	41
HGNC:18431	ACOT2	41
HGNC:19748	ACOT4	41
HGNC:33159	ACOT6	41
HGNC:24157	ACOT7	41
HGNC:15919	ACOT8	41
HGNC:17152	ACOT9	41
HGNC:18156	ACOT11	41|759
HGNC:24436	ACOT12	41|759
HGNC:20999	ACOT13	41
HGNC:119	ACOX1	2258
HGNC:120	ACOX2	2258
HGNC:121	ACOX3	2258
HGNC:25621	ACOXL	2258
HGNC:41112	ACOXL-AS1	1987
HGNC:122	ACP1	1071|712
HGNC:123	ACP2	1071
HGNC:125	ACP3	1071
HGNC:14376	ACP4	1071
HGNC:124	ACP5	1071
HGNC:29609	ACP6	1071
